역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
104,대전,S3001,대전도시철도 1호선,Daejeon,大田,일반역,,,36.331583,127.433118,대전광역시 도시철도공사,대전광역시 동구 중앙로 지하 218 (중동),042-539-3604,2019-09-16,B551918,대전광역시도시철도공사
103,대동,S3001,대전도시철도 1호선,Dae-dong,大洞,일반역,,,36.329532,127.442848,대전광역시 도시철도공사,대전광역시 동구 계족로 지하 176 (대동),042-539-3603,2019-09-16,B551918,대전광역시도시철도공사
102,신흥,S3001,대전도시철도 1호선,Sinheung,新興,일반역,,,36.319652,127.448792,대전광역시 도시철도공사,대전광역시 동구 옥천로 지하 70 (판암동),042-539-3602,2019-09-16,B551918,대전광역시도시철도공사
101,판암,S3001,대전도시철도 1호선,Panam,板岩,일반역,,,36.316896,127.458264,대전광역시 도시철도공사,대전광역시 동구 옥천로 지하162 (판암동),042-539-3601,2019-09-16,B551918,대전광역시도시철도공사
U125,탑석,L4101,의정부경전철,Tapseok,塔石,일반역,,,37.7334668,127.0889285,㈜우진메트로,경기도 의정부시 충의로 20,031-820-1000,2019-12-01,3820000,경기도 의정부시
U124,송산,L4101,의정부경전철,Songsan,松山,일반역,,,37.737262,127.0872261,㈜우진메트로,경기도 의정부시 충의로 59,031-820-1000,2019-12-01,3820000,경기도 의정부시
U123,어룡,L4101,의정부경전철,Eoryong,魚龍,일반역,,,37.7426961,127.0852263,㈜우진메트로,경기도 의정부시 충의로 125,031-820-1000,2019-12-01,3820000,경기도 의정부시
U122,곤제,L4101,의정부경전철,Gonjae,昆弟,일반역,,,37.7505337,127.083846,㈜우진메트로,경기도 의정부시 천보로 173,031-820-1000,2019-12-01,3820000,경기도 의정부시
U121,효자,L4101,의정부경전철,Hyoja,孝子,일반역,,,37.7539992,127.0772808,㈜우진메트로,경기도 의정부시 부용로 159-40,031-820-1000,2019-12-01,3820000,경기도 의정부시
U120,경기도청북부청사,L4101,의정부경전철,Northern Gyeonggi-do Government,京畿道廳北部廳舍,일반역,,,37.7507731,127.0716075,㈜우진메트로,경기도 의정부시 장곡로 615,031-820-1000,2019-12-01,3820000,경기도 의정부시
U119,새말,L4101,의정부경전철,Sae-mal,,일반역,,,37.7488688,127.0637846,㈜우진메트로,경기도 의정부시 장곡로 551,031-820-1000,2019-12-01,3820000,경기도 의정부시
U118,동오,L4101,의정부경전철,Dong-o,東梧,일반역,,,37.7452685,127.056979,㈜우진메트로,경기도 의정부시 장곡로 471,031-820-1000,2019-12-01,3820000,경기도 의정부시
U117,의정부중앙,L4101,의정부경전철,Uijeongbu Jung-ang,議政府中央,일반역,,,37.7436839,127.0496634,㈜우진메트로,경기도 의정부시 호국로 1305,031-820-1000,2019-12-01,3820000,경기도 의정부시
U115,흥선,L4101,의정부경전철,Heungseon,興宣,일반역,,,37.7432842,127.0371212,㈜우진메트로,경기도 의정부시 호국로 1197,031-820-1000,2019-12-01,3820000,경기도 의정부시
U114,의정부시청,L4101,의정부경전철,Uijeongbu City Hall,議政府市廳,일반역,,,37.7392416,127.0348664,㈜우진메트로,경기도 의정부시 의정부로 69,031-820-1000,2019-12-01,3820000,경기도 의정부시
U113,경전철의정부,L4101,의정부경전철,Lrt Uijeongbu,輕電鐵議政府,일반역,,,37.7373859,127.043314,㈜우진메트로,경기도 의정부시 신흥로 237,031-820-1000,2019-12-01,3820000,경기도 의정부시
U112,범골,L4101,의정부경전철,Beomgol,,일반역,,,37.728796,127.0436639,㈜우진메트로,경기도 의정부시 신흥로 141,031-820-1000,2019-12-01,3820000,경기도 의정부시
U111,회룡,L4101,의정부경전철,Hoeryong,回龍,환승역,S1101+L4101,서울도시철도1호선+의정부경전철,37.7250156,127.0471082,㈜우진메트로,경기도 의정부시 평화로 363,031-820-1000,2019-12-01,3820000,경기도 의정부시
U110,발곡,L4101,의정부경전철,Balgok,鉢谷,일반역,,,37.7269917,127.0529098,㈜우진메트로,경기도 의정부시 장곡로 258,031-820-1000,2019-12-01,3820000,경기도 의정부시
3206,독정,S2802,인천지하철 2호선,Dokjeong,篤 亭,일반역,-,-,37.584927,126.675981,인천교통공사,인천광역시 서구 서곶로 760 (백석동),032-451-4306,2019-11-15,B551894,인천교통공사
3205,완정,S2802,인천지하철 2호선,Wanjeong,完井,일반역,-,-,37.592867,126.672961,인천교통공사,인천광역시 서구 원당대로 650 (당하동),032-451-4305,2019-11-15,B551894,인천교통공사
3204,마전,S2802,인천지하철 2호선,Majeon,麻田,일반역,-,-,37.597756,126.667195,인천교통공사,인천광역시 서구 완정로 68 (마전동),032-451-4304,2019-11-15,B551894,인천교통공사
3203,검단사거리,S2802,인천지하철 2호선,Geomdan Sageori,黔丹十字路口,일반역,-,-,37.601693,126.656545,인천교통공사,인천광역시 서구 검단로 473 (왕길동),032-451-4303,2019-11-15,B551894,인천교통공사
3202,왕길,S2802,인천지하철 2호선,Wanggil,旺吉,일반역,-,-,37.592191,126.642284,인천교통공사,인천광역시 서구 검단로 323 (왕길동),032-451-4302,2019-11-15,B551894,인천교통공사
3201,검단오류,S2802,인천지하철 2호선,Geomdan Oryu,黔丹梧柳,일반역,-,-,37.595162,126.629206,인천교통공사,인천광역시 서구 검단로 187 (오류동),032-451-4301,2019-11-15,B551894,인천교통공사
3138,국제업무지구,S2801,인천지하철 1호선,Int''''''''''''''''''''''''''''''''''''''''''''''',國際業務地區,일반역,-,-,37.400464,126.630094,인천교통공사,인천광역시 연수구 인천타워대로 334,032-451-3188,2019-11-15,B551894,인천교통공사
3137,센트럴파크,S2801,인천지하철 1호선,Central Park,-,일반역,-,-,37.392833,126.635002,인천교통공사,인천광역시 연수구 인천타워대로 240,032-451-3187,2019-11-15,B551894,인천교통공사
3136,인천대입구,S2801,인천지하철 1호선,Incheon National University,仁川大入口,일반역,-,-,37.386239,126.639351,인천교통공사,인천광역시 연수구 인천타워대로 155,032-451-3186,2019-11-15,B551894,인천교통공사
3135,지식정보단지,S2801,인천지하철 1호선,BIT Zone,知識情報團地,일반역,-,-,37.378021,126.645412,인천교통공사,인천광역시 연수구 인천타워대로 57,032-451-3185,2019-11-15,B551894,인천교통공사
3134,테크노파크,S2801,인천지하철 1호선,Technopark,-,일반역,-,-,37.382311,126.656355,인천교통공사,인천광역시 연수구 송도국제대로 150,032-451-3184,2019-11-15,B551894,인천교통공사
3133,캠퍼스타운,S2801,인천지하철 1호선,Campus Town,-,일반역,-,-,37.388209,126.661985,인천교통공사,인천광역시 연수구 송도국제대로 66,032-451-3183,2019-11-15,B551894,인천교통공사
3132,동막,S2801,인천지하철 1호선,Dongmak,東幕,일반역,-,-,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,032-816-5584,2019-11-15,B551894,인천교통공사
3131,동춘,S2801,인천지하철 1호선,Dongchun,東春,일반역,-,-,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,032-814-5702,2019-11-15,B551894,인천교통공사
3130,원인재,S2801,인천지하철 1호선,Woninjae,源仁齋,환승역,I2801+I2802,수인선,37.412364,126.687893,인천교통공사,인천광역시 연수구 경원대로 285,032-816-3130,2019-11-15,B551894,인천교통공사
3129,신연수,S2801,인천지하철 1호선,Sinyeonsu,新延壽,일반역,-,-,37.418032,126.693853,인천교통공사,인천광역시 연수구 경원대로 368,032-813-3129,2019-11-15,B551894,인천교통공사
3128,선학,S2801,인천지하철 1호선,Seonhak,仙鶴,일반역,-,-,37.426985,126.698872,인천교통공사,인천광역시 연수구 경원대로 480,032-821-3128,2019-11-15,B551894,인천교통공사
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2019-11-15,B551894,인천교통공사
3126,인천터미널,S2801,인천지하철 1호선,Incheon Bus Terminal,仁川터미널,일반역,-,-,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,032-441-3126,2019-11-15,B551894,인천교통공사
3125,예술회관,S2801,인천지하철 1호선,Arts Center,藝術會館,일반역,-,-,37.449334,126.700991,인천교통공사,인천광역시 남동구 예술로 172,032-441-3125,2019-11-15,B551894,인천교통공사
3124,인천시청,S2801,인천지하철 1호선,Incheon City Hall,仁川市廳,일반역,-,-,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,032-441-3124,2019-11-15,B551894,인천교통공사
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2019-11-15,B551894,인천교통공사
3122,부평삼거리,S2801,인천지하철 1호선,Bupyeongsamgeori,富平三거리,일반역,-,-,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,032-516-3122,2019-11-15,B551894,인천교통공사
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2019-11-15,B551894,인천교통공사
3120,부평,S2801,인천지하철 1호선,Bupyeong,富平,환승역,I2801+I1101,1호선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,032-515-9103,2019-11-15,B551894,인천교통공사
3119,부평시장,S2801,인천지하철 1호선,Bupyeong Market,富平市場,일반역,-,-,37.498495,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,032-512-3119,2019-11-15,B551894,인천교통공사
3118,부평구청,S2801,인천지하철 1호선,Bupyeong-gu Office,富平區廳,환승역,I2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,032-513-9103,2019-11-15,B551894,인천교통공사
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2019-11-15,B551894,인천교통공사
3116,작전,S2801,인천지하철 1호선,Jakjeon,鵲田,일반역,-,-,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,032-543-3116,2019-11-15,B551894,인천교통공사
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat'''''''''''''''''''''''''''''''''''''',京仁敎大入口,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2019-11-15,B551894,인천교통공사
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2019-11-15,B551894,인천교통공사
3113,임학,S2801,인천지하철 1호선,Imhak,林鶴,일반역,-,-,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,032-541-3113,2019-11-15,B551894,인천교통공사
3112,박촌,S2801,인천지하철 1호선,Bakchon,朴村,일반역,-,-,37.553525,126.744946,인천교통공사,인천광역시 계양구 장제로 992,032-519-3122,2019-11-15,B551894,인천교통공사
3111,귤현,S2801,인천지하철 1호선,Gyulhyeon,橘峴,일반역,-,-,37.566362,126.742498,인천교통공사,인천광역시 계양구 장제로 1136,032-515-9104,2019-11-15,B551894,인천교통공사
3110,계양,S2801,인천지하철 1호선,Gyeyang,桂陽,환승역,I2801+S2801,공항철도,37.571539,126.736319,인천교통공사,인천광역시 계양구 다남로 24,032-710-9105,2019-11-15,B551894,인천교통공사
122,반석,S3001,대전도시철도 1호선,Banseok,盤石,일반역,,,36.392128,127.314581,대전광역시 도시철도공사,대전광역시 유성구 북유성대로 지하 303(반석동),042-539-3622,2019-09-16,B551918,대전광역시도시철도공사
U124,송산,L4101,의정부경전철,Songsan,松山,일반역,-,-,37.737262,127.0872261,인천교통공사,경기도 의정부시 충의로 59,031-820-1000,2019-11-15,B551894,인천교통공사
U123,어룡,L4101,의정부경전철,Eoryong,魚龍,일반역,-,-,37.7426961,127.0852263,인천교통공사,경기도 의정부시 충의로 125,031-820-1000,2019-11-15,B551894,인천교통공사
U122,곤제,L4101,의정부경전철,Gonjae,昆弟,일반역,-,-,37.7505337,127.083846,인천교통공사,경기도 의정부시 천보로 173,031-820-1000,2019-11-15,B551894,인천교통공사
U121,효자,L4101,의정부경전철,Hyoja,孝子,일반역,-,-,37.7539992,127.0772808,인천교통공사,경기도 의정부시 부용로 159-40,031-820-1000,2019-11-15,B551894,인천교통공사
U120,경기도청북부청사,L4101,의정부경전철,Northern Gyeonggi-do Government,京畿道廳北部廳舍,일반역,-,-,37.7507731,127.0716075,인천교통공사,경기도 의정부시 장곡로 615,031-820-1000,2019-11-15,B551894,인천교통공사
U119,새말,L4101,의정부경전철,Sae-mal,-,일반역,-,-,37.7488688,127.0637846,인천교통공사,경기도 의정부시 장곡로 551,031-820-1000,2019-11-15,B551894,인천교통공사
U118,동오,L4101,의정부경전철,Dong-o,東梧,일반역,-,-,37.7452685,127.056979,인천교통공사,경기도 의정부시 장곡로 471,031-820-1000,2019-11-15,B551894,인천교통공사
U117,의정부중앙,L4101,의정부경전철,Uijeongbu Jung-ang,議政府中央,일반역,-,-,37.7436839,127.0496634,인천교통공사,경기도 의정부시 호국로 1305,031-820-1000,2019-11-15,B551894,인천교통공사
U115,흥선,L4101,의정부경전철,Heungseon,興宣,일반역,-,-,37.7432842,127.0371212,인천교통공사,경기도 의정부시 호국로 1197,031-820-1000,2019-11-15,B551894,인천교통공사
U114,의정부시청,L4101,의정부경전철,Uijeongbu City Hall,議政府市廳,일반역,-,-,37.7392416,127.0348664,인천교통공사,경기도 의정부시 의정부로 69,031-820-1000,2019-11-15,B551894,인천교통공사
U113,경전철의정부,L4101,의정부경전철,Lrt Uijeongbu,輕電鐵議政府,일반역,-,-,37.7373859,127.043314,인천교통공사,경기도 의정부시 신흥로 237,031-820-1000,2019-11-15,B551894,인천교통공사
U112,범골,L4101,의정부경전철,Beomgol,-,일반역,-,-,37.728796,127.0436639,인천교통공사,경기도 의정부시 신흥로 141,031-820-1000,2019-11-15,B551894,인천교통공사
U111,회룡,L4101,의정부경전철,Hoeryong,回龍,환승역,S1101+L4101,서울도시철도1호선+의정부경전철,37.7250156,127.0471082,인천교통공사,경기도 의정부시 평화로 363,031-820-1000,2019-11-15,B551894,인천교통공사
U110,발곡,L4101,의정부경전철,Balgok,鉢谷,일반역,-,-,37.7269917,127.0529098,인천교통공사,경기도 의정부시 장곡로 258,031-820-1000,2019-11-15,B551894,인천교통공사
3227,운연,S2802,인천지하철 2호선,Unyeon,云宴,일반역,-,-,37.437924,126.759409,인천교통공사,인천광역시 남동구 매소홀로 1229 (운연동),032-451-4327,2019-11-15,B551894,인천교통공사
3226,인천대공원,S2802,인천지하철 2호선,Incheon Grand Park,仁川大公園,일반역,-,-,37.448475,126.753051,인천교통공사,인천광역시 남동구 수인로 3677 (장수동),032-451-4326,2019-11-15,B551894,인천교통공사
3225,남동구청,S2802,인천지하철 2호선,Namdong-gu Office,南洞區廳,일반역,-,-,37.448179,123.736581,인천교통공사,인천광역시 남동구 인주대로 지하 889 (만수동),032-451-4325,2019-11-15,B551894,인천교통공사
3224,만수,S2802,인천지하철 2호선,Mansu,万壽,일반역,-,-,37.454962,126.731764,인천교통공사,인천광역시 남동구 구월로 지하 367 (만수동),032-451-4324,2019-11-15,B551894,인천교통공사
3223,모래내시장,S2802,인천지하철 2호선,Moraenae Market,沙丘市場,일반역,-,-,37.455842,126.719578,인천교통공사,인천광역시 남동구 구월로 지하 255 (구월동),032-451-4323,2019-11-15,B551894,인천교통공사
3222,석천사거리,S2802,인천지하철 2호선,Seokcheon Sageori,石泉十字路口,일반역,-,-,37.4569323,126.710383,인천교통공사,인천광역시 남동구 구월로 지하 181 (구월동),032-451-4322,2019-11-15,B551894,인천교통공사
3221,인천시청,S2802,인천지하철 2호선,Incheon City Hall,仁川市廳,환승역,I2802+I2801,인천1호선,37.456904,126.701523,인천교통공사,인천광역시 남동구 구월로 지하 99 (간석동),032-451-4321,2019-11-15,B551894,인천교통공사
3220,석바위시장,S2802,인천지하철 2호선,Seokbawi Market,石岩市場,일반역,-,-,37.457659,126.692387,인천교통공사,인천광역시 미추홀구 구월로 19 (주안동),032-451-4320,2019-11-15,B551894,인천교통공사
3219,시민공원,S2802,인천지하철 2호선,Citizens Park,市民公園,일반역,-,-,37.458739,126.680091,인천교통공사,인천광역시 미추홀구 경인로 371 (주안동),032-451-4319,2019-11-15,B551894,인천교통공사
3218,주안,S2802,인천지하철 2호선,Juan,朱安,환승역,I2802+I1101,경인선,37.465517,126.680441,인천교통공사,인천광역시 미추홀구 주안로 지하 91-1 (주안동),032-451-4318,2019-11-15,B551894,인천교통공사
3217,주안국가산단,S2802,인천지하철 2호선,Juan National Industrial Complex,朱安國家産團,일반역,-,-,37.473599,126.681702,인천교통공사,인천광역시 서구 방축로 343 (가좌동),032-451-4317,2019-11-15,B551894,인천교통공사
3216,가재울,S2802,인천지하철 2호선,Gajaeul,伽岾溪,일반역,-,-,37.484152,126.683883,인천교통공사,인천광역시 서구 열우물로 252 (가좌동),032-451-4316,2019-11-15,B551894,인천교통공사
3215,인천가좌,S2802,인천지하철 2호선,Incheon Gajwa,仁川佳佐,일반역,-,-,37.493762,126.675465,인천교통공사,인천광역시 서구 가석로 67 (가좌동),032-451-4315,2019-11-15,B551894,인천교통공사
3214,서부여성회관,S2802,인천지하철 2호선,West Woman’s Community Center,西部女性會館,일반역,-,-,37.500298,126.675875,인천교통공사,인천광역시 서구 가석로 169 (석남동),032-451-4314,2019-11-15,B551894,인천교통공사
3213,석남(거북시장),S2802,인천지하철 2호선,Seongnam,石南,일반역,-,-,37.507211,126.676304,인천교통공사,인천광역시 서구 가석로 257 (석남동),032-451-4313,2019-11-15,B551894,인천교통공사
3212,가정중앙시장,S2802,인천지하철 2호선,Gajeong Jungang Market,佳亭中央市場,일반역,-,-,37.517511,126.676784,인천교통공사,인천광역시 서구 가남로 400 (가정동),032-451-4312,2019-11-15,B551894,인천교통공사
3211,가정(루원시티),S2802,인천지하철 2호선,Gajeong,佳亭,일반역,-,-,37.524805,126.675387,인천교통공사,인천광역시 서구 봉오대로 234 (가정동),032-451-4311,2019-11-15,B551894,인천교통공사
3210,서구청,S2802,인천지하철 2호선,Seo-gu Office,西區廳,일반역,-,-,37.543839,126.676795,인천교통공사,인천광역시 서구 서곶로 294 (심곡동),032-451-4310,2019-11-15,B551894,인천교통공사
3209,아시아드경기장,S2802,인천지하철 2호선,Asiad Stadium,亞運會賽場,일반역,-,-,37.551373,126.677075,인천교통공사,인천광역시 서구 서곶로 382 (연희동),032-451-4309,2019-11-15,B551894,인천교통공사
3208,검바위,S2802,인천지하철 2호선,Geombawi,黔石,일반역,-,-,37.561091,126.677529,인천교통공사,인천광역시 서구 서곶로 492 (검암동),032-451-4308,2019-11-15,B551894,인천교통공사
3207,검암,S2802,인천지하철 2호선,Geomam,黔岩,환승역,I2802+S2801,공항철도,37.568611,126.671221,인천교통공사,인천광역시 서구 검바위로 4 (검암동),032-451-4307,2019-11-15,B551894,인천교통공사
127,영대병원,S2701,대구 도시철도 1호선,Y.N.Univ.Hosp,嶺大病院,일반역,,,35.844269,128.586057,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하292 (대명동),053-626-7760,2019-12-19,B552109,대구도시철도공사
126,현충로,S2701,대구 도시철도 1호선,Hyeonchungno,顯忠路,일반역,,,35.840911,128.579194,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,2019-12-19,B552109,대구도시철도공사
125,안지랑,S2701,대구 도시철도 1호선,Anjirang,없음,일반역,,,35.839243,128.571705,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하141 (대명동),053-626-7747,2019-12-19,B552109,대구도시철도공사
124,대명,S2701,대구 도시철도 1호선,Daemyeong,大明,일반역,,,35.839302,128.563288,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하71 (대명동),053-627-7746,2019-12-19,B552109,대구도시철도공사
123,서부정류장,S2701,대구 도시철도 1호선,Seobu Bus Terminal,西部客運站,일반역,,,35.837471,128.555224,대구광역시 대구도시철도공사,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,2019-12-19,B552109,대구도시철도공사
122,송현,S2701,대구 도시철도 1호선,Songhyeon,松峴,일반역,,,35.831079,128.549562,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하412 (송현동),053-626-7730,2019-12-19,B552109,대구도시철도공사
121,월촌,S2701,대구 도시철도 1호선,Wolchon,月村,일반역,,,35.823688,128.543277,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하311 (송현동),053-626-7710,2019-12-19,B552109,대구도시철도공사
120,상인,S2701,대구 도시철도 1호선,Sangin,上仁,일반역,,,35.818966,128.535684,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하223 (상인동),053-642-7745,2019-12-19,B552109,대구도시철도공사
119,월배,S2701,대구 도시철도 1호선,Wolbae,月背,일반역,,,35.816276,128.528392,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하143 (진천동),053-642-7732,2019-12-19,B552109,대구도시철도공사
118,진천,S2701,대구 도시철도 1호선,Jincheon,辰泉,일반역,,,35.813826,128.520397,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하76 (진천동),053-642-7723,2019-12-19,B552109,대구도시철도공사
117,대곡,S2701,대구 도시철도 1호선,Daegok,大谷,일반역,,,35.809497,128.510391,대구광역시 대구도시철도공사,대구광역시 달서구 비슬로 지하2718 (대곡동),053-644-7723,2019-12-19,B552109,대구도시철도공사
116,화원,S2701,대구 도시철도 1호선,Hwawon,花園,일반역,,,35.8043566,128.5004042,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 지하2600,053-634-5125,2019-12-19,B552109,대구도시철도공사
115,설화명곡,S2701,대구 도시철도 1호선,SeolhwaMyeonggok,舌化椧谷,일반역,,,35.7987183,128.4893178,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 2476,053-634-2674,2019-12-19,B552109,대구도시철도공사
122,사상역,L4801,부산-김해경전철,Sasang,沙上,환승역,L4801+S2602,부산-김해경전철+부산도시철도 2호선,35.162305,128.985784,부산-김해경전철㈜,부산광역시 사상구 광장로 83,055-310-9601,2019-12-31,6260000,부산광역시
121,가야대역,L4801,부산-김해경전철,Kaya Univ.,加耶大,일반역,,,35.266785,128.8650682,부산-김해경전철㈜,경상남도 김해시 해반천로 211,055-310-9621,2019-12-31,6260000,부산광역시
120,장신대역,L4801,부산-김해경전철,presbyterian Univ.,長神大,일반역,,,35.259544,128.867202,부산-김해경전철㈜,경상남도 김해시 해반천로 129,055-310-9620,2019-12-31,6260000,부산광역시
119,연지공원역,L4801,부산-김해경전철,Yeonji Park,蓮池公園,일반역,,,35.24965843,128.869287,부산-김해경전철㈜,경상남도 김해시 해반천로 5,055-310-9619,2019-12-31,6260000,부산광역시
118,박물관역,L4801,부산-김해경전철,museum,博物館,일반역,,,35.240072,128.871905,부산-김해경전철㈜,경상남도 김해시 김해대로 2103,055-310-9618,2019-12-31,6260000,부산광역시
117,수로왕릉역,L4801,부산-김해경전철,Royal Tomb of King Suro,首露王陵,일반역,,,35.232824,128.872207,부산-김해경전철㈜,경상남도 김해시 김해대로 2181,055-310-9617,2019-12-31,6260000,부산광역시
116,봉황역,L4801,부산-김해경전철,Bonghwang,鳳凰,일반역,,,35.227266,128.874381,부산-김해경전철㈜,경상남도 김해시 김해대로 2249,055-310-9616,2019-12-31,6260000,부산광역시
