기관명,사회서비스분야,주된목적,사업내용,인증여부,인증일자,인증번호,대표자명,전화번호,소재지도로명주소,소재지지번주소,홈페이지주소,데이터기준일자,제공기관코드,제공기관명
충북주거복지센터사회적협동조합,사업시설관리,지역사회공헌형,"도배, 실내장식 및 내장목공사업",,,,김덕수,043-201-1382,충청북도 청주시 상당구 교동로 3번길 112,,,2019-11-26,6430000,충청북도
㈜안앤리,환경,창조혁신형(기타),신발수선업을 통한 리사이클링과 업사이클링으로 비 합리적인 소비문화 개선과 한경보호,,,,안재복,043-850-6061,충청북도 충주시 봉방10길 10,,,2019-11-26,6430000,충청북도
힐링플레이㈜,고용서비스,사회서비스제공형,숲체험(찾아가는 숲) 및 산림치유 등 산림복지서비스,,,,유혜선,043-539-3483,충청북도 진천군 진천읍 문화로 76,,,2019-11-26,6430000,충청북도
㈜레드북커스,고용서비스,창조혁신형(기타),청년모임 활성화를 위한 공간(소셜카페)운영 및 청년 창업 멘토링,,,,윤정훈,043-201-1382,충청북도 청주시 흥덕구 충대로 4,,,2019-11-26,6430000,충청북도
화목영농조합,고용서비스,지역사회공헌형,"참옻, 한약재를 이용한 건강식품생산 등",,,,정승목,043-540-3539,충청북도 보은군 회인면 보청대로 2925-38,,,2019-11-26,6430000,충청북도
농업회사법인 ㈜옻가네,보육,일자리제공형,"교육공동체 돌봄, 창의학습 지원, 지역아동센터 창의성 교육 지원 등",,,,지용우,043-641-6613,충청북도 제천시 바이오밸리로 143,,,2019-11-26,6430000,충청북도
㈜누리봄,보육,창조혁신형(기타),"교육서비스 및 도서 도,소매",,,,김애경,043-201-1382,충청북도 청주시 흥덕구 장구봉로 25,,,2019-11-26,6430000,충청북도
농업회사법인 ㈜참옻들,고용서비스,지역사회공헌형,옻나무가공,,,,정태영,043-730-3363,충청북도 옥천군 청성면 청성로 238,,,2019-11-26,6430000,충청북도
농업회사법인 도시바람㈜,기타,창조혁신형(기타),"농업, 도소매업",,,,장호정,043-830-3322,충청북도 괴산군 연풍면 중앙로행정1길 4,,,2019-11-26,6430000,충청북도
참좋은농특산물 곳간 영농조합법인,기타,지역사회공헌형,농특산물 재배 및 가공판매,,,,한석주,043-641-6613,충청북도 제천시 덕산면 약초로 105-1,,,2019-11-26,6430000,충청북도
㈜예솜,기타,일자리제공형,"집수리, 인테리어, 정리수납, 기타",,,,종광애,032-867-9409,인천광역시 동구 인중로 377,,,2019-06-11,6280000,인천광역시
진지박물관 주식회사,보육,창조혁신형(기타),"교육및문화서비스, 문화재전시",,,,김정희,043-201-1382,충청북도 청주시 청원구 공항로 94,,,2019-11-26,6430000,충청북도
㈜천사랑세계여행,예술·관광,창조혁신형(기타),여행사,,,,천명주,043-641-6613,"충청북도 제천시 원뜰로 116, 2층",,,2019-11-26,6430000,충청북도
제천인삼약초영농조합법인,고용서비스,지역사회공헌형,인삼가공제품 유통,,,,임현진,043-641-6613,충청북도 제천시 바이오밸리2로 30,,,2019-11-26,6430000,충청북도
청주아나바다협동조합,환경,창조혁신형(기타),중고생활용품 위탁판매,,,,윤송현,043-201-1382,충청북도 청주시 상당구 중앙로 26,,,2019-11-26,6430000,충청북도
㈜선전산업,고용서비스,일자리제공형,간판 및 광고물 제조업,,,,이미현,043-740-3732,충청북도 영동군 영동읍 구교로 20,,,2019-11-26,6430000,충청북도
㈜고래실,고용서비스,지역사회공헌형,출판 및 정보서비스업,,,,이범석,043-730-3363,충청북도 옥천군 옥천읍 삼금로1길 10,,,2019-11-26,6430000,충청북도
㈜메모리얼,고용서비스,지역사회공헌형,농촌마을 컨설팅 등,,,,김용문,043-201-1382,충청북도 청주시 청원구 상당로 314,,,2019-11-26,6430000,충청북도
임원경제 사회적협동조합,환경,창조혁신형(기타),토종생태 복원 및 건강한 농산물 생산,,,,장익순,043-201-1382,충청북도 청주시 흥덕구 옥산면 소로1길 50,,,2019-11-26,6430000,충청북도
성창 주식회사,고용서비스,일자리제공형,태양광산업,,,,이재진,043-201-1382,충청북도 청주시 흥덕구 동촌로 149,,,2019-11-26,6430000,충청북도
평생나눔사업협동조합,고용서비스,일자리제공형,"지역특산물(도자기, 산약초)등 홍보",,,,이영숙,043-850-6061,충청북도 충주시 주덕읍 후삼로 427-5,,,2019-11-26,6430000,충청북도
주식회사 수지,고용서비스,혼합형,홈패션 제품생산 및 재봉틀 교육,,,,장은경,043-201-1382,충청북도 청주시 서원구 구룡산로431번길 131,,,2019-11-26,6430000,충청북도
(사협)협동조합친구들,고용서비스,지역사회공헌형,협동조합 역량강화를 위한 지원단 운영 및 경영컨설팅 등,,,,사영운,043-201-1382,충청북도 청주시 서원구 1순환로 637,,,2019-11-26,6430000,충청북도
음성살림로컬푸드협동조합,고용서비스,창조혁신형(기타),"로컬푸드 생산, 가공, 유통",,,,차흥도,043-871-3633,충청북도 음성군 원남면 하초로 91번길 25,,,2019-11-26,6430000,충청북도
㈜서호,사업시설관리,일자리제공형,"건물청소, 세탁기 청소",,,,전대진,043-740-3732,충청북도 영동군 영동읍 오정1길 93,,,2019-11-26,6430000,충청북도
㈜비알푸드,고용서비스,지역사회공헌형,지역농산물 활용 가공품 제조,,,,이재화,043-641-6613,충청북도 제천시 바이오밸리2로 14,,,2019-11-26,6430000,충청북도
제천농기계협동조합,환경,지역사회공헌형,폐농기계 재활용 및 영세농가 농기계무상수리,,,,고영재,043-641-6613,충청북도 제천시 명지로 2길 6,,,2019-11-26,6430000,충청북도
주식회사 예스종합관리,기타,혼합형,"청소,소독",,,,양진춘,031-541-7172,경기도 포천시 광릉수원로 1180,,,2019-11-26,5600000,경기도 포천시
농업회사법인 이상촌주식회사,기타,일자리제공형,농축산물 판매,,,,설성환,063-652-8604,전라북도 순창군 구림면 이암길 5,,,2020-01-08,4770000,전라북도 순창군
사회복지법인 마로원,기타,일자리제공형,중증장애인 세탁사업,Y,2008-04-18,2008년 1차,양은심,064-796-5777,제주특별자치도 제주시 한림읍 상대리 4337-2번지,,www.marojeju.org,2019-06-20,6500000,제주특별자치도
사회복지법인 평화의마을,기타,일자리제공형,노동취약계층 햄. 소시지 가공. 장애인 거주시설 설치 및 운영,Y,2008-04-18,2008년 1차,남시영,064-794-6277,제주특별자치도 서귀포시 대정읍 구억리 308번지,,www.peacevil.org,2019-06-20,6500000,제주특별자치도
사회적기업 스마일 에듀넷 주식회사,기타,혼합형,"농촌 어매니티사업, 천연염색, 비누만들기 등 체험활동",Y,2008-12-31,제2008-81호,최재영,061-363-4041,전라남도 곡성군 옥과면 대학로 112-14 3층,전라남도 곡성군 옥과면 옥과리 221-3,,2018-03-30,4860000,전라남도 곡성군
"사)섬진강, 도깨비마을 사람들",기타,일자리제공형,"공연(음악, 인형극)과 도깨비관련 체험학습",Y,2014-06-30,제2014-109호,김성범,061-363-2953,전라남도 곡성군 곡성읍 중앙로 58-1(사무실),전라남도 곡성군 곡성읍 읍내리 792-31,,2018-03-30,4860000,전라남도 곡성군
㈜행복스토리,기타,일자리제공형,친환경 DIY 가구생산 및 인테리어 사업,N,2015-07-07,제2015-05호,장은아,,전라남도 곡성군 읍내19길 2,전라남도 곡성군 곡성읍 읍내리 357-3,,2018-03-30,4860000,전라남도 곡성군
(사)곡성문화예술단,기타,일자리제공형,"공연기획 및 공연, 시스템 임대, 노래강사, 평생교육 파견 및 양성사업",N,2016-09-02,제2016-13호,김태운,061-362-0024,전라남도 곡성군 곡성읍 중앙로 158-1,전라남도 곡성군 곡성읍?읍내리 155,,2018-03-30,4860000,전라남도 곡성군
제일영농조합,기타,일자리제공형,"체험장 운영, 버섯 및 배지 생산",N,2015-10-30,,신종연,061-362-0258,전라남도 곡성군 오산면 산이재로 18-6,전라남도 곡성군 오산면 단사리 산5-3,,2018-03-30,4860000,전라남도 곡성군
주식회사 신성축구교실,보육,사회서비스제공형,축구 레슨 등 교육서비스업,,,,지용식,043-201-1382,충청북도 청주시 서원구 남이면 가마길 57,,,2019-11-26,6430000,충청북도
㈜에코메아리지역문화연구소,기타,지역사회공헌형,농촌마을만들기 컨설팅 등,,,,박헌춘,043-201-1382,충청북도 청주시 상당구 상당로144번길 19,,,2019-11-26,6430000,충청북도
㈜엠아이비 (인증),예술·관광,일자리제공형,"쇼핑몰운영 및 홈페이지 제작,유지,보수",Y,2015-03-31,제2012-037호,유제현,070-8244-8220,부산광역시 중구 광복중앙로 32-1 603호,"부산광역시 중구 대청동2가 32-1, 603호",www.mibkorea.com,2019-04-30,3250000,부산광역시 중구
환경문화연합 (인증),예술·관광,기타형,"전시사업, 문화예술교육, 디자인",Y,2014-05-15,제2014-059호,이유상,051-255-0887,부산광역시 중구 40계단길 3,부산광역시 중구 중앙동4가 37-35,www.greencurator.org,2019-04-30,3250000,부산광역시 중구
㈜ 우리티엠에스,청소,일자리제공형,"경비, 청소, 주차장 운영업",,,,서정남,031-963-8250,경기도 고양시 일산동구 성현로268번길 108,,,2019-12-03,3940000,경기도 고양시
모퉁이돌사회적협동조합,간병및가사지원,일자리제공형,장애인 치유프로그램 운영,,,,이은희,043-201-1382,충청북도 청주시 상당구 가덕면 상야길 6-14,,,2019-11-26,6430000,충청북도
(유)지음건축,기타,일자리제공형,주택리모델링,,,,성하윤,063-461-7419,전라북도 군산시 진포2길 25,전라북도 군산시 수송동 70-2,,2019-09-10,4670000,전라북도 군산시
살렘마을협동조합,고용서비스,일자리제공형,"우리 밀 농사 및 빵제조, 빵 판매를 포함한 마을 매점 운영",,,,홍행소,041-641-5633,충청남도 보령시 천북면 심박동길 94,,,2019-09-24,6440000,충청남도
㈜아이사랑식판드림,고용서비스,일자리제공형,어린이 교육기관 도시락 식판 위생관리,,,,장위녀,041-665-9252,충청남도 서산시 안견로 585,,,2019-09-24,6440000,충청남도
발그래협동조합,고용서비스,혼합형,발달장애인 일자리 창출을 위한 수제 기념품제작,,,,하주현,042-736-5230,"충청남도 논산시 대학로 121, 산학협력관 230호",,,2019-09-24,6440000,충청남도
사단법인 청룡무용단,예술·관광,기타형,문화·예술 공연과 교육활동,,,,신혜경,041-000-0000,"충청남도 계룡시 서금암로 53, 2층 202호",,,2019-09-24,6440000,충청남도
주식회사 팔미리,예술·관광,기타형,생활곤란 경력단절 여성의 맞춤형(시간&능력) 일자리 제공,,,,이상민,041-356-1205,"충청남도 당진시 무수동로 212, 5층",,,2019-09-24,6440000,충청남도
농업회사법인 노르웨이숲㈜,기타,지역사회공헌형,유기농 농산물 재배 및 지역유통,,,,배병희,041-000-0000,충청남도 당진시 합덕읍 삼거1길 23-2,,,2019-09-24,6440000,충청남도
주식회사 천안아산신문,기타,일자리제공형,신문제조업 및 광고대행업 등,,,,주평탁,041-577-1541,"충청남도 천안시 서북구 늘푸른3길 37, 4층",,,2019-09-24,6440000,충청남도
주식회사 미크린,고용서비스,일자리제공형,소독(방역) 서비스업,,,,전희숙,041-558-8825,"충청남도 천안시 동남구 대흥로 250, 3층",,,2019-09-24,6440000,충청남도
주식회사휴비즈코리아,고용서비스,혼합형,"경영컨설팅 및 공공관계서비스, 직업정보제공사업 등",,,,심진수,041-568-8572,"충청남도 천안시 동남구 은행길 9, 4층",,,2019-09-24,6440000,충청남도
건강한교육협동조합,고용서비스,일자리제공형,"교육 및 돌봄, 건강시설 설치 및 위탁운영과 관련 교육사업",,,,김세일,070-8858-1009,"충청남도 공주시 신금1길 62-6, 1층 101호",,,2019-09-24,6440000,충청남도
공주다살림사회적협동조합,고용서비스,일자리제공형,다살림 로컬푸드직매장 운영,,,,전용주,041-856-5282,충청남도 공주시 관골1길 55-24,,,2019-09-24,6440000,충청남도
주식회사정성온밥상,기타,일자리제공형,"구내식당, 도시락, 장애인 반찬사업",,,,이은옥,041-858-6667,"충청남도 공주시 봉황로 1(봉황동, 공주시청구내식당)",,,2019-09-24,6440000,충청남도
주 본래순대 보령점,기타,일자리제공형,일반음식점,,,,석지영,041-934-8909,"충청남도 보령시 원동1길 95, 1층",,,2019-09-24,6440000,충청남도
군헌어촌계,기타,일자리제공형,"바지락채취갯벌체험, 바지락판매 및 가공판매",,,,최종인,041-934-4188,충청남도 보령시 해망산길 533,,,2019-09-24,6440000,충청남도
아산친환경학교급식생산자영농조합법인,기타,지역사회공헌형,아산 학교급식 친환경농산물 공급,,,,안복규,041-000-0000,충청남도 아산시 송악면 평촌길 13,,,2019-09-24,6440000,충청남도
에프앤비브릿지협동조합,기타,혼합형,"카페, 제조 및 유통, 교육서비스",,,,최낙원,041-000-0000,"충청남도 아산시 배방읍 용연로 84-7, 2층 203호",,,2019-09-24,6440000,충청남도
(주)몽두레,예술·관광,지역사회공헌형,번화로소극장 운영,,,,김세랑,041-600-0000,"충청남도 서산시 번화1로 19, 지하1층",,,2019-09-24,6440000,충청남도
에스그린협동조합,청소,일자리제공형,"소독,방역,건물위생관리업,도소매업",,,,김환성,041-665-8000,충청남도 서산시 서령로 17,,,2019-09-24,6440000,충청남도
(주)논산주거복지센터,기타,일자리제공형,"취약계층 집수리및 홈인테리어 ,도소매 판매업",,,,천은숙,041-000-0000,충청남도 논산시 중앙로480번길 25-2,,,2019-09-24,6440000,충청남도
사단법인반딧불나눔복지재단,기타,혼합형,"즉석식품제조가공업, 민간자격취득과정 운영 등",,,,정미정,041-352-0607,"충청남도 당진시 당진중앙2로 59-12, 3층",,,2019-09-24,6440000,충청남도
(주)식판선생님당진점,기타,일자리제공형,식판세척,,,,조석미,041-352-8885,"충청남도 당진시 대덕1로 25, 1층",,,2019-09-24,6440000,충청남도
다빈치건강놀이심리협동조합,고용서비스,일자리제공형,"서비스업, 교육서비스업",,,,최익순,041-362-8066,"충청남도 당진시 북문로 3-16, 201호",,,2019-09-24,6440000,충청남도
농업회사법인가온누리유한회사,기타,지역사회공헌형,지역 특산품 홍보 및 판매,,,,김연희,041-963-5856,충청남도 서천군 한산면 충절로1173번길 21-1,,,2019-09-24,6440000,충청남도
㈜아름교육,고용서비스,일자리제공형,방과 후 학교 교육서비스,,,,이재희,043-201-1382,충청북도 청주시 청원구 오창읍 각리1길 97,,,2019-11-26,6430000,충청북도
충북문화유산 지킴이,예술·관광,일자리제공형,"문화유산 경미보수, 문화재 홍보물 제작 등",,,,한명숙,043-201-1382,충청북도 청주시 상당구 우암산로 22,,,2019-11-26,6430000,충청북도
행복한하우징㈜,고용서비스,일자리제공형,실내인테리어,,,,민경열,043-539-3483,충청북도 진천군 진천읍 중앙북로 20,,,2019-11-26,6430000,충청북도
소백산영농조합법인,고용서비스,일자리제공형,농산물 유통,,,,박형채,043-420-2433,충청북도 단양군 매포읍 응실2길 41,,,2019-11-26,6430000,충청북도
㈜나우리,고용서비스,일자리제공형,"홈페이지 및 쇼핑몰 구축, 케릭터 디자인 등",,,,민준형,043-201-1382,충청북도 청주시 청원구 내수읍 마산길 62,,,2019-11-26,6430000,충청북도
㈜춤추는북카페,고용서비스,일자리제공형,"식품제조 및 가공품, 간이음식점",,,,"허영명, 김윤모",043-201-1382,충청북도 청주시 서원구 1순환로 717,,,2019-11-26,6430000,충청북도
㈜움직임예술원문화마루,예술·관광,일자리제공형,"문화예술창작 서비스업, 무용 교육",,,,윤보경,043-201-1382,충청북도 청주시 서원구 신화로 38,,,2019-11-26,6430000,충청북도
주식회사 더매치랩,기타,기타형,건전한 게임문화조성 교육,,,,"변성철, 원영주",031-212-0291,"경기도 용인시 처인구 중부대로1161번길 69-1, 1층(삼가동, 사회적경제허브센터)","경기도 용인시 처인구 삼가동 557-1, 1층",http://www.gameculturelab.com,2019-09-05,4050000,경기도 용인시
현암고마을교육공동체개방형사회적협동조합,기타,기타형,교육문화사업,,,,송경심,070-7743-2016,경기도 용인시 수지구 디지털벨리로 17,경기도 용인시 수지구 죽전동 1354,,2019-09-05,4050000,경기도 용인시
㈜도도한나무,기타,지역사회공헌형,"목공교육, 목제품제조?판매",,,,이은영,1600-5986,"경기도 용인시 수지구 탄천상로1, 2층",경기도 용인시 수지구 죽전동 511,http://dodonamu.com,2019-09-05,4050000,경기도 용인시
주식회사 라임하우스,기타,혼합형,"목공교육, 목제품제조?판매",,,,김미정,031-211-5026,경기도 용인시 기흥구 서그내로15번길 13-13,경기도 용인시 기흥구 서천동 319-6,http://www.limehouse1.com,2019-09-05,4050000,경기도 용인시
주식회사 나무와아저씨,기타,일자리제공형,"건축, 인테리어, 자재 유통, 교육",,,,신유미,031-336-4140,경기도 용인시 처인구 백옥대로 1063,경기도 용인시 처인구 김량장동 31-7,,2019-09-05,4050000,경기도 용인시
㈜솔라엘,기타,일자리제공형,"원두 및 더치 납품, 카페창업교육",,,,박정종,031-889-3338,"경기도 용인시 기흥구 보정로 109, 105~106호",경기도 용인시 기흥구 보정동 1266-3,,2019-09-05,4050000,경기도 용인시
주식회사 글로브(GLOV),기타,일자리제공형,해바라기씨유 제조판매,,,,정남,031-333-3063,경기도 용인시 처인구 원삼면 미평로 98,경기도 용인시 처인구 원삼면 미평리 120-3,,2019-09-05,4050000,경기도 용인시
주식회사 다올에듀,기타,기타형,시니어 감성미술개발,,,,이명순,031-284-3664,"경기도 용인시 기흥구 새천년로16번길 3-16,2층 202호(신갈동,새천년프라자)",경기도 용인시 기흥구 신갈동 725,,2019-09-05,4050000,경기도 용인시
해피블럭카페,기타,기타형,키즈카페,,,,김환,031-8031-7955,"경기도 용인시 수지구 손곡로 111, 2층",경기도 용인시 수지구 동천동 946-6,,2019-09-05,4050000,경기도 용인시
주식회사 이노인사이트,기타,일자리제공형,"학술연구용역, 지식서비스업",,,,이난영,031-335-7708,"경기도 용인시 처인구 백옥대로 1152, 208호",경기도 용인시 처인구 김량장동 165-3,http://www.innoinsight.com,2019-09-05,4050000,경기도 용인시
주식회사 예치원,기타,사회서비스제공형,치매예방프로그램,,,,유선옥,070-7653-5482,"경기도 용인시처인구 중부대로1161번길 69-1,105호(삼가동, 사회적경제허브센터)",경기도 용인시 처인구 삼가동 557-1,,2019-09-05,4050000,경기도 용인시
주식회사 샤인위드컴페니언,기타,일자리제공형,"원두 수입 판매, 카페운영",,,,박유진,031-450-6645,경기도 용인시 수지구 신봉1로366번길 30,경기도 용인시 수지구 신봉동 681-1,,2019-09-05,4050000,경기도 용인시
마을미디어인스토리협동조합,기타,기타형,"마을미디어 교육, 뉴미디어영상콘텐츠서비스",,,,유증종,031-321-0870,"경기도 용인시 기흥구 동백5로 22, 155-156호",경기도 용인시 기흥구 중동 838,http://www.sadari.asia,2019-09-05,4050000,경기도 용인시
사회적협동조합 사다리,기타,지역사회공헌형,"디자인학교, 창업교육",,,,박형영,070-5102-6175,"경기도 용인시 수지구 동천로 24, 302호",경기도 용인시 수지구 동천동 180-18,,2019-09-05,4050000,경기도 용인시
주식회사만찬,고용서비스,일자리제공형,"한식, 도시락 제조판매",,,,천성규,041-632-5816,충청남도 홍성군 홍성읍 교동길 26,,,2019-09-24,6440000,충청남도
벽산컴퓨터리싸이클(주),기타,기타형,"중고컴퓨터 재생및 유통사업, 컴퓨터 및 IT기기 관련 자원순환사업",,,,김영구,041-578-2669,충청남도 천안시 동남구 통정7길 5-23 (신방동),,,2019-09-24,6440000,충청남도
주식회사천안낭만극장,기타,사회서비스제공형,"영화관운영업, 매점업, 대관및 이벤트업",,,,박진용,041-622-5773,"충청남도 천안시 동남구 버들로41, 명성빌딩 지하1층",,,2019-09-24,6440000,충청남도
농업회사법인계룡산채,기타,지역사회공헌형,로컬푸드 직매장 및 레스토랑,,,,이용희,042-864-3030,충청남도 공주시 반포면 사봉길 77-10,,,2019-09-24,6440000,충청남도
상록수농산영농조합법인,기타,지역사회공헌형,농업및 농산품 가공 농산물 유통,,,,한기흥,041-363-8484,충청남도 당진시 시곡로 250-15,,,2019-09-24,6440000,충청남도
부여마을문화학교협동조합,예술·관광,지역사회공헌형,"지역여행, 관광 문화컨텐츠 사업",,,,정광현,041-832-2697,충청남도 부여군 부여읍 사비로 108번길 11-1,,,2019-09-24,6440000,충청남도
아산시교향악단,예술·관광,기타형,"연주활동, 소외대상 음악교육, 신인발굴 육성, 지역문화예술발전 공헌",,,,홍원기,070-8237-9235,충청남도 아산시 시민로 461,,,2019-09-24,6440000,충청남도
아랑두림협동조합,고용서비스,일자리제공형,생활밀접형 세차방식을 활용한 수익창출 비즈니스 모델,,,,오세관,041-547-5312,충청남도 아산시 시민로440번길 8,,,2019-09-24,6440000,충청남도
(주)원포인트,청소,지역사회공헌형,"청소 및 소독서비스업, 스팀세차, 지역특산물 인터넷 판매업",,,,추승우,041-933-8818,충청남도 보령시 신설3길 24-2,,,2019-09-24,6440000,충청남도
(주)공주주거복지센터,기타,일자리제공형,취약계층 주택 경보수,,,,남궁기원,041-855-4236,충청남도 공주시 국고개길 43(중동),,,2019-09-24,6440000,충청남도
(주)버그내,기타,지역사회공헌형,"성지순례객 대상 여행업, 지역내 카톨릭 유무형 자원을 활용한 도소매업",,,,김성태,041-363-7740,충청남도 당진시 합덕읍 신촌로 6,,,2019-09-24,6440000,충청남도
(주)제이씨기획,예술·관광,기타형,"지역문화 콘텐츠 기획 및 컨설팅, 예술단 운영, 문화예술촌 운영",,,,양재천,041-358-1341,"충청남도 당진시 고대면 고대로 124, 2호",,,2019-09-24,6440000,충청남도
단미소주식회사,청소,일자리제공형,에어컨 세척 및 청소용역,,,,박상길,041-358-7662,충청남도 당진시 반촌로 27-28,,,2019-09-24,6440000,충청남도
서천마산협동조합,기타,지역사회공헌형,"지역 농산물 유통판매, 동물복지 달걀 생산 확대",,,,박대수,041-952-3009,충청남도 서천군 마산면 삼일로 280,,,2019-09-24,6440000,충청남도
(주)아름다운마을,예술·관광,기타형,"농어촌 지역 경관개선 재능기부, 경관개선 컨설팅",,,,홍영미,070-7744-6789,충청남도 서산시 인지면 화수2길 135-10,,,2019-09-24,6440000,충청남도
㈜에프엘티코리아,기타,일자리제공형,LED 등기구 기타,,,,서대운,032-818-9654,인천광역시 남동구 남동동로33번길 10,,,2019-06-11,6280000,인천광역시
㈜대송,기타,일자리제공형,닭고기 원료육 수입 및 2차 완제품 생산·판매,,,,정대섭,02-2157-5835,인천광역시 남동구 남동서로 258,,,2019-06-11,6280000,인천광역시
(주)다누림푸드,기타,일자리제공형,닭꼬치 기타 및 생산 판매,,,,하홍기,070-8172-4665,인천광역시 남동구 능허대로649번길 15,,,2019-06-11,6280000,인천광역시
㈜명품크리너스,청소,일자리제공형,"건물청소, 소독, 청소",,,,최성혜,032-1522-3419,인천광역시 남동구 담방로 105,,,2019-06-11,6280000,인천광역시
㈜농업회사법인 풀내음밤나무숲,기타,일자리제공형,"농·임산물 수확 및 숲체험, 천연비누 및 천연향수 기타 판매",,,,문옥영,032-464-4835,인천광역시 남동구 소래로 705,,,2019-06-11,6280000,인천광역시
㈜샛별기타연구,기타,일자리제공형,재난안전기타 및 안전기타 체험 등,,,,허완규,032-446-1142,인천광역시 남동구 앵고개로654번길 32,,,2019-06-11,6280000,인천광역시
자연만세㈜,기타,일자리제공형,건강기타 기타·판매,,,,천준필,,인천광역시 남동구 인주대로 840,,,2019-06-11,6280000,인천광역시
네오맨,기타,기타형,"집수리, 인테리어, 벽화그림",,,,정해윤,032-872-2537,인천광역시 남동구 인주대로 748번길 28,,,2019-06-11,6280000,인천광역시
㈜태평이엔씨,기타,일자리제공형,"전기공사, 전기. 통신장비 판매",,,,이재선,070-7568-1778,인천광역시 남동구 하촌서로17번길 14,,,2019-06-11,6280000,인천광역시
대성하우징협동조합,기타,일자리제공형,"인테리어공사, 실내장식",,,,김미정,032-503-9077,인천광역시 부평구 경원대로 1198,,,2019-06-11,6280000,인천광역시
협동조합 울림이,예술·관광,기타형,관광사업 및 기념품 판매,,,,김원길,054-782-7179,"경상북도 울진군 죽변면 죽변북로 42,대현빌라 101호",,http://www.ulimi.co.kr,2019-09-25,5250000,경상북도 울진군
(주)울진바다소리,사업시설관리,일자리제공형,수산건어물 판매,,,,박영길,054-782-0006,경상북도 울진군 죽변면 골장길 256,,http://www.ujbs.co.kr,2019-09-25,5250000,경상북도 울진군
(사)울진숲길,예술·관광,일자리제공형,"생태교육, 목공예, 주막운영",,,,임영수,054-781-2246,경상북도 울진군 근남면 친환경엑스포로 25,,http://www.uljinsoll.co.kr,2019-09-25,5250000,경상북도 울진군
㈜말똥구리,청소,일자리제공형,화물운송 및 청소(소독) 용역,,,,김경조,054-788-0002,경상북도 울진군 울진읍 월변4길 35(거송팰리스102호),,http://www.말똥구리.kr,2019-09-25,5250000,경상북도 울진군
백암온천마을영농조합법인,예술·관광,일자리제공형,"농촌체험프로그램, 숙박, 식당",,,,신길용,054-788-4490,경상북도 울진군 온정면 온정1길 119,,http://www.baegam.co.kr,2019-09-25,5250000,경상북도 울진군
드림돌봄센터㈜,간병및가사지원,혼합형,"사회서비 사업 (노인돌봄,가사간병,신생아도우미)",,,,노미희,054-781-4666,경상북도 울진군 기성면 망양로 73,,http://dream.carevisit.co.kr,2019-09-25,5250000,경상북도 울진군
