업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜뉴삼성렌트카안산영업소,영업소,"경기도 안산시 단원구 풍전로 37-24, 319-201(원곡동,트리플렉스)","경기도 안산시 단원구 원곡동 994-8, 트리플렉스 319-201",37.32623797,126.7887668,경기도 안산시 단원구 광덕3로 135-18,경기도 안산시 단원구 고잔동 705-11 월드타워,,15,15,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-493-7576,2020-03-02,3930000,경기도 안산시
㈜뉴삼성렌트카상록영업소,영업소,"경기도 안산시 상록구 항가울로19, 102호(사동)","경기도 안산시 상록구 사동 1424-10, 102호",37.283717,126.847118,경기도 안산시 단원구 광덕3로 135-18,경기도 안산시 단원구 고잔동 705-11 월드타워,,10,10,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-406-5300,2020-03-02,3930000,경기도 안산시
㈜와이드,주사업장,"경기도 안산시 상록구 영화4길 21, 102호(사동)",경기도 안산시 상록구 사동 1473-10,37.2793751866,126.8516772493,경기도 안산시 단원구 광덕서로 106,경기도 안산시 단원구 고잔동 704 화랑주차타워,,21,20,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-493-1152,2020-03-02,3930000,경기도 안산시
㈜에이치디렌트카,주사업장,"경기도 안산시 상록구 용신로154-1, 201호(사동)","경기도 안산시 상록구 사동 1576-2, 201호",37.302927,126.839476,경기도 안산시 단원구 광덕2로 156-11,경기도 안산시 단원구 고잔동 716-6MK주차타워,,99,96,3,0,0,,,,,,,,09:00,18:00,,,,,,,,031-416-7400,2020-03-02,3930000,경기도 안산시
㈜아이제이렌트카,주사업장,"경기도 안산시 단원구 중앙대로 855, 109호(고잔동,한양빌딩)","경기도 안산시 단원구 고잔동 531-5, 한양빌딩 109호",37.317422,126.831485,경기도 안산시 단원구 신각길 95,경기도 안산시 단원구 고잔동 705-1번지,,112,99,13,0,0,,,,,,,,09:00,18:00,,,,,,,,031-402-1753,2020-03-02,3930000,경기도 안산시
㈜비엠렌터카,주사업장,"경기도 안산시 상록구 선진안길 131, 103호(사동)","경기도 안산시 상록구 사동 1486-5, 호성자동차정비(주)",37.280618,126.848748,경기도 시흥시 산기대학로 7,경기도 시흥시 정왕동 1290-17(주)명성이엔티,,37,32,5,0,0,,,,,,,,09:00,18:00,,,,,,,,031-409-3880,2020-03-02,3930000,경기도 안산시
(유)현대렌트카,주사업장,전라남도 순천시 팔마로 25(장천동),,34.9467619675,127.4911867,전라남도 순천시 팔마로 25(장천동),,221.07,37,28,9,0,0,,,,,,,,00:00,23:59,,,,,,,,061-745-4003,2020-02-24,4820000,전라남도 순천시
㈜선경엔씨에스렌트카,주사업장,"경기도 안산시 단원구 고잔로 54, 502호","경기도 안산시 단원구 고잔동 529-1, 에이스타워 502호",37.319008,126.832132,경기도 시흥시 오이도로 21,경기도 시흥시 정왕동 2210STEEL LAND,,126,118,8,0,0,,,,,,,,09:00,18:00,,,,,,,,031-487-0001,2020-03-02,3930000,경기도 안산시
㈜고고렌트카,주사업장,"경기도 안산시 상록구 매화로2길 35, 102호(일동)","경기도 안산시 상록구 일동 661-10, 102호",37.303742,126.8636983966,경기도 안산시 단원구 신길로1길 10,경기도 안산시 단원구 신길동 1631,,23,22,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-417-7799,2020-03-02,3930000,경기도 안산시
에스디서비스㈜,주사업장,충청남도 천안시 서북구 서부대로 602 (성정동),충청남도 천안시 서북구 성정동 895,36.8208451183,127.1319971724,충청남도 천안시 서북구 서부대로 602 (성정동),충청남도 천안시 서북구 성정동 895,,52,51,1,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-579-7473,2019-09-26,4490000,충청남도 천안시
지에스렌트카㈜,주사업장,충청남도 천안시 서북구 입장면 입장로 96,충청남도 천안시 서북구 입장면 효계리 24-1,36.9097524050,127.2211075251,충청남도 천안시 서북구 입장면 입장로 96 102호,충청남도 천안시 서북구 입장면 효계리 24-1. 102호,,264,247,17,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-522-7001,2019-09-26,4490000,충청남도 천안시
경동합동택배㈜,주사업장,충청남도 천안시 서북구 서부대로 602 (성정동),충청남도 천안시 서북구 성정동 895,36.8208451183,127.1319971724,충청남도 천안시 서북구 서부대로 602 (성정동),충청남도 천안시 서북구 성정동 895,,55,55,0,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-579-7476,2019-09-26,4490000,충청남도 천안시
㈜참조은,주사업장,"충청남도 천안시 동남구 봉서8길 13 (봉명동, 청솔3차아파트) 상가 107, 108호",충청남도 천안시 동남구 봉명동 494,36.8113494996,127.1333660353,"충청남도 천안시 동남구 봉서8길 13 (봉명동, 청솔3차아파트) 상가 107, 108호","충청남도 천안시 동남구 봉명동 494 봉명청솔 상가107,108호",,76,72,4,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-572-0033,2019-09-26,4490000,충청남도 천안시
에스제이엠글로벌㈜,주사업장,충청남도 천안시 서북구 백석3로 25 (백석동),충청남도 천안시 서북구 백석동 284,36.8218186746,127.1142447783,충청남도 천안시 서북구 백석3로 25 (백석동),충청남도 천안시 서북구 백석동 284,,54,53,1,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-555-8600,2019-09-26,4490000,충청남도 천안시
다성렌트카㈜,주사업장,충청남도 천안시 동남구 천안천10길 72-1 (신부동),충청남도 천안시 동남구 신부동 205-14,36.8281797871,127.1641221720,충청남도 천안시 동남구 천안천10길 72-1 (신부동),충청남도 천안시 동남구 신부동 205-14,,61,58,3,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-579-0009,2019-09-26,4490000,충청남도 천안시
애니렌트카㈜,주사업장,충청남도 천안시 동남구 버들로 156 (원성동) 1층,충청남도 천안시 동남구 원성동 526-1,36.8062256427,127.1637749827,충청남도 천안시 동남구 버들로 156 (원성동) 1층,충청남도 천안시 동남구 원성동 526-1. 1층,,58,54,4,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-568-9119,2019-09-26,4490000,충청남도 천안시
신우,주사업장,충청남도 천안시 동남구 버들로 156 (원성동) 1층,충청남도 천안시 동남구 원성동 526-1,36.8062256427,127.1637749827,충청남도 천안시 동남구 버들로 156 (원성동) 1층,충청남도 천안시 동남구 원성동 526-1. 1층,,51,48,3,0,0,,,,,,,,00:00,00:00,00:00,00:00,00:00,00:00,,,,041-568-9119,2019-09-26,4490000,충청남도 천안시
(주)씨엔에스어울림렌트카 설악 영업소,영업소,경기도 가평군 설악면 유명로1641-5 203호,,37.6568024,127.3882135,경기도 가평군 설악면 유명로1641-5 203호,경기도 가평군 설악면 신천리 601,,2,2,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-584-4123,2019-09-17,4160000,경기도 가평군
(주)바로바로렌트카 가평 영업소,영업소,경기도 가평군 가평읍 북한강변로 479-57,,37.7691100128,127.5371350478,경기도 가평군 가평읍 북한강변로 479-57,경기도 가평군 가평읍 금대리 284-17,,22,14,8,0,0,,,,,,,,09:00,20:00,,,,,,,,02-985-8585,2019-09-17,4160000,경기도 가평군
(주)효산렌트카 가평 영업소,영업소,경기도 가평군 가평읍 태봉두밀로 612-37,,37.8112219,127.435064,경기도 가평군 가평읍 태봉두밀로 612-37,경기도 가평군 가평읍 두밀리 521,,19,0,19,0,0,,,,,,,,09:00,20:00,,,,,,,,031-581-4005,2019-09-17,4160000,경기도 가평군
(주)채움렌트카 가평영업소,영업소,경기도 가평군 가평읍 문화로 13-42,,37.8142485533,127.5110191981,경기도 가평군 가평읍 문화로 13-42,경기도 가평군 가평읍 마장리 428-5,,0,0,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-581-1838,2019-09-17,4160000,경기도 가평군
제너스렌트카(주) 가평렌트카,영업소,"경기도 가평군 가평읍 태평길 3, 2층",,37.8276765407,127.5150964096,"경기도 가평군 가평읍 태평길 3, 2층",경기도 가평군 가평읍 개곡리 698-1,,5,5,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-582-6488,2019-09-17,4160000,경기도 가평군
㈜광명렌트카 가평영업소,영업소,경기도 가평군 가평읍 오리나무길 41-20,,37.8241332,127.5146042,경기도 가평군 가평읍 오리나무길 41-20,,,10,8,2,0,0,,,,,,,,09:00,20:00,,,,,,,,031-582-5300,2019-09-17,4160000,경기도 가평군
㈜우등렌트카 울산영업소,영업소,"울산광역시 남구 중앙로 151번길 2, 2층",,35.5344566641,129.313434,울산광역시 남구 삼산로55번길 6-1,,,0,0,0,0,0,,,,,,,,09:00,18:00,,,,,,,,052-708-9000,2020-03-25,6310000,울산광역시
㈜비마이카 울산영업소,영업소,울산광역시 남구 신정동 1911 신정지웰 109호,,35.522070,129.309913,울산광역시 남구 신정동 168-2,,,0,0,0,0,0,,,,,,,,09:00,18:00,,,,,,,,052-261-2230,2020-03-25,6310000,울산광역시
㈜제이에스밴,주사업장,"인천광역시 서구 승학로 414, 2층(검암동, 홍심빌딩)",,37.5586058457,126.673336,인천광역시 서구 보듬5로 5,,,71,1,70,0,0,,,,,,,,08:00,18:00,08:00,15:00,,,일,,,032-1544-7194,2020-03-25,3560000,인천광역시 서구
㈜엔아이씨이새인천렌트카,주사업장,인천광역시 서구 봉수대로 254-1,,37.4985641,126.662709,인천광역시 서구 건지로 186,,,193,181,12,0,0,,,,,,,,09:00,19:00,09:00,19:00,,,일,,,032-882-0106,2020-03-25,3560000,인천광역시 서구
㈜세원렌트카,주사업장,인천광역시 서구 가좌동 295,,37.482664,126.682006,인천광역시 서구 검단로459번길 4,,,67,67,0,0,0,,,,,,,,09:00,19:00,09:00,15:00,,,일,,,032-505-8311,2020-03-25,3560000,인천광역시 서구
장기렌트카(주),주사업장,인천광역시 서구 봉수대로 1601,인천광역시 서구 금곡동 356-11,37.6140062224,126.6400130538,"인천광역시 서구 봉수대로 1601, 1603",,,185,168,17,0,0,,,,,,,,09:00,18:00,,,,,"토,일",,,032-569-0082,2020-03-25,3560000,인천광역시 서구
㈜행운렌트카,주사업장,인천광역시 서구 경명대로 398,인천광역시 서구 경서동 346-6,37.55215673,126.6525736,인천광역시 서구 검단로459번길 4,인천광역시 서구 경서동 997,,35,32,3,0,0,,,,,,,,08:30,18:00,08:30,16:00,,,연중무휴,,,032-563-4972,2020-03-25,3560000,인천광역시 서구
㈜에이스랜트,주사업장,인천광역시 서구 보도진로 49,,37.4948555510,126.653362,인천광역시 서구 보도진로 49,,,61,58,3,0,0,,,,,,,,09:00,18:30,09:00,16:00,,,일,,,032-573-0666,2020-03-25,3560000,인천광역시 서구
㈜신현대렌트카,주사업장,인천광역시 서구 석남로 121,,37.501062,126.675313,인천광역시 서구 가좌로83번길 22,,,54,52,2,0,0,,,,,,,,08:30,17:30,08:30,17:30,,,일,,,032-572-2288,2020-03-25,3560000,인천광역시 서구
경원렌트카㈜,주사업장,"경기도 안산시 상록구 한양대학로 35, 2층",경기도 안산시 상록구 사동 1152,37.30071437,126.839841,경기도 안산시 단원구 광덕2로 156-11(고잔동),경기도 안산시 단원구 고잔동 716-6,,65,61,4,0,0,,,,,,,,09:00,18:00,,,,,,,,031-413-2277,2020-03-02,3930000,경기도 안산시
경원렌트카㈜선부영업소,영업소,"경기도 안산시 단원구 선부광장1로 26, 115호(선부동)","경기도 안산시 단원구 선부동 1070-14, 문정프라자",37.33612816,126.808087,경기도 안산시 단원구 광덕2로 156-11(고잔동),"경기도 안산시 단원구 신길동 1631 , 4층",,17,16,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-413-2277,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카,주사업장,"경기도 안산시 상록구 석호로 38, 101호(이동)",경기도 안산시 상록구 이동 682-4,37.30801552,126.8474068,"경기도 안산시 단원구 초지2로 67-7(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,72,69,3,0,0,,,,,,,,09:00,18:00,,,,,,,,031-484-1114,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카단원영업소,영업소,"경기도 안산시 단원구 선이로 14, 113호1139호(선부동,제일종합시장)","경기도 안산시 단원구 선부동 1028, 안산제1종합시장",37.342309,126.8036317190,"경기도 안산시 단원구 초지2로 67-7(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,25,24,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-484-1114,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카본오영업소,영업소,경기도 안산시 상록구 각골로 94(본오동),경기도 안산시 상록구 본오동 759-12,37.297849,126.8730657785,"경기도 안산시 단원구 초지2로 67-7(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,12,12,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-409-2114,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카신안산영업소,영업소,경기도 안산시 상록구 충장로 262-1(이동),경기도 안산시 상록구 이동 579-6,37.304915,126.859238,"경기도 안산시 단원구 초지2로 67-8(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,8,7,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-439-2332,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카일동영업소,영업소,"경기도 안산시 상록구 실록길 16, 101호(일동)",경기도 안산시 상록구 일동 654-1,37.305522,126.866189,"경기도 안산시 단원구 초지2로 67-8(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,7,6,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-437-9090,2020-03-02,3930000,경기도 안산시
㈜일일사렌트카사동영업소,영업소,경기도 안산시 상록구 선진로 29(사동),경기도 안산시 상록구 사동 1488-11,37.279185,126.847423,"경기도 안산시 단원구 초지2로 67-8(초지동,한양타워)",경기도 안산시 단원구 초지동 734-5 한양타워,,5,5,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-415-8877,2020-03-02,3930000,경기도 안산시
그린렌트카㈜,주사업장,"경기도 안산시 단원구 선부광장로17, 114호(선부동,다이아몬드빌딩)","경기도 안산시 단원구 선부동 1070-2, 다이아몬드빌딩",37.335956,126.809017,경기도 안산시 단원구 광덕2로 156-11,경기도 안산시 단원구 고잔동 716-6MK주차타워,,19,19,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-411-8600,2020-03-02,3930000,경기도 안산시
케이렌트카㈜,주사업장,"경기도 안산시 상록구 선진6길2, 101호(사동,해안프라자)","경기도 안산시 상록구 사동 1497, 해안프라자 101호",37.28151963,126.843217,경기도 안산시 단원구 신길로1길 10,경기도 안산시 단원구 신길동 1631,,55,50,5,0,0,,,,,,,,09:00,18:00,,,,,,,,031-407-0111,2020-03-02,3930000,경기도 안산시
케이렌트카㈜상록영업소,영업소,"경기도 안산시 상록구 용신로 457, 101호(본오동)","경기도 안산시 상록구 본오동 1116-8, 101호",37.301606,126.8729331405,경기도 안산시 단원구 신길로1길 10,경기도 안산시 단원구 신길동 1631,,10,9,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-407-0111,2020-03-02,3930000,경기도 안산시
케이렌트카㈜이동영업소,영업소,"경기도 안산시 상록구 박우물로 4, 102호(이동)","경기도 안산시 상록구 이동 677, 101호",37.30872907,126.844574,경기도 안산시 단원구 신길로1길 10,경기도 안산시 단원구 신길동 1631,,10,8,2,0,0,,,,,,,,09:00,18:00,,,,,,,,031-407-0111,2020-03-02,3930000,경기도 안산시
케이렌트카㈜월피영업소,영업소,"경기도 안산시 상록구 광덕산2로 38, 101호(월피동)",경기도 안산시 상록구 월피동 511,37.334511,126.846973,경기도 안산시 단원구 신길로1길 10,경기도 안산시 단원구 신길동 1631,,4,3,1,0,0,,,,,,,,09:00,18:00,,,,,,,,031-407-0111,2020-03-02,3930000,경기도 안산시
㈜오토렌트카,주사업장,"경기도 안산시 단원구 고잔로 54, 502호(고잔동)","경기도 안산시 단원구 고잔동 529-1, 에이스타워 502호",37.319008,126.832132,경기도 안산시 단원구 원고잔로 25(고잔동),경기도 안산시 단원구 고잔동 545-1,,97,91,6,0,0,,,,,,,,09:00,18:00,,,,,,,,031-411-2000,2020-03-02,3930000,경기도 안산시
㈜위너스렌트카,주사업장,"경기도 안산시 단원구 광덕1로 163, 207호(고잔동,동남레이크빌2차)","경기도 안산시 단원구 고잔동 718-1, 동남레이크빌2차 207호",37.308378,126.827824,경기도 안산시 단원구 광덕서로 48,경기도 안산시 단원구 고잔동 715-3 양지주차빌딩,,39,39,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-511-6799,2020-03-02,3930000,경기도 안산시
㈜그레이트렌트카,주사업장,"경기도 안산시 단원구 초지로 178, 2층(초지동)",경기도 안산시 단원구 초지동 696-5,37.314713,126.815631,경기도 안산시 단원구 초지2로 67,경기도 안산시 단원구 고잔동 552-1,,52,49,3,0,0,,,,,,,,09:00,18:00,,,,,,,,031-494-9999,2020-03-02,3930000,경기도 안산시
㈜삼천리렌트카 북울산영업소,영업소,울산광역시 북구 진장동 285-3 진장디플렉스 2138호,,35.572351,129.358059,울산광역시 북구 진장유통로 16 진장디플렉스(진장동),,,14,12,2,0,0,,,,,,,,09:00,18:00,,,,,,,,070-4323-3299,2020-03-25,6310000,울산광역시
오토랜드세이프㈜ 울산영업소,영업소,울산광역시 북구 연암동 316-1,,35.581202,129.365655,울산광역시 북구 달천동 489-34,,,2,2,0,0,0,,,,,,,,09:00,18:00,,,,,,,,052-289-8282,2020-03-25,6310000,울산광역시
