낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,위도,경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
모곡낚시터,저수지,강원도 홍천군 서면 모곡리 1134-2,,37.6940144,127.5711014,,1025,향어+붕어+잉어,35,없음,30000,,소화기+구급약+구명부환+확성기,화장실+쓰레기분리수거장,,,홍천군청,2017-12-01,4250000,강원도 홍천군
시동유정낚시터,저수지,강원도 홍천군 남면 시동리 1159-2,,37.5927221,127.8221725,033-432-3637,5000,향어+붕어+잉어,40,없음,30000,,소화기+구급약+구명부환+확성기,화장실+쓰레기분리수거장,,,홍천군청,2017-12-01,4250000,강원도 홍천군
단강낚시터,저수지,강원도 원주시 부론면 섬뜰작실길 26-59,강원도 원주시 부론면 단강리 1508,37.1561876323,127.789543676,033-762-1170,1523,향어+메기+뱀장어,37,-,30000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,"거돈사지,법천사지",033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
이무기낚시터,저수지,강원도 원주시 소초면 신양선녀길 99,강원도 원주시 소초면 장양리 160-1,37.4131308,127.9728481,033-747-3386,11989,붕어+향어+잉어,80,고정형,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,치악산국립공원,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
"낚 go, 또 낚 go",기타,강원도 원주시 토지길 63-9,강원도 원주시 단구동 1642-15,37.321602,127.958887,033-761-5956,30,메기+붕어+향어+잉어,15,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장,박경리문학공원 외,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
주주실내 낚시클럽,기타,강원도 원주시 일산로 7-13,강원도 원주시 일산동 193-2,37.350671,127.9470888,033-743-9624,63,붕어+향어+잉어,22,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장,원주 감영감원 외,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
돌모루낚시터,평지,,강원도 원주시 소초면 흥양리 1649-3,37.381465,127.975253,033-732-2505,835,붕어+향어+잉어,50,-,15000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,치악산국립공원,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
물고기마을,평지,,강원도 원주시 흥업면 사제리 92-1,37.332017,127.894424,033-762-4044,1097,붕어+향어+잉어,68,-,30000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,토지문학관,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
승안낚시터,평지,강원도 원주시 흥업면 돼니길 32-39,강원도 원주시 흥업면 대안리 529,37.314986,127.8747028,033-763-1305,2500,붕어+향어+잉어,70,-,20000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,토지문학관,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
탑전낚시터,저수지,,강원도 원주시 문막읍 동화리 1282-7,37.332365,127.828872,033-735-3946,3610,붕어+잉어,128,-,15000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,간현관광지,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
취병낚시터,저수지,,강원도 원주시 문막읍 취병리 731,37.325026,127.785414,033-731-5908,105000,붕어+향어+잉어,40,고정형,20000,낚시터 관리사무실 일원,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,간현관광지,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
샘골낚시터,저수지,강원도 원주시 호저면 광학로 177,강원도 원주시 호저면 광격리 369-4,37.4624351,127.939202,033-731-5250,7405,붕어+향어+잉어,50,-,20000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,칠봉유원지,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
도곡낚시터,저수지,강원도 원주시 소초면 장수1로 191,강원도 원주시 소초면 장양리 408-2,37.3965613,127.9724158,033-748-0990,6894,붕어+향어+잉어,133,-,20000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,치악산국립공원,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
신선낚시터,저수지,강원도 원주시 한가터길 100,강원도 원주시 반곡동 85,37.3281271686,128.0006755611,033-735-3355,3585,향어+잉어,90,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,치악산국립공원,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
백운낚시터,저수지,강원도 원주시 판부면 내남송길 35-64,강원도 원주시 판부면 서곡리 383,37.317055,127.9454155,000-0000-0000,4419,붕어+향어+잉어,90,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,국립백운산자연휴양림,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
서곡낚시터,저수지,강원도 원주시 판부면 백운정길 46,강원도 원주시 판부면 서곡리 1030-6,37.2983581,127.9326920,033-766-4999,5903,붕어+향어+잉어,100,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,국립백운산자연휴양림,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
항곡낚시터,저수지,충청남도 당진시 고대면 항곡3길 41,충청남도 당진시 고대면 항곡리 276,36.8974532,126.5988313,041-0000-0024,42909,붕어류,70,부유식,"30,000~40,000",없음,"구명조끼,구명환",커피 테이블,도비도,041-350-4287,당진시청,2018-08-31,5680000,충청남도 당진시
안국지낚시터,저수지,충청남도 당진시 정미면 수당리 산106-2,충청남도 당진시 정미면 수당리 산 106-2,36.8293513,126.5522553,041-0000-0025,10809,붕어류,40,고정식,"30,000",없음,"구명조끼,구명환",커피 테이블,은봉산,041-350-4288,당진시청,2018-08-31,5680000,충청남도 당진시
봉교낚시터,저수지,충청남도 당진시 송악읍 봉학로 288,충청남도 당진시 송악읍 봉교리 170-1,36.8782212,126.7395859,041-0000-0026,5000,붕어류,50,고정식,"30,000",없음,"구명조끼,구명환",커피 테이블,한진포구,041-350-4289,당진시청,2018-08-31,5680000,충청남도 당진시
황토낚시터,저수지,충청남도 당진시 순성면 성북리 331-1,충청남도 당진시 순성면 성북리 331-1,36.8458829,126.6800909,041-0000-0027,7641,붕어류,80,부유식,"30,000",없음,"구명조끼,구명환",커피 테이블,아미산,041-350-4290,당진시청,2018-08-31,5680000,충청남도 당진시
오봉제낚시터,저수지,충청남도 당진시 신평면 순성로 997번지,충청남도 당진시 신평면 상오리 486-6,36.87399974,126.7494527,041-0000-0028,372760,붕어류,40,부유식,"20,000",없음,"구명조끼,구명환",커피 테이블,삽교천,041-350-4291,당진시청,2018-08-31,5680000,충청남도 당진시
당진실내바다낚시터,기타,충청남도 당진시 송악읍 신복운로 3길 8,충청남도 당진시 송악읍 복운리 1629-1,36.9403376,126.779527,041-0000-0029,198,랍스터,36,실내,"70,000",없음,"구명조끼,구명환",커피 테이블,한진포구,041-350-4292,당진시청,2018-08-31,5680000,충청남도 당진시
초평,저수지,,충청북도 진천군 초평면 화산리 512,36.81382878,127.5169156,043-532-3344,1473908,붕어,200,부유형,15000,낚시터 상류방향,구명부환+소화기+전기설비+구급약품,화장실+쓰레기수거시설+위생설비,두타산,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
개미,평지,충청북도 진천군 덕산면 이영남로 7,충청북도 진천군 덕산면 구산리 400,36.87752005,127.5127621,043-536-5171,19191,붕어,200,고정형,25000,,구명부환+소화기+전기설비+구급약품,화장실+위생설비+쓰레기수거시설,,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
톨게이트,평지,충청북도 진천군 진천읍 상신2길 53,충청북도 진천군 진천읍 상신리 373-16,36.86622667,127.4748382,043-534-1213,1650,붕어,100,고정형,15000,,구명부환+소화기+전기설비+구급약품,화장실+위생설비+쓰레기수거시설,,043-539-3593,진천군청,2018-08-22,4450000,충청북도 진천군
고산낚시터,저수지,강원도 원주시 호저면 호저로 1140,강원도 원주시 호저면 고산리 산77-6,37.4667825,127.917753,033-731-4151,94000,붕어+향어+잉어,200,부유형,30000,낚시터 관리사무실 일원,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,칠봉유원지,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
호저낚시터,저수지,강원도 원주시 호저면 평천1길 21,강원도 원주시 호저면 주산리 859,37.4222820,127.9216660,033-731-9573,4189,붕어+향어+잉어,120,-,10000,낚시터 일원 전반,소화기+구명부환+구명줄+방송설비,관리시설+화장실+세면장+쓰레기분리수거함,칠봉유원지,033-737-4193,강원도 원주시청,2019-05-22,4190000,강원도 원주시
제우스실내낚시,기타,부산광역시 북구 효열로 275(금곡동),부산광역시 북구 금곡동 55-2,35.2672005903,129.018349061,051-365-2782,44,"잉어, 붕어 등",24,고정형,"10,000원",,"구명부환, 구명조끼, 소화기, 구급양품 등","화장실, 분리수거통 등",없음,051-309-4474,부산광역시 북구,2019-05-21,3320000,부산광역시 북구
대물낚시터,평지,전라남도 화순군 청풍면 차풍로 369,,34.906923,126.978714,061-373-1911,264,붕어,40,고정형,10000,,구명부환+소화기+구급약품,휴게실+화장실+주차장,"도곡온천,운주사",061-379-3646,전남 화순군청,2019-10-08,4900000,전라남도 화순군
추정실내낚시터,평지,충청남도 금산군 추부면 추동2길 91,충청남도 금산군 추부면 추정리 543-3,36.1712001988,127.4647171294,,316,붕어+향어,50,고정형,1일 20000,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,"하늘물빛정원, 아토피치유마을",041-750-2572,충청남도 금산군청,2019-07-09,4550000,충청남도 금산군
피쉬방,기타,충청남도 금산군 금산읍 비단로 292,충청남도 금산군 금산읍 상리 49-16,36.1099085241,127.4906909447,041-753-6251,40,붕어+향어,22,고정형,1일 10000,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,"하늘물빛정원, 아토피치유마을",041-750-2572,충청남도 금산군청,2019-07-09,4550000,충청남도 금산군
신추정낚시터,평지,충청남도 금산군 추부면 추동2길 84,충청남도 금산군 추부면 추정리 548-4,36.1721468226,127.4650872917,041-751-2032,572,붕어+향어,50,고정형,1일 20000,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,"하늘물빛정원, 아토피치유마을",041-750-2572,충청남도 금산군청,2019-07-09,4550000,충청남도 금산군
추정낚시터,저수지,충청남도 금산군 추부면 추동2길 91,충청남도 금산군 추부면 추정리 543-2,36.1712001988,127.4647564,041-754-6660,16142,붕어+향어,80,고정형,1일 20000,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,"하늘물빛정원, 아토피치유마을",041-750-2572,충청남도 금산군청,2019-07-09,4550000,충청남도 금산군
낚시꾼,기타,경상북도 구미시 인동32길 15,경상북도 구미시 진평동 84-8,36.0936264,128.4306883,,59.4,붕어+잉어,30,-,"10,000원/일",,소화기+구급약품,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
물만난고기,기타,경상북도 구미시 인동중앙로 42,경상북도 구미시 인의동 365-2,36.10866979,128.4229068,054-471-4809,75.24,메기+송어,20,-,"10,000원/일",,소화기+구급약품,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
관광농원낚시터,저수지,,경상북도 구미시 해평면 송곡리 374,36.23813934,128.3939561,054-472-7059,1197,향어+잉어,50,-,"10,000원/일",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
니모피싱카페,기타,경상북도 구미시 신시로7길 18,경상북도 구미시 형곡동 143-8,36.1126982988,128.3373657,054-441-6363,44.1,붕어+잉어,30,-,"10,000원/일",,소화기+구급약품,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
낚go낚go실내낚시카페,기타,경상북도 구미시 금오대로 308,경상북도 구미시 오태동 741-11,36.07184406,128.350102,,46,붕어+잉어,25,-,"10,000원/일",,소화기+구급약품,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
놀이터실내낚시카페,기타,경상북도 구미시 인동남길 84(진평동),경상북도 구미시 진평동 9-2,36.09888134,128.4255529,,40,붕어+잉어,30,-,"9,000원/일",,소화기+구급약품,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
사각지낚시터,저수지,,경상북도 구미시 신동 57,36.09708201,128.4749071,054-472-4071,20000,붕어+잉어,100,고정형,"13,000원/일",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,구미시청 축산과,2019-06-26,5080000,경상북도 구미시
선재낚시터,바다,인천광역시 옹진군 영흥면 선재로265번길 103,인천광역시 옹진군 영흥면 선재리 산24-2,37.2513907052,126.5161751683,032-882-1348,19000,"참돔, 우럭",100,고정형,"1일 60,000원",,"구명조끼, 구명환 등","매표서, 매점 등",영흥 수산물 직판장,032-899-2733,옹진군청,2019-06-24,3580000,인천광역시 옹진군
송정낚시터,바다,,울산광역시 울주군 서생면 대송리 339-8,35.369127,129.355952,,10060,"참돔, 우럭",95,부유형,"60,000원/일",,"구명부환 6개, 구명조끼 120개, 구급약품 1개, 소화기 5개, 계류설비 1개",화장실,간절곶,052-204-1646,울주군청,2019-09-18,6310000,울산광역시
실내낚시카페 낚시의 신,기타,"울산광역시 중구 젊음의1거리 7(성남동,지하1층)",,35.5534027,129.3188501,,28.7,향어+붕어,24,고정형,1시간 1인 10000원,,구명조끼+소화기+구급약품,화장실+쓰레기통,,,울산광역시 중구청,2019-09-18,6310000,울산광역시
해적왕 실내낚시카페,기타,"울산광역시 중구 병영로 17(남외동,지하1층)",,35.5709627,129.3459201,,52,향어+붕어,30,고정형,1시간 1인 10000원,,구명조끼+소화기+구급약품,화장실+쓰레기통,,,울산광역시 중구청,2019-09-18,6310000,울산광역시
당사해양낚시공원,바다,울산광역시 북구 용바위2길25,울산광역시 북구 당사동 508,35.5854503,129.4581655,052-282-1116,144000,우럭,156,고정식,"낚시객 : 성인 10,000원, 학생 5,000원입장료 : 1,000원",,"비상약, 구명부환,소화기 등","방송시설,화장실 등",우가어촌체험마을,052-241-7752,울산광역시 북구청,2019-09-18,6310000,울산광역시
후니 실내낚시터,기타,울산광역시 동구 화잠로 105 (방어동) 지하1층,,35.478505,129.413984,,57.31,"향어, 붕어",25,고정형,"1시간 1인 10,000원,커플2인 18,000원",,소화기+구급약품,화장실+쓰레기통,,,울산광역시 동구청,2019-09-18,6310000,울산광역시
캐리비안 실내낚시터,기타,울산광역시 동구 진성4길 48 (전하동) 지하1층,,35.509125,129.426798,,38.25,"향어, 붕어",20,고정형,"1시간 1인 10,000원,커플2인 18,000원",,소화기+구급약품,화장실+쓰레기통,,,울산광역시 동구청,2019-09-18,6310000,울산광역시
심쿵 실내낚시터,기타,울산광역시 동구 학문로 47 (화정동) 지하1층,,35.503136,129.423935,,75,"향어, 붕어",33,고정형,"1시간 1인 10,000원,커플2인 18,000원",,소화기+구급약품,화장실+쓰레기통,,,울산광역시 동구청,2019-09-18,6310000,울산광역시
히트 실내낚시터,기타,울산광역시 동구 방어동순환도로 456 (방어동) 지하1층,,35.487091,129.417336,,38.8,"향어, 붕어",20,고정형,"1시간 1인 10,000원,커플2인 18,000원",,구명부환+구명조끼+소화기+구급약품,화장실+쓰레기통,,,울산광역시 동구청,2019-09-18,6310000,울산광역시
문항체험어장,바다,경상남도 남해군 설천면 강진로 195,경상남도 남해군 설천면 문항리 379-1,34.91233051,127.9222019,055-863-4787,460800,감성돔+볼락+문어+도다리,20,부유형,"1인 20,000원",,구명부환+소화기+구명로프+구급약품,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
마안도유어장,바다,경상남도 남해군 미조면 동부대로538번길 45-2,경상남도 남해군 미조면 송정리 152-5,34.7553915,128.0539355,055-867-8065,13000,감성돔+볼락+문어+도다리,20,부유형,"1인 30,000원",,구명부환+소화기+구명로프+구급약품,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
대벽유료유어장,바다,경상남도 남해군 창선면 서부로1230번길 13,경상남도 남해군 창선면 대벽리 891,34.9086771,128.0014123,055-867-5654,100000,감성돔+볼락+문어+도다리,20,부유형,"1인 20,000원",,구명부환+소화기+구명로프+구급약품,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
장포해상낚시2,바다,경상남도 남해군 창선면 흥선로 1462-3,경상남도 남해군 창선면 진동리 607,34.8471763,128.0592348,055-867-1579,136000,감성돔+볼락+문어+도다리,50,고정형,"1인 2,000원",,구명부환+구명로프,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
장포해상낚시1,바다,경상남도 남해군 창선면 흥선로 1462-3,경상남도 남해군 창선면 진동리 607,34.8471763,128.0592348,055-867-1579,140000,감성돔+볼락+문어+도다리,50,고정형,"1인 2,000원",,구명부환+구명로프,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
항도어촌계 유료낚시터,바다,경상남도 남해군 미조면 동부대로310번길 9,경상남도 남해군 미조면 송정리 340-2,34.74317064,128.0463151,055-867-5969,30000,감성돔+볼락+문어+도다리,10,부유형,"1인 15,000원",,구명부환+소화기+구명로프+구급약품,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
호도유어장,바다,경상남도 남해군 미조면 호도길 28,경상남도 남해군 미조면 미조리 1155,34.68647499,128.0452784,055-867-5902,54000,감성돔+볼락+문어+도다리,100,고정형,"1인 5,000원",,구명부환+구명로프,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
언포해상낚시터,바다,경상남도 남해군 창선면 흥선로579번길 44-97,경상남도 남해군 창선면 가인리 171,34.89649723,128.0457892,055-867-4114,60000,감성돔+볼락+문어+도다리,50,고정형,"1인 3,000원",,구명부환+구명로프,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725,041-857-8104,67.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
서해대교바다낚시터,기타,충청남도 당진시 신평면 샛터길 117-121 일원,충청남도 당진시 신평면 매산리 98-26,36.922214,126.7985487,041-0000-0019,10995,"농어,민어",190,육상좌대식,"70,000",없음,"구명조끼,구명환",개인쉼터,행담도,041-350-4310,당진시청,2018-08-31,5680000,충청남도 당진시
가교낚시터,저수지,충청남도 당진시 송악읍 가교리 251,충청남도 당진시 송악읍 가교리 251,36.8822124,126.6964506,041-0000-0020,87129,붕어류,300,부유식,"10,000~50,000",없음,"구명조끼,구명환",커피 테이블,한진포구,041-350-4283,당진시청,2018-08-31,5680000,충청남도 당진시
고대낚시터,저수지,충청남도 당진시 고대면 삼동길 33-63,충청남도 당진시 고대면 옥현리 505,36.91735741,126.5638334,041-0000-0021,992,붕어류,40,고정식,"30,000",없음,"구명조끼,구명환",커피 테이블,삼선산수목원,041-350-4284,당진시청,2018-08-31,5680000,충청남도 당진시
면천지낚시터,저수지,충청남도 당진시 면천면 면천로 844-5,충청남도 당진시 면천면 성상리 106,36.811102,126.6807623,041-0000-0022,278092,붕어류,142,부유식,"10,000~50,000",없음,"구명조끼,구명환",커피 테이블,아미산,041-350-4285,당진시청,2018-08-31,5680000,충청남도 당진시
신동낚시터,저수지,충청남도 당진시 대호지면 도이리 668-1,충청남도 당진시 대호지면 도이리 668-1,36.9277373,126.5309913,041-0000-0023,114227,붕어류,100,부유식,"15,000~40,000",없음,"구명조끼,구명환",커피 테이블,도비도,041-350-4286,당진시청,2018-08-31,5680000,충청남도 당진시
금곡낚시터,평지,경기도 파주시 법원읍 술이홀로1372번길 347,"경기도 파주시 법원읍 금곡리 32, 32-6",37.8926781992,126.8926515969,031-958-2503,3.6,"메기,붕어,잉어 등",60,고정형,30000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
효촌낚시터,저수지,,경기도 양주시 광적면 효촌리 337-1,37.8793732451,126.9561063508,031-871-1323,37,"붕어,잉어",1000,잔교형좌대,"15,000",-,해당사항 없음,해당사항 없음,-,031-950-3203,한국농어촌공사,2019-05-10,5590000,경기도 양주시
남방낚시터,저수지,경기도 양주시 양주산성로 280-7,경기도 양주시 어둔동 159,37.7757637874,127.0180123,031-845-4855,8.4,"붕어,잉어",1000,잔교형좌대,"25,000",-,해당사항 없음,해당사항 없음,-,031-950-3203,한국농어촌공사,2019-05-10,5590000,경기도 양주시
신암낚시터,저수지,,경기도 양주시 남면 신암리 158,37.9203285855,126.9644603391,031-863-5882,5.5,"붕어,잉어",1500,잔교형좌대,"25,000",-,해당사항 없음,해당사항 없음,-,031-950-3203,한국농어촌공사,2019-05-10,5590000,경기도 양주시
도심어부,기타,"경기도 수원시 영통구 영통로 232, 지하1층(영통동, 제2상가동)","경기도 수원시 영통구 영통동 973-3, 지하1층",37.2477751,127.0591596,031-205-7872,21.98,가재류,10,좌대,1만원/1시간,,구명환+구명줄,휴게실,수원화성,031-228-2917,수원시 농업기술센터,2019-03-25,3740000,경기도 수원시
물반고기반낚시터,기타,"경기도 수원시 팔달구 인계로124번길 43, 지하1층(인계동)","경기도 수원시 팔달구 인계동 1041, 지하1층",37.2653347,127.0304667,031-226-3656,47.9,잉어류,15,좌대,1만원/1시간,,구명환+구명줄,휴게실,수원화성,031-228-2917,수원시 농업기술센터,2019-03-25,3740000,경기도 수원시
