업소명,업종명코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,업소전화번호,할인적용최소연령,할인율,할인금액,할인대상서비스명,할인부가정보,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,경로우대업소지정일자,경로우대업소해제일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
윤희 미용실,7 ,울산광역시,동구,31170,울산광역시 동구 명덕3길 40,,35.52401254,129.4300834,052-232-5977,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이네누헤어리더,7 ,울산광역시,동구,31170,울산광역시 동구 번덕8길 26,,35.49825631,129.426905,000-0000-0000,66,컷트 10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이득등대횟집,2 ,울산광역시,동구,31170,울산광역시 동구 주전해안길 148,,35.55822341,129.457615,052-252-9399,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이불혼수마트,99,울산광역시,동구,31170,울산광역시 동구 진성10길 60,,35.50750093,129.4281618,052-236-2049,66,5~10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이상헤어,7 ,울산광역시,동구,31170,울산광역시 동구 화문로26,,35.48481709,129.4121352,052-201-5332,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이여도,2 ,울산광역시,동구,31170,울산광역시 동구 화진5길 7,,35.49285899,129.4259229,052-252-0090,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
이조손칼국수,2 ,울산광역시,동구,31170,울산광역시 동구 옥류로 64,,35.54446759,129.4260748,052-236-9736,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
일산탕,8 ,울산광역시,동구,31170,울산광역시 동구 번덕1길 12-6,,35.50361118,129.4287411,000-0000-0000,66,목욕10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
장어구이,2 ,울산광역시,동구,31170,울산광역시 동구 고늘로 80-14,,35.5004379,129.4377513,052-234-0592,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2018-06-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
전하감자탕돼지국밥,2 ,울산광역시,동구,31170,울산광역시 동구 진성3길 8,,35.51016416,129.4297849,052-235-2387,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
전하후생관안경원(이편한안경원),99,울산광역시,동구,31170,울산광역시 동구 봉수로 290,,35.51250608,129.4235563,052-201-5559,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
정미보리밥,2 ,울산광역시,동구,31170,울산광역시 동구 진성10길 104,,35.50971434,129.4284974,052-233-3345,66,5~10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
정원식당,2 ,울산광역시,동구,31170,울산광역시 동구 진성14길 77,,35.50883181,129.4254294,052-236-2221,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
제일식당,2 ,울산광역시,동구,31170,울산광역시 동구 명덕 3길 6,,35.52355384,129.4324547,052-233-8520,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
조은집,2 ,울산광역시,동구,31170,울산광역시 동구중진길 48,,35.48329527,129.4236832,052-232-3913,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
종가떡,2 ,울산광역시,동구,31170,울산광역시 동구 대송1길 39,,35.49980175,129.4206666,052-252-0399,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
좋은아침,2 ,울산광역시,동구,31170,울산광역시 동구 대학길 47,,35.49886887,129.4202772,052-233-0145,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-03-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
주전백숙,2 ,울산광역시,동구,31170,울산광역시 동구 동해안로 681,,35.56682273,129.4542607,052-251-6411,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
주전블루베리,99,울산광역시,동구,31170,울산광역시 동구 동해안로 655-4,,35.56460572,129.4549914,000-0000-0000,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
주전식육식당,2 ,울산광역시,동구,31170,울산광역시 동구 동해안로 686,,35.56724676,129.4543221,052-251-9488,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
지당목식당,2 ,울산광역시,동구,31170,울산광역시 동구 화정4길 2,,35.4934721,129.4260824,052-251-8307,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
송림세탁,99,울산광역시,동구,31170,울산광역시 동구 동진1길 39,,35.4868967,129.4282995,052-201-3989,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-02-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
수어탕,8 ,울산광역시,동구,31170,울산광역시 동구 대송1길 50,,35.49921227,129.4211249,052-251-0943,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
수정각,2 ,울산광역시,동구,31170,울산광역시 동구 명덕2길 5,,35.52472008,129.4325296,052-235-9206,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
수지헤어,7 ,울산광역시,동구,31170,울산광역시 동구 학문로 27-1,,35.50291748,129.4259611,000-0000-0000,66,컷?펌 30,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
스마일세탁,99,울산광역시,동구,31170,울산광역시 동구 녹수길 19,,35.51329481,129.4298528,052-201-7272,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
스파탕,8 ,울산광역시,동구,31170,울산광역시 동구 남목18길 8,,35.54277783,129.4285507,052-252-5060,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
시선안경원,99,울산광역시,동구,31170,울산광역시 동구 동해안로 7,,35.54035425,129.4248705,052-235-6622,66,30,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
시장회타운,2 ,울산광역시,동구,31170,울산광역시 동구 진성4길 53,,35.50895465,129.4263102,052-251-9922,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
시즌미용실,7 ,울산광역시,동구,31170,울산광역시 동구 번덕8길 123,,35.50247983,129.4276492,000-0000-0000,66,헤어 30,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
신 봉평메밀,2 ,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 588,,35.49412921,129.4272788,052-252-6665,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
신라 과자점,2 ,울산광역시,동구,31170,울산광역시 동구 진성5길 64,,35.50796671,129.4254342,052-244-6474,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
신장군영양탕,2 ,울산광역시,동구,31170,울산광역시 동구 화잠5길 60,,35.48386842,129.4123536,052-235-7721,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
신토불이횟집,2 ,울산광역시,동구,31170,울산광역시 동구 주전해안길 124,,35.55938915,129.4573595,052-252-9999,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
심상열과자점,2 ,울산광역시,동구,31170,울산광역시 동구 꽃바위5길 43,,35.48290549,129.4145457,052-233-7704,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
심이네 꽁보리밥,2 ,울산광역시,동구,31170,울산광역시 동구 학문로 16,,35.50291819,129.4273583,052-252-2871,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
아르페지오,99,울산광역시,동구,31170,울산광역시 동구 동해안로 29,,35.54192898,129.4264966,052-232-0741,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
아리랑 생아구,2 ,울산광역시,동구,31170,울산광역시 동구 대송로 7,,35.50402887,129.4285818,052-234-1824,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
아이사랑 안경원,99,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 919,,35.52321926,129.4326033,052-233-9934,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
아이편한?안경콘택트,99,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 797,,35.51302886,129.4307088,052-252-9933,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
안경나래,99,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 538,,35.48980376,129.4255093,052-233-5822,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
안경브라더스,99,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 1121,,35.53915775,129.4259412,052-252-4977,66,10~30,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
안경찾기 안경원,99,울산광역시,동구,31170,울산광역시 동구 양지5길 72,,35.49862765,129.4208032,052-235-4422,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
앙드레안경원,99,울산광역시,동구,31170,울산광역시 동구 방어진순환도로 568,,35.49241062,129.4267115,052-232-6694,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-02-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
엄나무 국밥,2 ,울산광역시,동구,31170,울산광역시 동구 명덕 5길 30,,35.52535113,129.4325134,052-252-4655,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
엄지횟집,2 ,울산광역시,동구,31170,울산광역시 동구 물목길 7,,35.55410709,129.457282,052-252-3662,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
연성관,2 ,울산광역시,동구,31170,울산광역시 동구 대송9길 25,,35.50027102,129.4209892,052-234-2959,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-03-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
영동식당,2 ,울산광역시,동구,31170,울산광역시 동구 진성4길 5,,35.50860365,129.4296012,052-251-9275,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-12-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
오복참기름오복쌀상회,99,울산광역시,동구,31170,울산광역시 동구 대송5길 50,,35.50296077,129.4209377,052-232-2721,66,,참기름 500원할인,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-10-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
옥류탕,8 ,울산광역시,동구,31170,울산광역시 동구 동해안로 35,,35.54243563,129.4269308,052-234-5566,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
물레방아,2 ,울산광역시,동구,31170,울산광역시 동구 녹수4길 5,,35.51299278,129.4301743,052-236-1446,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
미미미용실,7 ,울산광역시,동구,31170,울산광역시 동구 옥류로 11,,35.5399985,129.4264296,052-233-8481,66,10~20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
미소쌈밥정식,2 ,울산광역시,동구,31170,울산광역시 동구 월봉11길 6,,35.49498384,129.421161,052-252-3171,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
미인대회헤어샵,7 ,울산광역시,동구,31170,울산광역시 동구 옥류로50-1,,35.54328225,129.4265903,052-201-1955,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
민들레분식,2 ,울산광역시,동구,31170,울산광역시 동구 꽃바위로 326,,35.48573597,129.4241884,052-234-1483,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-06-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
믿음세탁,99,울산광역시,동구,31170,울산광역시 동구 산록5길 2,,35.51377793,129.4219635,052-234-4276,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-09-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
방어진흑염소,4 ,울산광역시,동구,31170,울산광역시 동구 서진길 8,,35.48384891,129.4232152,052-236-5325,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
백송세탁소,99,울산광역시,동구,31170,울산광역시 동구 월봉11길 96,,35.48936225,129.4202167,052-252-0524,66,20,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
백옥세탁소,99,울산광역시,동구,31170,울산광역시 동구 남목12길 36,,35.54547114,129.4293948,052-236-1919,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2017-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
별미식당,2 ,울산광역시,동구,31170,울산광역시 동구 남목8길 15,,35.54101458,129.4242951,052-251-0853,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
보떼리아헤어클럽,7 ,울산광역시,동구,31170,울산광역시 동구 동해안로 75,,35.54355546,129.4307393,052-234-3514,66,5,,,,00:00,00:00,00:00,00:00,00:00,00:00,2016-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
보라미용실,7 ,울산광역시,동구,31170,울산광역시 동구 대학길 165,,35.49725159,129.4265046,052-233-6253,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2014-10-06,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
복개천 생아구,2 ,울산광역시,동구,31170,울산광역시 동구 옥류로10-1,,35.53997558,129.4268522,052-252-4463,66,10,,,,00:00,00:00,00:00,00:00,00:00,00:00,2015-01-01,,울산광역시 동구청,052-209-3436,2020-02-14,3710000,울산광역시 동구
