보행자우선도로명,시도명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,보행자우선도로지정일자,연장거리,도로폭,보행자우선도로지정목적,보호구역지정여부,자동차운행속도제한속도,일방통행적용여부,통행제한차량,노상주차허용여부,보행자통행유발시설현황,보행자교통사고발생건수,보행자사망사고건수,속도저감시설,교통안내시설,보행안전시설,보행약자지원시설,보행자편익시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
서울특별시 금천구 시흥대로 123길,1,금천구,37.469888,126.897770,37.470677,126.896706,2017-11-01,130,6,이면도로 교통사고 예방및 보행환경 개선,N,30,Y,없음,N,주민센터+상가밀집지역,,,과속방지턱,도막포장,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
서울특별시 금천구 시흥대로 138길외,1,금천구,37.472750,126.898563,37.472342,126.903074,2018-11-01,400,8,이면도로 교통사고 예방및 보행환경 개선,N,0,N,없음,N,상가밀집 지역,,,과속방지턱,도막포장,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
서울특별시 금천구 시흥대로 52길,1,금천구,37.454705,126.901444,37.451398,126.902714,2019-11-01,380,8,이면도로 교통사고 예방및 보행환경 개선,N,0,Y,없음,N,상가밀집 지역,,,교차로 디자인,보행자 우선도로 표지판,,없음,없음,서울특별시 금천구청,02-2627-2481,2020-02-20,3170000,서울특별시 금천구
백제고분로7길,1,송파구,37.510740,127.085741,37.510545,127.080233,2016-12-15,500,8.5,보행환경개선,N,30,N,없음,N,먹자골목,,,,,,,,서울특별시 송파구청,02-2147-3136,2020-02-20,3230000,서울특별시 송파구
마천로 61바길,1,송파구,37.495332,127.153431,37.494073,127.154685,2018-11-01,180,6,보행환경개선,Y,30,N,없음,N,마천초등학교,,,,,,,,서울특별시 송파구청,02-2147-3136,2020-02-20,3230000,서울특별시 송파구
서대문 명지대2길,01,서대문구,37.582790,126.925480,37.581290,126.924920,,175,08,보행환경개선,N,60,N,N,N,연유치원,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 연세로9길,01,서대문구,37.558520,126.936240,37.558530,126.935060,,110,06,보행환경개선,N,60,N,N,N,신촌 연세로 차없는거리,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 연세로7안길,01,서대문구,37.558090,126.936240,37.558130,126.935000,,110,06,보행환경개선,N,60,N,N,N,신촌 연세로 차없는거리,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 연세로5가길,01,서대문구,37.557320,126.936220,37.557320,126.934860,,125,06,보행환경개선,N,60,N,N,N,신촌 연세로 차없는거리,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 연세로4길,01,서대문구,37.556990,126.937510,37.558560,126.939670,,260,06,보행환경개선,N,60,N,N,N,신촌 연세로 차없는거리,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 신촌역로,01,서대문구,37.558450,126.942630,37.558090,126.942150,,85,06,보행환경개선,N,60,N,N,N,신촌역,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
서대문 연희로11가길,01,서대문구,37.568020,126.929540,37.566200,126.927210,,250,06,보행환경개선,N,60,N,N,Y,주변 상가,,,,,,,,서울특별시 서대문구,02-330-1797,2019-03-04,3120000,서울특별시 서대문구
동리로,13,고창군,35.43309771,126.695888,35.43302084,126.7012008,2014-09-22,3500,10,안전한보행환경조성,N,30,Y,대형화물차량,Y,"보도, 교통안전시설 등",0,0,노면시설,,,,,고창군,063-560-2562,2019-06-20,4780000,전라북도 고창군
방배천로2길,01,서초구,37.477274,126.982067,37.476852,126.985397,,330,8.8,보행환경개선 및 교통사고예방,N,30,N,N,N,근린생활시설,,,,,,,,서울특별시 서초구청,02-2155-7189,2019-05-31,3210000,서울특별시 서초구
서초대로77길,01,서초구,37.501780,127.025376,37.499410,127.025924,,290,7.5,보행환경개선 및 교통사고예방,N,30,Y,N,N,근린생활시설,,,,,,,,서울특별시 서초구청,02-2155-7189,2019-05-31,3210000,서울특별시 서초구
방배로42길,01,서초구,37.495503,126.988809,37.493095,126.991006,,350,9,보행환경개선 및 교통사고예방,N,30,Y,N,N,근린생활시설,,,,,,,,서울특별시 서초구청,02-2155-7189,2019-05-31,3210000,서울특별시 서초구
거안로,11,진천군,36.906967,127.528486,36.908824,127.529896,,500,10,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
교연로,11,진천군,36.845319,127.497893,36.903226,127.546141,,900,15,보행환경개선,N,80,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
연미로,11,진천군,36.896897,127.531075,36.909851,127.535853,,1800,18,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
여안2길,11,진천군,36.910608,127.532531,36.910145,127.534639,,200,6,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
여안1길,11,진천군,36.910866,127.532493,36.910613,127.532541,,600,6,보행환경개선,N,60,N,없음,N,없음,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
여안로,11,진천군,36.897315,127.523908,36.910049,127.535581,,2200,10,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
거안3길,11,진천군,36.908996,127.529605,36.908701,127.527146,,400,6,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
거안2길,11,진천군,36.908701,127.527117,36.907417,127.527658,,400,6,보행환경개선,N,60,N,없음,N,없음,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
거안5길,11,진천군,36.907416,127.528354,36.908735,127.529421,,300,6,보행환경개선,N,60,N,없음,N,공원,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
거안4길,11,진천군,36.907151,127.528145,36.909094,127.529678,,200,6,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
연미2길,11,진천군,36.907718,127.532607,36.908151,127.532158,,300,6,보행환경개선,N,60,N,없음,N,없음,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
예지로,11,진천군,36.903944,127.528761,36.901539,127.532806,,500,10,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
예지1길,11,진천군,36.903359,127.532167,36.902391,127.531542,,100,6,보행환경개선,N,60,N,없음,N,아파트+편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
예지2길,11,진천군,36.903178,127.530211,36.904285,127.531169,,200,6,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
대월2길,11,진천군,36.901901,127.538681,36.901614,127.538883,,600,6,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
대월1길,11,진천군,36.899941,127.535041,36.899677,127.535224,,500,6,보행환경개선,N,60,N,없음,N,없음,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
선옥1길,11,진천군,36.896122,127.531532,36.896175,127.531724,,500,6,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
공원로,11,진천군,36.903407,127.533292,36.905486,127.536482,,800,10,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
시가로,11,진천군,36.901696,127.532483,36.905434,127.536512,,700,10,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
대하로,11,진천군,36.895499,127.526518,36.906339,127.540557,,1300,12,보행환경개선,N,60,N,없음,N,아파트+편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
자안로,11,진천군,36.904769,127.534132,36.903825,127.535634,,200,10,보행환경개선,N,60,N,없음,N,편의시설,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
원봉로,11,진천군,36.090707,127.525101,36.899221,127.537651,,1500,15,보행환경개선,Y,30,N,없음,N,학교,,,,,,,,진천군청 안전건설과,043-539-3665,2019-06-07,4450000,충청북도 진천군
광진 능동로10길,01,광진구,37.536024,127.073625,37.535362,127.075522,2015-10-22,180,5,통학로 보행안전,Y,30,N,N,N,학교,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 자양로50길,01,광진구,37.551885,127.092367,37.552558,127.095343,2016-11-30,270,8,통학로 보행안전,Y,30,N,N,N,학교,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 아차산로49길,01,광진구,37.537544,127.084471,37.536823,127.084726,2016-11-30,80,5,상가밀집지역 보행안전,N,60,N,N,N,지하철역+먹자골목,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 아차산로51길,01,광진구,37.537726,127.085188,37.537024,127.085477,2017-09-24,80,5,상가밀집지역 보행안전,N,60,Y,N,N,지하철역+먹자골목,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 아차산로53길,01,광진구,37.537888,127.085841,37.537167,127.086098,2017-09-24,80,5,상가밀집지역 보행안전,N,60,N,N,N,지하철역+먹자골목,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 아차산로55길,01,광진구,37.538051,127.086541,37.537360,127.086622,2017-09-24,80,8,상가밀집지역 보행안전,N,60,N,N,N,지하철역+먹자골목,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 동일로52길,01,광진구,37.553569,127.073542,37.554870,127.071266,2017-11-04,220,8,통학로 보행안전,Y,30,N,N,N,학교,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
광진 능동로35길,01,광진구,37.556817,127.078178,37.558613,127.073516,2018-10-16,460,8,상가밀집지역 보행안전,N,30,N,N,N,지하철역+먹자골목,,,디자인 도막포장,,,,,서울특별시 광진구,02-450-7920,2019-02-28,3040000,서울특별시 광진구
없음,09,하남시,11.111111,111.111111,11.111111,111.111111,,100,100,주거지역 환경 보전 및 안전 확보,N,100,N,화물차,N,없음,,,,,,,,경기도 하남시,031-790-6545,2018-08-10,4040000,경기도 하남시
