보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
상도근린공원 산책로,서울특별시,동작구,상도동,,시간제,10:00,17:00,10:00,17:00,34.491157,126.953598,37.492541,126.956246,,4,,보행환경개선,2019-05-01,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2019-11-19,3190000,서울특별시 동작구
연서로29길,서울특별시,은평구,갈현동,2018-07-07,주말제,00:00,00:00,14:00,22:00,37.618443,126.918622,37.618906,126.918939,,6,N,보행편의,2018-12-21,합격,,,,,,,,2,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로29길,서울특별시,은평구,갈현동,2018-07-07,주말제,00:00,00:00,14:00,22:00,37.619146,126.918630,37.619645,126.919585,,6,N,보행편의,2018-12-21,합격,,,,,,,,1,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로27길,서울특별시,은평구,갈현동,2018-07-07,주말제,00:00,00:00,14:00,22:00,37.618124,126.917841,37.619091,126.918482,,6,N,보행편의,2018-12-21,합격,,,,,,,,1,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
진흥로13길,서울특별시,은평구,대조동,2017-11-04,주말제,00:00,00:00,10:00,18:00,37.609613,126.924991,37.608788,126.926313,,6,N,보행편의,2017-12-02,합격,,,,,,,,10,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
연서로29길,서울특별시,은평구,갈현동,2013-06-29,주말제,00:00,00:00,14:00,22:00,37.619311,126.918091,37.618478,126.920074,,8,Y,보행편의,2017-09-26,합격,,,,,,,,8,,,서울특별시 은평구청,02-351-7772,2019-07-01,3110000,서울특별시 은평구
소3-15,인천광역시,연수구,선학동,,전일제,12:01,23:59,12:01,23:59,37.430261,126.696891,37.430246,126.696525,,6, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-114,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.420645,126.678352,37.420435,126.678171,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-47,인천광역시,연수구,동춘동,,전일제,12:01,23:59,12:01,23:59,37.408022,126.672025,37.407821,126.671812,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-48,인천광역시,연수구,동춘동,,전일제,12:01,23:59,12:01,23:59,37.414411,126.678125,37.414137,126.677848,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-42,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.422751,126.651892,37.423189,126.651918,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-28,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.427604,126.667893,37.427231,126.667731,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-123,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.425317,126.673836,37.425102,126.676832,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-129,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.415191,126.682331,37.414993,126.682123,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-17,인천광역시,연수구,선학동,,전일제,12:01,23:59,12:01,23:59,37.423613,126.701218,37.423591,126.701554,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소2-37,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.415915,126.678051,37.415866,126.678278,,8, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-26,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.428848,126.667442,37.429041,126.667499,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-130,인천광역시,연수구,연수동,,전일제,12:01,23:59,12:01,23:59,37.417304,126.684277,37.418528,126.685475,,4, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-12,인천광역시,연수구,청학동,,전일제,12:01,23:59,12:01,23:59,37.426421,126.665558,37.426157,126.665474,,6, ,보행환경개선,2017-11-01,합격,,,,,,,,,,,인천광역시 연수구청,032-749-8525,2020-06-01,3520000,인천광역시 연수구
소3-20,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-19,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
소3-18,인천광역시,남동구,논현동,,전일제,00:00,00:00,00:00,00:00,37.407012,126.711682,37.407022,126.711481,,4,,보행환경개선,2019-05-23,합격,,,,,,,,,,,남동구,032-453-2724,2020-01-14,3530000,인천광역시 남동구
외국인 관광특구 차 없는 거리_1,경기도,동두천시,보산동,2019-10-25,전일제,00:00,24:00,00:00,24:00,37.913843,127.057031,37.917827,127.056377,겸용,6,N,"외국인 관광특구 내 주민, 상인, 방문객의 보행권 제고 및 월드 푸드 스트리트 운영 등 각종 콘텐츠의 원활한 운영을 위하여",2020-03-23,합격,,3,14,0,0,2,0,0,0,0,동두천시청 전략사업과,031-860-2275,2020-06-30,3920000,경기도 동두천시
외국인 관광특구 차 없는 거리_2,경기도,동두천시,보산동,2019-10-25,전일제,00:00,24:00,00:00,24:00,37.913956,127.056321,37.915284,127.056833,겸용,3,N,"외국인 관광특구 내 주민, 상인, 방문객의 보행권 제고 및 월드 푸드 스트리트 운영 등 각종 콘텐츠의 원활한 운영을 위하여",2020-03-23,합격,,1,4,0,0,1,0,0,0,0,동두천시청 전략사업과,031-860-2275,2020-06-30,3920000,경기도 동두천시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3319575,127.126143,37.3319628,127.125304,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3316985,127.127574,37.3317748,127.128589,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3316377,127.127013,37.3312409,127.123251,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3249626,127.1246308,37.3250077,127.1246764,,9, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2005-05-30,전일제,00:00,00:00,00:00,00:00,37.3237762,127.122063,37.3243532,127.122752,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2006-05-01,전일제,00:00,00:00,00:00,00:00,37.329423,127.1157486,37.325722,127.122181,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
중로1-92,전라남도,여수시,웅천동,2014-01-23,전일제,00:00,23:59,00:00,23:59,34.747129,127.669872,34.746756,127.673303,겸용,20, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
중로11-15,전라남도,여수시,여서동,1987-11-14,전일제,00:00,23:59,00:00,23:59,34.749331,127.699919,34.752394,127.702298,겸용,15, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
중로12-15,전라남도,여수시,여서동,1987-11-14,전일제,00:00,23:59,00:00,23:59,34.752606,127.702711,34.752819,127.703036,겸용,15, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
소로3-304,전라남도,여수시,여서동,1987-11-14,전일제,00:00,23:59,00:00,23:59,34.751655,127.699587,34.751531,127.699756,겸용,4, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
소로3-303,전라남도,여수시,여서동,1987-11-14,전일제,00:00,23:59,00:00,23:59,34.750221,127.699622,34.750161,127.699826,겸용,4, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
소로3-709,전라남도,여수시,소라면,2010-12-28,전일제,00:00,23:59,00:00,23:59,34.765402,127.638028,34.766159,127.638771,겸용,4, ,보행환경개선,2017-10-31,합격,없음,0,,,,,,,,,여수시,061-659-5112,2017-11-30,4810000,전라남도 여수시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.335337,127.127269,37.335071,127.121233,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3259705,127.125384,37.325794,127.124627,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3259871,127.126387,37.3259823,127.126715,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3245844,127.1228944,37.3244981,127.1226547,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3248986,127.1247548,37.3249247,127.1247796,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3252038,127.1247025,37.325154,127.1247847,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3251659,127.1251849,37.3252795,127.1249897,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3254158,127.1247575,37.3253807,127.124818,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3253909,127.1252038,37.3253951,127.1252685,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3255677,127.1249109,37.3255456,127.1249444,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3254511,127.1246891,37.3256537,127.1243455,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
없음,경기도,하남시,덕풍동,2003-12-26,전일제,00:00,00:00,00:00,00:00,37.3256281,127.1244072,37.3256566,127.1244322,,6, ,보행환경개선,2019-05-30,합격,,,,,,,,,,,경기도 하남시청,031-790-5947,2019-05-30,4040000,경기도 하남시
