시도명,시군구명,시티투어코스명,시티투어문의처,시티투어운영시간,시티투어운행방식,시티투어탑승장소명,시티투어코스정보,경유지주변관광정보,시티투어코스부가정보,운행정보,운행시작시각,운행종료시각,배차시간,이용요금,이용요금부가정보,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
대전광역시,동구,역사문화,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,"대전역 → 대전시립박물관 → 효월드(족보박물관) → (역전시장, 중앙시장 경유) 대전역",,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
대전광역시,동구,교 육,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,대전역 → 대전복합터미널 → 대청댐물문화관 → 삼정동 생태공원 → 대전복합터미널 → 대전역,,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
대전광역시,동구,대덕특구탐방,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,대전역 → 국립중앙과학관 → 창의발명체험관 → 지질박물관 → 카이스트 → 성심당(대흥동성당 경유) 대전역,,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
대전광역시,동구,대덕특구탐방,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,대전역 → 스튜디오큐브(드라마촬영장) → 화폐박물관 → 카이스트(경유) 솔로몬로파크 → (으능정이거리 경유) 대전역,,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
대전광역시,동구,역사문화,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,대전역 → 국립대전현충원 → 대동하늘공원(벽화마을) → (중앙시장 경유) → 대전역,,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
대전광역시,동구,교 육,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,"대전역 → 한밭교육박물관 → 천연기념물센터(열대식물원, 대전곤충생태관) → (성심당, 대흥동성당 경유) 대전역",,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
강원도,태백시,추억여행 코스,033-550-2828,연중무휴+7인이상일경우,고정형,태백역,태백역-드라마촬영지-철암탄광역사촌-태백체험공원&추억의 도시락 체험-황부자며느리친정가는길-황지연못&황지자유시장-태백역,,,운행 전일 14시 기준 예약인원 7인 이상일경우,11:30,17:30,30,"대인 6,000원 + 초중고생 3,000원 + 7세이하 무료","내일로 관광객 3,000원",tour.taebaek.go.kr,강원도 태백시청 관광문화과,033-550-2081,2020-01-03,4220000,강원도 태백시
강원도,태백시,통리5일장 코스,033-550-2828,연중무휴+7인이상일경우,고정형,태백역,태백역-검룡소-통리5일장-드라마 촬영장-철암탄광역사촌-365세이프타운-태백역,,,운행 전일 14시 기준 예약인원 7인 이상일경우,11:30,17:30,30,"대인 6,000원 + 초중고생 3,000원 + 7세이하 무료","내일로 관광객 3,000원",tour.taebaek.go.kr,강원도 태백시청 관광문화과,033-550-2081,2020-01-03,4220000,강원도 태백시
강원도,태백시,산따라 물따라 코스,033-550-2828,연중무휴+7인이상일경우,고정형,태백역,태백역-구문소 및 고생대자연사박물관-철암역-철암탄광역사촌-중식 및 황지자유시장-검룡소-용연동굴-태백역,,,운행 전일 14시 기준 예약인원 7인 이상일경우,11:30,17:30,30,"대인 6,000원 + 초중고생 3,000원 + 7세이하 무료","내일로 관광객 3,000원",tour.taebaek.go.kr,강원도 태백시청 관광문화과,033-550-2081,2020-01-03,4220000,강원도 태백시
울산광역시,없음,산업탐방코스,울산시티투어 052-700-0052,매주 금요일,고정형,KTX울산역,KTX울산역-롯데광장-고래박물관-현대자동차-현대중공업-롯데광장-KTX울산역,,,명절연휴/ 월요일 휴무,10:00,16:50,60,성인10000원+청소년이하8000원,20인이상 단체 KTX SRT 탑승권 고속버스 항공권  소지자 울산시민30할인+ 기초생활수급자 경로자 국가유공자 장애인 본인 50 할인,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
울산광역시,없음,역사탐방코스,울산시티투어 052-700-0052,매주 토요일,고정형,롯데광장,롯데광장-KTX울산역-울산암각화박물관/반구대암각화-천전리각석-울산대곡박물관-KTX울산역-롯데광장,,,명절연휴/ 월요일 휴무,09:45,16:50,60,성인10000원+청소년이하8000원,20인이상 단체 KTX SRT 탑승권 고속버스 항공권  소지자 울산시민30할인+ 기초생활수급자 경로자 국가유공자 장애인 본인 50 할인,http://www.ulsancitytour.co.kr,울산광역시도시공사,052-219-8494,2019-09-27,6310000,울산광역시
전라남도,광양시,햇빛 광양 시티 투어 봄 코스,(유)대한고속관광여행사 061-761-2000,봄 코스:4. 1.~6. 30. 매주 토~일요일운영(5명 이상 예약 시),고정형,순천역,김 시식지-윤동주 유고보존 정병욱 가옥-윤동주 시 정원-(중식)이순신대교 먹거리타운-매천 황현 생가 및 매천 역사공원-옥룡사 동백나무 숲-광양와인동굴,"망덕포구, 배알도&배알도수변공원",광양(임시)버스터미널 출발+중마관광안내소 출발,"4.1.~6. 30. 매주 토~일요일 (주말 5명 이상 예약 시 운행, 평일 단체 10명 이상 예약 시 운행)",10:10,18:10,0,"일반3000원+학생,군인,경로2000원+장애인,미취학아동1000원","관광지 입장료, 체험료, 식사비용, 여행자보험 미포함",http://www.gwangyang.go.kr/tour_culture/index.gwangyang,전라남도 광양시청,061-797-3716,2020-03-24,4840000,전라남도 광양시
경상북도,구미시,구미관광 시티투어,㈜아리랑고속관광 054-481-5578,09:00 ~ 16:00 (대구출발 08:10 ~ 17:00),고정형,"구미농산물도매시장(09:00), 구미역(09:10), 대구콘서트하우스(08:10), 대구성서홈플러스(08:30)","구미대표관광투어 : 매월 첫째 수요일 구미농산물도매시장(09:00) ⇒ 구미역(09:10) ⇒ 왕산허위기념관 ⇒ 박정희 대통령 생가 ⇒ 금오산(채미정, 야은역사체험관)  ⇒ 도리사  ⇒ 신라불교초전지  ⇒ 농산물도매시장  ⇒구미역                             매월 둘째 토요일 대구콘서트하우스(08:10)  ⇒ 대구성서홈플러스(08:30)  ⇒ 구미시청(09:00)  ⇒ 왕산허위기념관  ⇒ 박정희대통령생가  ⇒ 금오산(채미정, 야은역사체험관)  ⇒ 구미에코랜드  ⇒ 신라불교초전지  ⇒ 구미시청  ⇒ 대구도착역사문화관광투어 : 매월 셋째 수요일  구미농산물도매시장(09:00) ⇒ 구미역(09:10) ⇒ 금오산(채미정, 야은역사체험관) ⇒ 죽장리오층석탑 ⇒ 선산시장(단계 하위지 유허비) ⇒ 금오서원 ⇒ 신라불교초전지 ⇒ 인동향교, 동락서원 ⇒ 구미역 ⇒ 농산물도매시장                             매월 넷째 토요일  대구콘서트하우스(08:10)  ⇒ 대구성서홈플러스(0",죽장사+금오서원+신라불교초전지+일선리문화재마을+도리사+구미에코랜드+박정희대통령생가+왕산기념관+금오산+동락서원+지주중류비,,"6월~12월 매달 1,3째 수요일 2,4째 토요일 운행",09:00,16:00,0,1인당 2000원,"식대, 입장료 및 이용료 등 본인부담",http://www.gmcitytour.co.kr/,경상북도 구미시,054-480-2662,2020-07-01,5080000,경상북도 구미시
충청남도,예산군,예산군 버스투어,041-339-7323,매주 토요일 09:30~17:50,고정형,예산역 앞,"예산역-추사고택-수덕사-예당호 출렁다리(느린호수길, 예당호 조각공원 등)-사과파이만들기 체험-예산역",,,연중 매주 토요일,09:30,17:50,0,"약 20,000원","입장료, 점심비, 체험비",http://www.yesan.go.kr/prog/bus/list.do,예산군,041-339-7323,2020-06-25,4610000,충청남도 예산군
대전광역시,동구,역사문화,042-252-7725,"월-일요일(오전, 오후)",고정형,대전역시티투어승강장,"대전역 → 단재 신채호선생 생가지 → 무수동(유회당) → 대전보훈공원 → (성심당, 대흥동성당 경유) → 대전역",,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,242-270-3972,2020-01-01,6300000,대전광역시
전라북도,군산시,시간여행시티투어,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)",군산외곽+시내권근대역사탐방,중동호떡+이성당+영국빵집 등,자유중식,매주 일요일,09:30,17:00,450,성인5000원+초중고등학생2500원,경로할인+학생할인+군인할인+유공자 할인+단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2019-09-10,4670000,전라북도 군산시
전라북도,군산시,1박2일시티투어B코스,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)","1일차: 군산시내일원+2일차:고군산군도도보,유람선여행",1일차:금강생태어도+생태습지공원+이성당빵집+영국빵집  2일차: 자전거라이딩+스카이라인,숙식:자유선택,매주 토요일,09:30,17:00,450,개인10000원,단체할인,www.gunsan.go.kr/tour,스코인포,063-454-3334,2019-09-10,4670000,전라북도 군산시
전라북도,군산시,1박2일시티투어A코스,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)",1일차: 군산시내일원+2일차:고군산군도도보여행,1일차:금강생태어도+생태습지공원+이성당빵집+영국빵집  2일차: 자전거라이딩+스카이라인,숙식:자유선택,매주 토요일,09:30,17:00,450,개인10000원,단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2019-09-10,4670000,전라북도 군산시
전라북도,군산시,군산-서천광역시티투어,063-454-3334,10:00-17:00,고정형,"군산역(10시),시외버스터미널(10시20분)",오전:군산근대역사박물관일원+오후: 서천 국립생태원 등,군산근대건축시설물+서천국립관광지2곳,자유중식,매주 토요일,10:00,17:00,420,성인5000원+초중고등학생2500원,경로할인+학생할인+군인할인+유공자 할인+단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2019-09-10,4670000,전라북도 군산시
경상남도,거제시,거제블루시티투어 2코스,㈜동백관광,08:00~17:30,고정형,"한화리조트,고현시외버스터미널,롯데마트(옥포),대명리조트","2코스:외도 거제해금강or 조선해양문화관 구조라수변공원, 바람의언덕 신선대, 거제도포로수용소유적공원",,,1일1회,08:00,17:30,1440,"성인15,000원,중고생10,000원,어린이8,000원","중식비, 관광지 입장료 별도 부담",www.geojebluecitytour.com,거제시 관광마케팅과,055-639-4792,2020-01-23,5370000,경상남도 거제시
경상남도,거제시,거제블루시티투어 1코스,㈜동백관광,08:00~17:30,고정형,"한화리조트,고현시외버스터미널,롯데마트(옥포),대명리조트","1코스:외도 거제해금강or 조선해양문화관 샛바람소릿길, 학동흑진주몽돌해변, 바람의언덕 신선대, 우제봉전망대",,,1일1회,08:00,17:30,1440,"성인15,000원,중고생10,000원,어린이8,000원","중식비, 관광지 입장료 별도 부담",www.geojebluecitytour.com,거제시 관광마케팅과,055-639-4792,2020-01-23,5370000,경상남도 거제시
전라북도,군산시,시간여행시티투어,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)",군산외곽+시내권근대역사탐방,중동호떡+이성당+영국빵집 등,자유중식,매주 일요일,09:00,17:00,450,성인5000원+초중고등학생2500원,경로할인+학생할인+군인할인+유공자 할인+단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2020-03-12,4670000,전라북도 군산시
전라북도,군산시,1박2일시티투어B코스,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)","1일차: 군산시내일원+2일차:고군산군도도보,유람선여행",1일차:금강생태어도+생태습지공원+이성당빵집+영국빵집  2일차: 자전거라이딩+스카이라인,숙식:자유선택,매주 토요일,09:00,17:00,450,개인10000원,단체할인,www.gunsan.go.kr/tour,스코인포,063-454-3334,2020-03-12,4670000,전라북도 군산시
전라북도,군산시,1박2일시티투어A코스,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)",1일차: 군산시내일원+2일차:고군산군도도보여행,1일차:금강생태어도+생태습지공원+이성당빵집+영국빵집  2일차: 자전거라이딩+스카이라인,숙식:자유선택,매주 토요일,09:00,17:00,450,개인10000원,단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2020-03-12,4670000,전라북도 군산시
전라북도,군산시,군산-서천광역시티투어,063-454-3334,10:00-17:00,고정형,"군산역(10시),시외버스터미널(10시20분)",오전:군산근대역사박물관일원+오후: 서천 국립생태원 등,군산근대건축시설물+서천국립관광지2곳,자유중식,매주 토요일,10:00,17:00,420,성인5000원+초중고등학생2500원,경로할인+학생할인+군인할인+유공자 할인+단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2020-03-12,4670000,전라북도 군산시
전라북도,군산시,고군산-시간여행마을,063-454-3334,09:30-17:00,고정형,"시외버스터미널(9시30분), 군산역(10시)",오전:고군산군도+오후: 시간여행마을,고군산군도+근대건축시설물,자유중식,매주 토요일+일요일,09:00,17:00,450,성인5000원+초중고등학생2500원,경로할인+학생할인+군인할인+유공자 할인+단체할인,www.gunsan.go.kr/tour,전라북도 군산시청,063-454-3334,2020-03-12,4670000,전라북도 군산시
경상남도,양산시,가을걷기코스,055-392-3235,여행주간이벤트실시 시,순환형,양산역(지하철2호선)모다아웃렛앞),http://www.yangsan.go.kr/tour/contents.do?mId=0703000000,http://www.yangsan.go.kr/tour/contents.do?mId=0703000000,http://www.yangsan.go.kr/tour/contents.do?mId=0703000000,http://www.yangsan.go.kr/tour/contents.do?mId=0703000000,09:50,16:00,0,5000,,http://www.yangsan.go.kr/tour/contents.do?mId=0703000000,양산시 문화관광과,055-392-3235,2020-05-28,5380000,경상남도 양산시
강원도,춘천시,춘천 시티투어,한일여행사 033-241-5533 춘천역관광안내소 033-250-4312,매일노선(1월~12월) 10:30~17:30주말특별노선(4월~11월) 11:00~18:00,고정형,춘천역,월요일 : 춘천역 - 소양강댐 - 청평사 - 옥광산(옥동굴체험) - 소양강스카이워크 - 소양강처녀상 - 춘천역 화요일 : 춘천역 - 소양강스카이워크- 소양강처녀상 - 김유정문학마을- 강촌레일바이크  - 구곡폭포 - 국립춘천박물관 - 춘천역 수요일 : 춘천역 - 소양강스카이워크 - 소양강처녀상 - 물레길 또는 의암스카이워크 - 옥광산(옥동굴체험) - 강원도립화목원 - 춘천역 목요일 : 춘천역 - 소양강스카이워크 - 소양강처녀상 - 옥광산(옥동굴체험) - 등선폭포 - 제이드가든 - 춘천역 금요일 : 춘천역 - 물레길 또는 의암스카이워크 - 김유정문학마을 - 강촌레일바이크 - 애니메이션박물관 - 춘천역 토요일 : 춘천역 - 춘천막국수체험박물관 - 소양강댐 - 청평사 - 강원도립화목원 - 소양강스카이워크 - 소양강처녀상 - 춘천역 일요일 : 춘천역 - 소양강스카이워크 - 소양강처녀상 - 김유정문학마을 - 구곡폭포 - 토이로봇관 - 장절공신숭겸묘역- 춘천역주말특별노선 토요일 : 춘천역(11:00) - 소양강스카이,"권진규미술관, 용화산 자연휴양림,춘천인형극장, 토이로봇관, 이상원미술관, 책과인쇄박물관, KT&G 상상마당 춘천 등",요일별코스,주중 : 차량1대운영(총소요시간7시간)주말 : 차량2대운영(총소요시간7시간),10:30,17:30,0,"대인 : 6,000원 만 19세 미만, 경로(만 65세 이상), 장애인(1~3급), 국가유공자 : 4,000원","중식 및 관광지 입장료 별도, 36개월 이하 무료",tour.chuncheon.go.krhttp://citytour.ticketplay.zone/portal/index,춘천시청,033-253-3700,2020-07-02,4180000,강원도 춘천시
경기도,군포시,군포관광시티투어,031-390-0746,10:00~17:00,고정형,군포시청,"군포시청,철쭉동산,초막골 생태공원,반월호수,수리사,산본로데오거리",반월호수,유료,유료,10:00,17:00,1440,"2,500원","2,500원",http://www.gunpo.go.kr,군포시청,031-390-0746,2018-05-21,4020000,경기도 군포시
전라북도,고창군,고창문화탐방,063-560-2457,"문화탐방 : 매주 화,목,토 운영",고정형,광화문역,1일차 : 서울(출발)-고창(중식)-고창읍성-판소리박물관-석정온천(석식)-숙소2일차 : 석정온천(조식)-고인돌박물관(중식)-미당시문학관-선운산-서울(도착),없음,없음,10월에서 12월중 매주 화요일+목요일+토요일,07:00,19:00,0,"평일 109,000원+주말119,000원",,http://www.lottetour.com,전라북도 고창군청,063-560-2454,2017-11-30,4780000,전라북도 고창군
경상남도,밀양시,봄코스,"위탁,뉴금강산 여행사(055-353-6161)",10:00~ 17:00(매주 토요일),고정형,밀양역,"영남루,관아-해천항일운동테마거리-밀양전통시장-표충사-민물고기 전시관-밀양역",,표충사 입장료 무료,여행자보험 개별가입,10:00,17:00,1440,"성인: 3,000원+청소년: 2,000원+어린이: 1,000원",체험비 및 식비 별도,http://tour.miryang.go.kr/sub/03_08.php,문화관광과 관광기획담당,055-359-5646,2017-11-28,5360000,경상남도 밀양시
경상남도,밀양시,여름코스,"위탁, 현대고속관광(055-356-4021)",9:30~17:30(매주 토요일),고정형,밀양역,연꽃단지-영남루-전통시장-얼음골-밀양한천-밀양역,,얼음골 입장료 무료,여행자보험 개별가입,09:30,17:30,1440,"성인: 3,000원+청소년: 2,000원+어린이: 1,000원",체험비 및 식비 별도,http://tour.miryang.go.kr/sub/03_09.php,문화관광과 관광기획담당,055-359-5646,2017-11-28,5360000,경상남도 밀양시
경상남도,밀양시,가을코스,"위탁, 영남관광(055-353-6500)",10:00~17:00(매주 토요일),고정형,밀양역,"영남루,관아-해천항일운동테마거리-전통시장-표충사-밀양댐-밀양역",,표충사 입장료 무료,여행자보험 개별가입,10:00,17:00,1440,"성인: 3,000원+청소년: 2,000원+어린이: 1,000원",체험비 및 식비 별도,http://tour.miryang.go.kr/sub/03_10.php,문화관광과 관광기획담당,055-359-5646,2017-11-28,5360000,경상남도 밀양시
전라북도,정읍시,정읍 사계절 테마형 시티투어,063-539-5232,10:30~17:00,고정형,정읍종합관광안내센터(정읍역 앞),정기A코스:관광안내센터→동학농민혁명기념관→이평만석보공원→말목장터→샘고시장→쌍화차거리→관광안내센터+정기B코스:관광안내센터→내장산(용굴)→점심→김명관고택→무성서원→피항정→쌍화차거리→관광안내센터+특별투어코스(동학농민혁명유적지코스):관광안내센터→고부신중리주산마을→전봉준장군고택→점심→이평만석보→말목장터→동학농민기념관(황토현전적지)→관광안내센터+특별투어코스(태산선비문화유적지권코스):관광안내센터→태산선비문화사료관→김명관고택→태인(점심)→피항정→쌍화차거리→관광안내센터+계절코스(구절초투어):관광안내센터→내장산(용굴)→점심→구절초테마공원→김명관고택→무성서원→쌍화차거리→관광안내센터,"대표음식전문점(쌍화차삼합,귀리떡갈비,사과맥적)-서래원:063-536-3377-옥돌생고기:063-536-1020-쌈촌:063-534-7800+정읍맛집-금거북:063-536-3456-갈비박스:063-534-4121-백학정:063-534-4290-명성쌈밥:063-533-3404-일력:063-535-4659-국화회관:063-536-5432-씨아전복:063-535-1196","내장산레저휴양권:내장산오색단풍길,금선계곡,내장산워터파크+정읍사문화권:정읍사망부상,정해마을부부나무,백제가요정읍사오솔길,농경문화체험교육관+태산선비문화권:태산선비문화사료관,정순왕후태생비",예약 및 문의처 : 두승산관광 063-533-9522,10:30,17:00,0,"성인4,000원+초중고ㆍ경로ㆍ장애인ㆍ군인2,000원","단체-성인2,000원+초중고ㆍ경로ㆍ장애인ㆍ군인1,000원",http://www.jeongeup.go.kr/,정읍시청 관광과,063-539-5232,2019-07-14,4690000,전라북도 정읍시
경기도,연천군,연천시티투어,02-706-4851(DMZ관광),"09:00~18:00(매주 화, 설날 및 추석 휴무)",고정형,"공덕역 3번출구(9시), 정발산역 2번출구(10시)",출발→상승전망대(제1땅굴)→중식→경순왕릉→고랑포구역사관→임진강변→호로고루성→도착,"연천 호로고루, 경순왕릉, 열쇠전망대, 연천전곡리유적",,공덕역 3번출구(9시)→정발산역 2번출구(10시)→상승전망대(제1땅굴)→중식→경순왕릉→고랑포구역사관→임진강변→호로고루성→정발산역 2번출구(17시20분)→공덕역 3번출구(18시),09:00,18:00,0,"15,000원(성인기준)","성인 15,000원/ 청소년 12,000원/ 고양시와 업무협약에 의해 고양시민 12,000원",tour.yeoncheon.go.kr,연천군청,031-839-2277,2019-09-23,4140000,경기도 연천군
경기도,남양주시,농장체험코스,(유)승산고속관광 031-555-2961~3,10:00~15:30,고정형,희망장소 픽업 서비스,"택1[임실지즈체험장(피자만들기+매직그림자쇼/샌드아트 중 택1/팜아트홀릭(과일청만들기/수족관만들기/꽃다발만들기 중 택1)/다과록(전통한과다식만들기/건강차만들기 중 택1)/뜰안에된장(짜장떡볶이만들기)/채운농원(수제소시지만들기)/안나농원(배와플만들기)/수향농원(딸기티라미수만들기-5월/딸기케이크만들기-6월~11월)/푸른숲농원(오디수확체험-6월)]-택1[조선왕릉(홍유릉/사릉/광릉 중 택1)/정약용유적지,다산생태공원,실학박물관/물맑음수목원/피아노폭포/삼패한강시민공원/물의정원/트래킹코스A(조개울팔당유원지~능내역)/트래킹코스B(사색의길~다산생태공원]",,,2020.4.~2020.11.(코로나19 예방상황에 따라 유동적),10:00,15:30,0,"택1{10,000[푸른숲농원(오디수확체험)-전연령] / 13,000원[그외 체험-전연령]} + 택1{조선왕릉[무료(어린이, 청소년, 만65세 이상) / 800원(성인)] / 무료(그외 방문지)} + 참가비 2,000원",,http://www.nyj.go.kr/culture/274,경기도 남양주시청,031-590-2063,2020-06-30,3990000,경기도 남양주시
경기도,남양주시,지역주민에게 듣는 조안 이야기,(유)승산고속관광 031-555-2961~3,10:00~15:30,고정형,희망장소 픽업 서비스,"푸른숲농원(연잎밥만들기)-조안면일대(정약용유적지, 물의정원, 실학박물관)",,,2020.4.~2020.11.(코로나19 예방상황에 따라 유동적),10:00,15:30,0,"16,000원(전연령) + 참가비 2,000원",,http://www.nyj.go.kr/culture/274,경기도 남양주시청,031-590-2063,2020-06-30,3990000,경기도 남양주시
