교량명,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,교량보도폭,교량높이,차로수,상하행선분리여부,상부구조형식,교량준공년도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,교량보수보강내역,교량보수보강비용,설계활하중,허용통행하중,하부통과제한높이,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
독보교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 유정리 582-1,35.317653,127.126492,35.317653,127.126492,48,7,1,4,2,Y,R.C슬래브,2001,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
소촌교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 삼촌리 75-2,35.315823,127.122121,35.315823,127.122121,12,9,1,4,2,Y,R.C슬래브,1997,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
안곡교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 풍산면 금곡리 730-1,35.315662,127.132007,35.315662,127.132007,52,8,1,4,2,Y,R.C슬래브,2000,2020-04-20,B,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
남계교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 금과면 남계리 35-4,35.332377,127.079455,35.332377,127.079455,25,9,1,4,2,Y,R.C슬래브,1988,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
고산교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 금과면 수양리 65-2,35.326091,127.109487,35.326091,127.109487,45,9,1,4,2,Y,R.C슬래브,2001,2020-04-20,B,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
만촌교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 금과면 동전리 649-1,35.326518,127.091511,35.326518,127.091521,25,7,1,4,2,Y,R.C슬래브,2004,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
통천교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 팔덕면 산동리 869,35.382811,127.094551,35.382812,127.094551,30,5,1,4,2,N,R.C슬래브,1990,2020-04-20,B,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
월장교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 팔덕면 청계리 764,35.401326,127.083554,35.401326,127.083554,30,8,1,4,2,Y,R.C슬래브,1997,2020-04-20,A,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
금성2교,99,기타,리도207호선,리도207호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 금성리 1026-1,35.517712,127.007708,35.517712,127.007708,24,9,1,4,2,Y,R.C슬래브,1998,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
치선1교,03,군도,치선오상길,1,3,경상북도,의성군,47730,,경상북도 의성군 의성읍 치선리 972,36.332007,128.732231,36.331711,128.732946,64,6,0,3.9,1,N,RC슬래브교,1987,2020-04-11,C,정기점검,,,,0,,13.5,,경상북도 의성군청,054-830-6345,2020-06-30,5150000,경상북도 의성군
안정교,03,군도,교화길,14,3,경상북도,의성군,47730,,경상북도 의성군 안계면 안정리 652-1,36.373207,128.485066,36.373281,128.485095,24,8.5,0,2.6,1,Y,RC슬래브교,1990,2020-04-11,C,정기점검,,,,0,,18,,경상북도 의성군청,054-830-6345,2020-06-30,5150000,경상북도 의성군
치선2교,03,군도,치선오상길,1,3,경상북도,의성군,47730,,경상북도 의성군 의성읍 치선리 461-2,36.330147,128.723369,36.330193,128.724041,84,8,0,5,1,N,RC슬래브교,1996,2020-04-11,B,정기점검,,,,0,,18,,경상북도 의성군청,054-830-6345,2020-06-30,5150000,경상북도 의성군
신천교,2,5,비류대로,46번,3,9,시흥시,40100,,경기도 시흥시 방산동 1008-2,37.415446,126.756894,37.417261,126.752839,390.5,28,0,4.5,6,N,PC빔교,2015,2019-12-31,B,,,,,,,43.2,,경기도 시흥시,031-310-3432,2020-06-02,4010000,경기도 시흥시
제2삼호대교,01,기타,구국도,2,3,전라남도,영암군,46830,,전라남도 영암군 삼호읍 나불리 321,34.787154,126.448384,34.789279,126.447175,365,36,3,7,6,N,RSC,2015,2018-06-22,B,정밀안전진단,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
개신2교,99,기타,미개선,304,3,전라남도,영암군,46830,,전라남도 영암군 영암읍 개신리 727-24,34.784809,126.721561,34.784641,126.721411,16,7,0,3,2,N,RSC,1987,2018-03-14,C,정기점검,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
월출교,99,기타,월율선,203,3,전라남도,영암군,46830,,전라남도 영암군 영암읍 용흥리 537-9,34.794553,126.713828,34.794651,126.715059,50,10,0,4,2,N,RSC,2002,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
선황정교,99,기타,추둔선,204,3,전라남도,영암군,46830,,전라남도 영암군 영암읍 장암리 696-3,34.802731,126.733495,34.802812,126.733665,13.5,15,0,2,2,N,RSC,2013,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
영덕교,99,기타,수신선,201,3,전라남도,영암군,46830,,전라남도 영암군 영암읍 송평리 981-69,34.820451,126.667652,34.823451,126.668843,200,10,0,6,2,N,RSC,2006,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
감치교,99,기타,동호선,102,3,전라남도,영암군,46830,,전라남도 영암군 삼호읍 동호리 1457,34.749227,126.526472,34.749636,126.527721,120,11,0,5,2,N,RSC,2001,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
영동교,99,기타,장등선,202,3,전라남도,영암군,46830,,전라남도 영암군 덕진면 영등리 348-1,34.820448,126.705429,34.820444,126.705429,30.75,10,0,3,2,N,RSC,2016,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
향월3암거,99,기타,금호선,204,3,전라남도,영암군,46830,,전라남도 영암군 덕진면 장선리 674-8,34.827708,126.671421,34.827908,126.671771,10,8,0,2,2,N,RSC,2015,2018-03-14,B,정기점검,,,,0,,32.4,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
양와교,99,기타,기모선,201,3,전라남도,영암군,46830,,전라남도 영암군 금정면 와운리 1053-6,34.892651,126.744058,34.892619,126.744058,70,9,0,5,2,N,RSC,2001,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
월평교,99,기타,화흥선,202,3,전라남도,영암군,46830,,전라남도 영암군 금정면 월평리 467-7,34.872248,126.747084,34.872388,126.747087,60,7,0,5,2,N,RSC,2002,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
제1교,99,기타,대용선,204,3,전라남도,영암군,46830,,전라남도 영암군 금정면 용흥리 345-6,34.855692,126.769107,34.855692,126.769186,12,11,0,2,2,N,RSC,2002,2018-03-14,C,정기점검,,,,0,,24,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
종오교,99,기타,운우선,302,3,전라남도,영암군,46830,,전라남도 영암군 신북면 갈곡리 1010-3,34.917494,126.676186,34.917164,126.675426,73,9,0,5,2,N,RSC,2011,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
할미교,99,기타,학모선,101,3,전라남도,영암군,46830,,전라남도 영암군 군서면 서구림리 832,34.759915,126.619161,34.760182,126.619181,25,10,0,3,2,N,RSC,2000,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
상월교,99,기타,학용선,101,3,전라남도,영암군,46830,,전라남도 영암군 학산면 상월리 365-5,34.713387,126.619338,34.713521,126.620206,61,10,0,5,2,N,RSC,2015,2018-03-14,B,정기점검,,,,0,,32.4,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
금상교,99,기타,초유선,204,3,전라남도,영암군,46830,,전라남도 영암군 학산면 금계리 1311-11,34.721944,126.614426,34.722171,126.615191,54,8,0,5,2,N,RSC,1999,2018-12-17,C,정밀안전진단,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
등너머2교,99,기타,춘동선,102,3,전라남도,영암군,46830,,전라남도 영암군 미암면 춘동리 676-10,34.697652,126.552267,34.697661,126.552267,26.5,9,0,3,2,N,RSC,2012,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
유촌교,03,군도,군도21호선,군도21호선,3,전라북도,순창군,45770,,전라북도 순창군 유등면 유촌리 158-3,35.375384,127.206941,35.375384,127.206941,19,9,1,3,2,Y,RC슬래브교,1997,2020-04-20,A,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
구곡교,03,군도,군도11호선,군도11호선,3,전라북도,순창군,45770,,전라북도 순창군 구림면 운남리 1210-1,35.439383,127.088168,35.439383,127.088168,60,9,1,6,2,Y,PSC I형교,2004,2020-04-20,A,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
미륵1교,03,군도,군도6호선,군도6호선,3,전라북도,순창군,45770,,전라북도 순창군 구림면 안정리 91-7,35.485024,127.135788,35.485024,127.135788,90,7,1,2,2,Y,RC슬래브교,1991,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
미륵2교,03,군도,군도6호선,군도6호선,3,전라북도,순창군,45770,,전라북도 순창군 구림면 안정리 118-3,35.485886,127.131171,35.485886,127.131171,90,7,1,4,2,Y,RC슬래브교,1991,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
산내교,03,군도,군도6호선,군도6호선,3,전라북도,순창군,45770,,전라북도 순창군 구림면 안정리 369-5,35.479803,127.117597,35.479803,127.117597,18,7,1,15,2,Y,RC슬래브교,1993,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
상서교,03,군도,군도24호선,군도24호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 옥산리 305-1,35.508058,126.975697,35.508058,126.975697,48,9,1,2,2,Y,프리플렉스형교,2005,2020-04-20,C,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
수정교,03,군도,군도23호선,군도23호선,3,전라북도,순창군,45770,,전라북도 순창군 동계면 수정리 653-16,35.469826,127.273526,35.469826,127.273526,100,9,1,10,2,Y,PSC I형교,2003,2020-04-20,C,,,,,,,18,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
신촌교,03,군도,군도2호선,군도2호선,3,전라북도,순창군,45770,,전라북도 순창군 동계면 현포리 816-2,35.438563,127.250098,35.438563,127.250098,120,9,1,7,2,Y,PSC I형교,2003,2020-04-20,B,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
유적교,03,군도,군도21호선,군도21호선,3,전라북도,순창군,45770,,전라북도 순창군 적성면 고원리 667-151,35.392028,127.209693,35.392028,127.209693,230,10,1,5,2,Y,pc빔교,2001,2020-04-20,A,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
종암교,03,군도,군도24호선,군도24호선,3,전라북도,순창군,45770,,전라북도 순창군 쌍치면 종암리 200-4,35.522678,126.974768,35.522678,126.974768,20,10,1,3,2,Y,라멘교,2003,2020-04-20,A,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
하리교,03,군도,군도3호선,군도3호선,3,전라북도,순창군,45770,,전라북도 순창군 복흥면 하리 946-1,35.452063,126.984537,35.452063,126.984537,90,10,1,4,2,Y,PSC I형교,2005,2020-04-20,B,,,,,,,24,,순창군청,063-650-1811,2020-07-02,4770000,전라북도 순창군
안성교,99,6,군도,10,3,전라북도,무주군,45730,전라북도 무주군 안성면 사전리 1217-4,전라북도 무주군 안성면 사전리 1217-4,35.8682663,127.655115,35.8686699,127.6553028,45,11,0,6.24,2,Y,라멘교,1997,2018-06-27,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
무주대교,2,6,군도,5,3,전라북도,무주군,45730,전라북도 무주군 무주군 무주읍 읍내리 1395,전라북도 무주군 무주군 무주읍 읍내리 1395,36.0073012,127.6672113,36.0061021,127.6675213,136.02,10,0,7,2,Y,프리플렉스빔교,2007,2019-06-30,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
무풍교,2,6,군도,6,3,전라북도,무주군,45730,전라북도 무주군 무풍면 현내리 1216,전라북도 무주군 무풍면 현내리 1216,35.973247,127.8284986,35.9731948,127.829786,111.2,11,0,5,2,Y,PCI,2006,2019-06-30,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
시흥대교,01,04,,,03,경기도,광명시,41210,,서울특별시 금천구 시흥동 784-7,37.452100,126.893500,37.452300,126.894600,297.5,28.4,6.16,24,6,N,PSC BEAM,2016,2019-04-11,B,,,,,,,24,,경기도 광명시 도로과,02-2939-2934,2019-09-09,3900000,경기도 광명시
광명대교,01,04,,,03,경기도,광명시,41210,,서울특별시 금천구 가산동 535-98,37.485100,126.871500,37.485000,126.872600,153.5,28.5,3.6,8,7,N,PSC BEAM,1987,2019-04-11,B,,,,,,,24,,경기도 광명시 도로과,02-2939-2934,2019-09-09,3900000,경기도 광명시
광남교,01,04,,,03,경기도,광명시,41210,,경기도 광명시 옥길동 19-5,37.471100,126.845300,37.471700,126.844800,128,20,2.2,4,1,N,RC SLAB,1994,2019-04-11,B,,,,,,,24,,경기도 광명시 도로과,02-2939-2934,2019-09-09,3900000,경기도 광명시
미촌교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 미암면 미암리 1009,34.702019,126.599412,34.702111,126.599842,19,9,0,3,2,N,RSC,2006,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
두억교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 학산면 학계리 315-2,34.701781,126.613358,34.701856,126.613901,38,10,0,3,2,N,RSC,2004,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
상사1교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 학산면 상월리 930-19,34.703434,126.625764,34.703534,126.626291,71,7,0,4,1,N,RSC,1981,2018-03-14,C,정밀안전진단,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
상지교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 학산면 상월리 494-5,34.709416,126.626611,34.709875,126.626343,56,10.5,0,4,2,N,RSC,2013,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
용산교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 학산면 용산리 1015-78,34.739375,126.613598,34.739752,126.613413,30,10,0,3,2,N,RSC,2002,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
아천교,99,군도,망산-성재,1,3,전라남도,영암군,46830,,전라남도 영암군 서호면 몽해리 213-1,34.746188,126.609316,34.746581,126.608705,70,9,0,5,2,N,RSC,2006,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
월암교,99,군도,서창-월곡,2,3,전라남도,영암군,46830,,전라남도 영암군 군서면 성양리 848-12,34.778911,126.648616,34.779048,126.648937,35,10.5,0,3,2,N,RSC,2014,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
구림교,99,군도,서창-월곡,2,3,전라남도,영암군,46830,,전라남도 영암군 군서면 동구림리 35-31,34.764794,126.635084,34.768303,126.635278,30,8,0,3,2,N,RSC,1981,2018-03-14,C,정기점검,,,,0,,18,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
화송교,99,군도,서창-월곡,2,3,전라남도,영암군,46830,,전라남도 영암군 서호면 화송리 9-3,34.737654,126.609732,34.738152,126.610256,69,7.9,0,4,2,N,RSC,1981,2018-03-14,C,정밀안전진단,,,,0,,13.5,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
금석교,99,군도,엄길-모정,4,3,전라남도,영암군,46830,,전라남도 영암군 서호면 엄길리 1348-11,34.761819,126.601886,34.762068,126.602793,84,7,0,5,2,N,RSC,2001,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
금성교,99,군도,성양-춘양,5,3,전라남도,영암군,46830,,전라남도 영암군 덕진면 금강리 899-67,34.820215,126.687378,34.820191,126.687686,21,8,0,3,2,N,RSC,1995,2018-03-14,B,정밀안전진단,,,,19290000,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
개신교,99,군도,성양-춘양,5,3,전라남도,영암군,46830,,전라남도 영암군 영암읍 개신리 892-5,34.784255,126.720173,34.784408,126.720703,10.3,7,0,2,2,N,RSC,1975,2018-03-14,C,정기점검,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
서도포교,99,군도,원항-이천,8,3,전라남도,영암군,46830,,전라남도 영암군 도포면 도포리 227-1,34.834491,126.639925,34.834261,126.640237,30,8,0,4,2,N,RSC,2006,2018-03-14,B,정기점검,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
암거교,99,군도,금강-신흥,9,3,전라남도,영암군,46830,,전라남도 영암군 덕진면 장선리 585-8,34.833741,126.672866,34.837991,126.672591,14.3,10,0,2,2,N,RSC,2013,2018-03-14,B,정기점검,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
수산교,99,군도,금강-신흥,9,3,전라남도,영암군,46830,,전라남도 영암군 도포면 수산리 901-35,34.846515,126.650491,34.846661,126.661434,41.5,8.5,0,4,2,N,RSC,1989,2018-03-14,C,정밀안전진단,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
본촌교,99,군도,금강-신흥,9,3,전라남도,영암군,46830,,전라남도 영암군 시종면 금지리 1126,34.901371,126.612869,34.901541,126.613261,39,9,0,4,2,N,RSC,2008,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
와운교,99,군도,신북-금정,12,3,전라남도,영암군,46830,,전라남도 영암군 금정면 월평리 403-1,34.882043,126.745771,34.882181,126.746148,42,8.5,0,4,2,N,RSC,1982,2018-03-14,C,정기점검,,,,0,,24.3,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
똑다리교,99,군도,양계-금수,13,3,전라남도,영암군,46830,,전라남도 영암군 신북면 갈곡리 1010-5,34.909389,126.684385,34.909191,126.684474,24,8,0,3,2,N,RSC,2010,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
남송교,99,군도,남송-청용,14,3,전라남도,영암군,46830,,전라남도 영암군 금정면 남송리 1348-9,34.847169,126.774274,34.847268,126.774274,25,10.5,0,3,2,N,RSC,2015,2018-03-14,B,정기점검,,,,0,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
삼호대교,01,기타,구국도,2,3,전라남도,영암군,46830,,전라남도 영암군 삼호읍 나불리 964,34.782846,126.450855,34.785591,126.449291,390,35,3,7,6,N,RSC,1990,2018-06-22,B,정밀안전진단,,,,224433800,,43.2,,영암군,061-470-2489,2020-07-13,4940000,전라남도 영암군
내동2교,99,6,군도,16,3,전라북도,무주군,45730,전라북도 무주군 적상면 방이리 1300,전라북도 무주군 적상면 방이리 1300,35.9573551,127.6232549,35.957201,127.6236955,45.5,10,0,6.1,2,Y,PSCI(IPC),2007,2018-04-10,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
유평교,3,6,군도,17,3,전라북도,무주군,45730,전라북도 무주군 부남면 대소리 818,전라북도 무주군 부남면 대소리 818,35.9614773,127.5575871,35.9615796,127.5578975,40,5,0,4,2,Y,RCS,1986,2019-05-30,C,,,,,,,18,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
대티교,2,6,군도,8,3,전라북도,무주군,45730,전라북도 무주군 부남면 대유리 1229-30,전라북도 무주군 부남면 대유리 1229-30,35.9934093,127.5779878,35.9948478,127.5770146,190.3,10,0,10,2,Y,프리플렉스빔교,2005,2019-06-30,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
월천교,03,06,,,01,14,함평군,49600,,전라남도 함평군 손불면 월천리 1940,35.137476,126.409204,35.137356,126.409351,21.1,9,0,0,2,N,RA,1997,2019-07-10,B,,,,,,,13.5,,함평군청,061-320-1963,2019-08-09,4960000,전라남도 함평군
상굴교,2,6,군도,8,3,전라북도,무주군,45730,전라북도 무주군 부남면 굴암리 1179,전라북도 무주군 부남면 굴암리 1179,35.9892471,127.5830363,35.9882747,127.5855958,212.5,12,0,10,2,Y,라멘교,2003,2019-06-30,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
굴암교,99,6,군도,8,3,전라북도,무주군,45730,전라북도 무주군 부남면 굴암리 1173-20,전라북도 무주군 부남면 굴암리 1173-20,35.9964643,127.5972414,35.9967278,127.5974368,36,8,0,4.6,2,Y,라멘교,1996,2019-06-27,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
구억교,99,6,군도,16,3,전라북도,무주군,45730,전라북도 무주군 적상면 사천리 1012,전라북도 무주군 적상면 사천리 1012,35.9445922,127.6578093,35.9445612,127.6583151,55,10,0,4.5,2,Y,라멘교,2005,2018-04-27,A,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
배골교,99,6,군도,3,3,전라북도,무주군,45730,전라북도 무주군 적상면 방이리 1300,전라북도 무주군 적상면 방이리 1300,35.9605617,127.6096682,35.9604423,127.6097065,16,4.4,0,1.8,2,Y,라멘교,2001,2018-04-10,B,,,,,,,24,,무주군,063-320-2488,2019-11-18,4740000,전라북도 무주군
