정수장명,관리기관명,관리기관전화번호,소재지도로명주소,채수일자,검사기관명,최종판정결과,일반세균,총대장균군,대장균,분원성대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,보론,페놀,다이아지논,파라티온,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,사염화탄소,1_1-디클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_2-디브로모-3-클로로프로판,1_4-다이옥산,잔류염소,총트리할로메탄,클로로포름,브로모디클로로메탄,디브로모디클로로메탄,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,포름알데히드,심미적영향물질경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,데이터기준일자,제공기관코드,제공기관명
호형,고흥군청,061-835-5331,"전라남도 고흥군 고흥읍 호형리  고흥 호형 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0.18,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.017,0.01,0.004,0.004,0.0029,0.0005,0.0009,0,0.008,0,16,0.9,없음,없음,0,0,0,6.3,0.012,5,32,0,0.006,0.22,2,0,2017-05-15,4880000,전라남도 고흥군
강동,고흥군청,061-834-3785,"전라남도 고흥군 풍양면 풍남리  풍양 강동 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.024,0.016,0.006,0.006,0.0033,0,0.0014,0,0.006,0,18,1.5,없음,없음,0,0,0,6.6,0.002,5,36,0,0,0.19,3,0,2017-05-15,4880000,전라남도 고흥군
신호,고흥군청,061-834-2552,"전라남도 고흥군 도화면 신호리  도화 신호 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.037,0.028,0.008,0.008,0.0105,0,0.0015,0,0.026,0,19,2.3,없음,없음,0,0,0,7.3,0,8.1,45,0,0,0.29,3,0,2017-05-15,4880000,전라남도 고흥군
금사,고흥군청,061-832-5750,"전라남도 고흥군 포두면 금사리  포두 금사 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.028,0.02,0.006,0.006,0.006,0,0.0017,0,0.013,0,20,2.3,없음,없음,0,0,0,6.6,0.004,4.8,26,0,0,0.47,3,0.08,2017-05-15,4880000,전라남도 고흥군
예내,고흥군청,061-835-8971,"전라남도 고흥군 봉래면 예내리  봉래 예내 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.041,0.028,0.009,0.009,0.0067,0.0006,0.0018,0,0.02,0,26,1.4,없음,없음,0,0,0,6.7,0.004,9.1,54,0,0,0.38,4,0.03,2017-05-15,4880000,전라남도 고흥군
영남,고흥군청,061-832-2707,"전라남도 고흥군 영남면 금사리  영남 금사 취,정수장",2017-04-14,이산 친환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.031,0.02,0.008,0.008,0.004,0.0005,0.0012,0,0.017,0,18,1.7,없음,없음,0,0,0,6.6,0.005,5.5,41,0,0,0.13,3,0,2017-05-15,4880000,전라남도 고흥군
방산면,양구군청,033-480-2853,강원도 양구군 방산면 고방산리 652-1,2017-03-07,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.013,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,23,0.7,없음,없음,0.0,1,0.0,7.0,0.0,3.5,50,0.0,0.0,0.08,8,0.0,2018-08-28,4320000,강원도 양구군
양구,양구군청,033-480-2853,강원도 양구군 양구읍 양남로16번길 8-23,2017-03-07,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0,67,0.7,없음,없음,0.0,0,0.0,6.9,0.0,20.3,123,0.0,0.0,0.09,14,0.0,2018-08-28,4320000,강원도 양구군
남면,양구군청,033-480-2853,강원도 양구군 남면 야촌리 281-1,2017-06-08,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.004,0.0,68,1.5,없음,없음,0.044,1,0.0,6.7,0.0,16.2,122,0.0,0.0,0.09,14,0.0,2018-08-28,4320000,강원도 양구군
동면,양구군청,033-480-2853,강원도 양구군 동면 월운리 318,2017-06-08,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.008,0.0,15,1.4,없음,없음,0.0,1,0.0,7.0,0.0,10.2,44,0.0,0.0,0.08,5,0.0,2018-08-28,4320000,강원도 양구군
방산면,양구군청,033-480-2853,강원도 양구군 방산면 고방산리 652-1,2017-06-08,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.02,24,1.0,없음,없음,0.01,1,0.0,6.9,0.0,1.7,44,0.0,0.0,0.1,6,0.0,2018-08-28,4320000,강원도 양구군
양구,양구군청,033-480-2853,강원도 양구군 양구읍 양남로16번길 8-23,2017-06-08,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.005,0.0,73,1.5,없음,없음,0.0,1,0.0,7.2,0.0,20.5,133,0.0,0.0,0.07,14,0.0,2018-08-28,4320000,강원도 양구군
남면,양구군청,033-480-2853,강원도 양구군 남면 야촌리 281-1,2017-09-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.005,0.002,0.0,0.0007,0.0,0.0006,0.0,0.006,0.0,50,1.5,없음,없음,0.04,1,0.0,6.4,0.0,5.0,93,0.0,0.0,0.33,10,0.0,2018-08-28,4320000,강원도 양구군
동면,양구군청,033-480-2853,강원도 양구군 동면 월운리 318,2017-09-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,11,0.6,없음,없음,0.0,1,0.0,7.1,0.0,7.0,37,0.0,0.0,0.07,3,0.0,2018-08-28,4320000,강원도 양구군
방산면,양구군청,033-480-2853,강원도 양구군 방산면 고방산리 652-1,2017-09-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,19,1.1,없음,없음,0.014,1,0.0,7.1,0.0,1.6,42,0.0,0.0,0.08,4,0.0,2018-08-28,4320000,강원도 양구군
양구,양구군청,033-480-2853,강원도 양구군 양구읍 양남로16번길 8-23,2017-09-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.011,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,70,0.8,없음,없음,0.0,1,0.0,6.4,0.067,10.7,137,0.0,0.0,0.14,12,0.0,2018-08-28,4320000,강원도 양구군
남면,양구군청,033-480-2853,강원도 양구군 남면 야촌리 281-1,2017-12-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.0,59,0.5,없음,없음,0.031,1,0.0,7.6,0.009,10.1,95,0.0,0.0,0.04,12,0.0,2018-08-28,4320000,강원도 양구군
동면,양구군청,033-480-2853,강원도 양구군 동면 월운리 318,2017-12-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.004,0.0,16,0.0,없음,없음,0.0,1,0.0,7.4,0.0,9.0,31,0.0,0.0,0.03,5,0.0,2018-08-28,4320000,강원도 양구군
방산면,양구군청,033-480-2853,강원도 양구군 방산면 고방산리 652-1,2017-12-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.4,없음,없음,0.0,1,0.0,7.6,0.0,3.0,39,0.0,0.0,0.02,7,0.0,2018-08-28,4320000,강원도 양구군
양구,양구군청,033-480-2853,강원도 양구군 양구읍 양남로16번길 8-23,2017-12-05,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.005,0.004,0.002,0.0,0.0,0.0,0.0,0.002,0.0,69,0.0,없음,없음,0.0,1,0.0,7.2,0.0,0.0,117,0.0,0.0,0.05,0,0.0,2018-08-28,4320000,강원도 양구군
황금정수장,김천시맑은물사업소,054-421-2648,경상북도 김천시 가산2길 6(황금동),2018-08-03,경상북도보건환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,2.1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.003,0.002,0.002,0,0,0,0,0,0,69,3.2,없음,없음,0,0,0,7.2,0.003,14.9,136,0,0.004,0.08,13,0.02,2018-08-31,5060000,경상북도 김천시
지례정수장,김천시맑은물사업소,054-421-2648,경상북도 김천시 부항로 21(지례면),2018-08-03,경상북도보건환경연구원,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,7.7,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.001,0,0,0,0,0,0,0,90,2.6,없음,없음,0,0,0,7,0.003,13.1,172,0,0,0.07,14,0,2018-08-31,5060000,경상북도 김천시
영월정수장,한국환경공단 영월사업소,033-812-4006,강원도 영월군 영월읍 금강공원길 157,2018-07-10,,적합,0,불검출,불검출,불검출,0,1.1,0,0,0,0,0,0,8.2,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.023,0.016,0.005,0.002,0.0012,0.0006,0.0007,0,0.006,0,173,0.8,없음,없음,0,1,0,7.7,0.076,19,169,0,0,0.06,28,0,2018-08-25,4270000,강원도 영월군
송지,전라남도 해남군 상수도수질검사,061-531-3670,전라남도 해남군 송지면 마봉송종길 654,2019-03-06,동명생명과학원㈜,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.8,0,0.01,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.38,0.015,0.006,0.006,0.003,0.005,0.0017,0.0031,0,0,0,24,1.5,없음,없음,0,0,0,7.3,0,17.5,22,0,0,0.11,6,0,2019-06-10,4930000,전라남도 해남군
해남,전라남도 해남군 상수도수질검사,061-531-3670,전라남도 해남군 삼산면 방축큰길 76-130,2019-04-03,동명생명과학원㈜,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.9,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.029,0.014,0.01,0.005,0.0031,0.0009,0.0016,0,0.024,0,29,0.7,없음,없음,0.016,0,0,7.1,0.014,14.6,67,0,0,0.09,5,0,2019-06-10,4930000,전라남도 해남군
송지,전라남도 해남군 상수도수질검사,061-531-3670,전라남도 해남군 송지면 마봉송종길 654,2019-04-03,동명생명과학원㈜,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.8,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.03,0.014,0.01,0.006,0.0043,0.001,0.0021,0,0.024,0,27,1.3,없음,없음,0,0,0,6.9,0.002,13.8,75,0,0,0.11,5,0,2019-06-10,4930000,전라남도 해남군
해남,전라남도 해남군 상수도수질검사,061-531-3670,전라남도 해남군 삼산면 방축큰길 76-130,2019-05-08,동명생명과학원㈜,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.04,0.02,0.014,0.006,0.0043,0.0015,0.0024,0,0.034,0,29,0.3,없음,없음,0,0,0,6.7,0,17.5,71,0,0,0.07,5,0,2019-06-10,4930000,전라남도 해남군
송지,전라남도 해남군 상수도수질검사,061-531-3670,전라남도 해남군 송지면 마봉송종길 654,2019-05-08,동명생명과학원㈜,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.7,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.046,0.024,0.014,0.008,0.0043,0.0014,0.0022,0,0.041,0,27,0.4,없음,없음,0,0,0,6.8,0.041,21.3,85,0,0,0.11,6,0,2019-06-10,4930000,전라남도 해남군
용연,광주시-상수도사업본부 용연정수사업소,062-609-6121,광주광역시 동구 선교로 84-10,2019-05-07,광주시-상수도사업본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.019,0.014,0.005,0,0,0,0.0012,0,0,0,29,1.3,없음,없음,0,1,0,7,0.005,9.7,49,0,0,0.04,5,0,2019-05-27,6290000,광주광역시
각화,광주시-상수도사업본부 용연정수사업소,062-609-6381,광주광역시 북구 월동로 74,2019-05-07,광주시-상수도사업본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.032,0.024,0.008,0,0,0,0.0016,0,0.001,0,31,1.5,없음,없음,0,1,0,6.9,0.005,11.5,47,0,0,0.04,5,0,2019-05-27,6290000,광주광역시
덕남,광주시-상수도사업본부덕남정수사업소,062-609-6421,광주광역시 남구 덕남1길 27,2019-05-07,광주시-상수도사업본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.036,0.027,0.009,0,0,0,0.0028,0,0,0,27,1.3,없음,없음,0,1,0,6.8,0.002,9.2,46,0,0,0.07,5,0,2019-05-27,6290000,광주광역시
고산정수장,한국수자원공사,063-260-4182,전라북도 완주군 고산면 송학길 27,2018-07-04,전주시맑은물사업본부(수질관리과),적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.03,0.024,0.006,0,0.0076,0,0.0025,0,0.004,0.04,47,0.8,없음,없음,0,1,0,6.9,0.012,12.8,44,0,0,0.08,5,0,2018-08-24,4640000,전라북도 전주시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-01-02,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,3.4,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.016,0.009,0.004,0.002,0.0027,0.0019,0.001,0,0.015,0,76,1.4,없음,없음,0.01,0,0,7.8,0.005,10.6,149,0,0,0.06,14,0,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-02-01,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,3,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.015,0.01,0.004,0.001,0.0047,0,0.0011,0,0.008,0,69,1.5,없음,없음,0,0,0,8,0.004,10.9,202,0,0,0.07,14,0,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-03-06,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0.18,0,0,0,0,0,0,2.6,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.032,0.024,0.006,0.001,0.0105,0,0.0009,0,0.006,0,68,1.6,없음,없음,0,0,0,8.1,0.004,11.5,154,0,0,0.08,14,0.02,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-04-04,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.037,0.032,0.005,0,0.0091,0,0.0007,0,0.024,0,33,1.5,없음,없음,0,0,0,7.6,0.007,7.6,92,0,0,0.05,5,0,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-05-03,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.019,0.016,0.003,0,0.0027,0.001,0,0,0.021,0,25,1.5,없음,없음,0.009,0,0,7.1,0.011,6.2,115,0,0,0.05,4,0,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-06-07,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.022,0.018,0.004,0,0.0115,0.0024,0.0023,0,0.026,0,34,1,없음,없음,0.009,0,0,7,0.007,8.6,137,0,0,0.05,4,0,2018-08-27,5340000,경상남도 사천시
곤명,한국수자원경남서부권지사,055-853-2622,경상남도 사천시 곤명면 정곡리 산 67-9,2018-07-05,한국수자원공사경남지역본부,적합,0,불검출,불검출,불검출,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.027,0.024,0.002,0,0.0074,0,0.0028,0,0.022,0,49,2.5,없음,없음,0.013,0,0,7,0.016,8.3,150,0,0,0.06,7,0,2018-08-27,5340000,경상남도 사천시
남면,양구군청,033-480-2853,강원도 양구군 남면 야촌리 281-1,2017-03-07,강원-보건환경연구원,적합,0,불검출,불검출,불검출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,60,0.9,없음,없음,0.0,1,0.0,7.0,0.0,15.8,108,0.0,0.0,0.08,14,0.0,2018-08-28,4320000,강원도 양구군
