치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립년월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
서산시치매안심센터,치매안심센터,"충청남도 서산시 호수공원6로 6, 서산시보건소(예천동)",충청남도 서산시 예천동 496-1,36.7745766839,126.4445155697,2018-08,350,사무실(1)+쉼터(1)+상담실(1)+가족까페(1),0,5,4,1,서산시보건소,송기력,041-661-8100,,"1. 치매조기검진 : 치매를 조기에 발견하여 등록 및 관리 2. 치매쉼터프로그램 : 경도치매환자를 대상으로 원예치료, 운동치료, 수공예치료, 인지치료 등을 제공하여 치매환자의 잔존기능을 향상시킴 3. 치매예방프로그램 :  60세 이상 어르신들에게 치매예방수칙, 웃음치료, 운동치료 등 제공4. 치매환자가족교실 및 자조모임 : 치매에 대해 올바르게 배우고, 치매환자가족끼리 돌봄요령 등을 공유5. 치매환자 맞춤형 사례관리 : 등록된 치매환자의 욕구를 파악하여 서비스 제공 및 지역사회자원 연계 6. 치매치료관리비 지원 : 치매치료제를 복용 중인 치매환자에게 최대 월 3만원까지 투약비 지원(전국가구 평균소득의 120이하)",041-661-6598,충청남도 서산시 보건소,2020-06-26,4530000,충청남도 서산시
제천시치매안심센터,치매안심센터,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 110,37.14868519,128.2168544,2018-04,378,사무실(1)+교육실(1)+가족카페(1)+상담실(1)+검진실(3),1,8,2,"작업치료사(3), 임상심리사(1)",제천시보건소,윤용권,043-641-3058,,"무료치매조기검진, 치매예방 및 인지재활 프로그램, 치매환자지원(치료비, 조호물품 등) 및 치매파트너 양성 등",,제천시보건소,2020-07-03,4400000,충청북도 제천시
정선군치매안심센터,치매안심센터,강원도 정선군 녹송로 33,,37.380059584,128.671084646,2020-02,,사무실 검진실 쉼터 가족카페 교육실 상담실,0,5,0,2,정선군보건소,정선군보건소,033-560-2565,,치매상담 및 등록치매조기검진사업치매예방교실치매환자쉼터치매가족교실치매치료비지원치매환자조호물품지원치매인식개선사업 등,033-560-2565,정선군보건소,2020-06-30,4290000,강원도 정선군
단양군치매안심센터,치매안심센터,충청북도 단양군 단양읍 수변로 83,충청북도 단양군 단양읍 도전리 632,36.98284257,128.3707522,2019-11,309,,0,4,1,3,단양군보건소,강규원,043-420-3201,,인지재활,043-420-3201,단양군보건소,2020-05-01,4480000,충청북도 단양군
치매안심센터,치매안심센터,"경기도 광주시 초월읍 경충대로 1009-40, (쌍동리)",경기도 광주시 초월읍 쌍동리 163-7,37.36884573,127.3027505,2018-11,958,,1,8,5,1,광주시보건소,서근익,031-760-2521,,"치매검진, 치매상담, 고위험프로그램 등",031-760-2110,광주시보건소,2020-05-06,5540000,경기도 광주시
동남구치매안심센터,치매안심센터,"충청남도 천안시 동남구 버들로 40, 7층","충청남도 천안시 동남구 문화동 112-1, 7층",36.80718993,127.1514636,2019-01,540,"치매인지프로그램실, 교육실, 검진실, 상담실 등",1,11,2,4,동남구보건소,황인자,041-521-5008,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-000-0000,천안시 동남구,2020-04-30,6440000,충청남도
서북구치매안심센터,치매안심센터,충청남도 천안시 서북구 동서대로 111(금당빌딩 2층),"충청남도 천안시 서북구 성정동 1268, (금당빌딩 2층)",36.8264388,127.1355578,2012-03,147.6,"사무실1, 상담실1, 가족카페1, 프로그램실1, 쉼터1",1,6,3,6,서북구보건소,이기혁,041-521-5987,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-521-5987,천안시 서북구,2020-04-30,6440000,충청남도
공주시치매안심센터,치매안심센터,충청남도 공주시 옛군청뒷길 8,충청남도 공주시 교동 131,36.45708329,127.120093,2019-11,466.66,"프로그램실, 교육실, 검진실, 상담실 등",1,15,2,8,공주시보건소,김대식,041-5840-2632,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-000-0000,공주시,2020-04-30,6440000,충청남도
보령시치매안심센터,치매안심센터,충청남도 보령시 대천로 113,충청남도 보령시 죽정동 703-1,36.35604971,126.6038988,2018-08,490.2,"치매인지프로그램실, 회의실, 검진실 2, 상담실1, 가족쉼터 등",1,14,2,3,보령시보건소,박승필,041-930-6871,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-930-6871,보령시,2020-04-30,6440000,충청남도
아산시치매안심센터,치매안심센터,충청남도 아산시 번영로 216번길 18,충청남도 아산시 모종동 574-1,36.78291583,127.0140527,2018-11,771.68,"프로그램실, 교육실, 검진실, 상담실, 가족카페, 사랑방 등",1,15,0,3,아산시보건소,구본조,041-537-3452,,"치매조기검진, 예방등록관리, 치매인식개선, 지역사회역량강화",041-000-0000,아산시,2020-04-30,6440000,충청남도
신안군치매안심센터,치매안심센터,전라남도 신안군 압해읍 천사로 1004,,34.833572,126.352000,2017-12,,,1,7,3,3,신안군보건소,문권옥,061-240-8081,,"치매조기검진사업,치매환자관리,치매예방교육,쉼터운영및 가족카페,인식개선등",,신안군보건소,2019-04-23,5010000,전라남도 신안군
홍천군치매안심센터,치매안심센터,강원도 홍천군 홍천읍 신장대로5,강원도 홍천군 홍천읍 희망리,37.690212,127.876923,2017-12,,"사무실, 교육실,상담실",0,5,2,5,홍천군보건소,박보현,033-430-4033,,"치매조기검진, 등록,원격진료, 쉼터,가족모임,예방프로그램운영 등",033-430-4055,홍천군보건소,2019-04-23,4250000,강원도 홍천군
군포시보건소치매안심센터,치매안심센터,경기도 군포시 군포로 522,경기도 군포시 당동 776-20번지,37.3524753,126.945656266,2018-05,493.9,"사무실, 검진실, 교육실, 쉼터",1,11,4,5,군포시보건소,김미경,031-389-4981,,"치매예방프로그램, 치매환자 및 가족프로그램",031-389-4981,군포시보건소,2019-04-17,4020000,경기도 군포시
영동군치매안심센터,치매안심센터,충청북도 영동군 영동읍 반곡동길7,충청북도 영동군 영동읍 매천리444-1,36.168537,127.775955,2019-03,488,"사무실, 교육실, 상담실, 검진실, 프로그램실, 쉼터, 가족카페",1,2,3,1,영동군보건소,박인순,043-740-5946,,"경증환자쉼터, 인지강화교실, 치매예방교실, 조기검진, 치매치료관리비지원, 인식개선홍보등",,영동군보건소,2019-04-17,4440000,충청북도 영동군
남동구보건소치매안심센터,치매안심센터,인천광역시 남동구 소래로 633,,37.4473901975,126.7306784397,2018-12,,,2,12,4,,남동구보건소,박재수,032-453-6169,,"치매예방교육, 인지강화 프로그램, 쉼터 프로그램, 찾아가는 치매예방교육 및 선별검사",,남동구청,2019-07-04,3530000,인천광역시 남동구
