체험마을명,시도명,시군구명,체험프로그램구분,체험프로그램명,보유시설정보,체험휴양마을면적,체험휴양마을사진,소재지도로명주소,대표자성명,대표전화번호,지정일자,홈페이지주소,관리기관명,위도,경도,데이터기준일자,제공기관코드,제공기관명
꾀꼴성마을,충청남도,아산시,만들기체험,밀랍초만들기,민박,,,충청남도 아산시 음봉면 음봉로337번길 7-115,김영원,,2013-02-18,,충청남도 아산시 농업기술센터,36.850271,127.045708,2018-09-21,4520000,충청남도 아산시
기쁨두배마을,충청남도,아산시,농작물경작체험,배 화접하기+배청만들기+고구마캐기,체험관,,,충청남도 아산시 둔포면 석곡길 101,정순정,041-532-6754,2011-06-11,,충청남도 아산시 농업기술센터,36.912145,127.056318,2018-09-21,4520000,충청남도 아산시
삼계박사골마을,전라북도,임실군,농작물경작체험,"박사,엿","체험관,숙박관",,,전라북도 임실군 삼계면 세심길 26,오흥섭,,2011-10-10,,전라북도 임실군청,35.4927453,127.2500198,2019-06-28,6450000,전라북도
호롱불마을,전라북도,무주군,만들기체험,"뗏목체험, 떡매치기, 아르고 체험","숙박동, 식당, 운동장",2895,http://hrbul.invil.org/index.html?menuno=2849&lnb=20101,전라북도 무주군 설천면 무설로 682,박희축,063-322-8001,2011-02-28,http://hrbul.invil.org,전라북도 무주군청,36.0182170,127.7142660,2019-06-28,6450000,전라북도
왕곡덕실,전라남도,나주시,만들기체험,두부체험+장담그기체험,"체험관, 황토방",78,http://www.doeksil.co.kr/wizhome/menu_23.html,전라남도 나주시 왕곡면 덕실길 516,전병규,061-335-8289,2012-03-09,www.doeksil.co.kr,전라남도 나주시청,34.9663825,126.6767176,2019-07-01,4830000,전라남도 나주시
명하쪽빛,전라남도,나주시,만들기체험,쪽염색체험+향토음식체험,"한마음쉼터, 농가민박",143,http://명하쪽빛마을.com/mh/sub012.php,전라남도 나주시 문평면 명하길 29-4,윤대중,061-336-5800,2011-09-26,명하쪽빛마을.com,전라남도 나주시청,35.0856666,126.5985397,2019-07-01,4830000,전라남도 나주시
산포홍련,전라남도,나주시,자연생태체험,힐링체험+연잎밥만들기체험,"한옥체험관, 들림터",231,http://redvil.co.kr/sub02/page02.php,전라남도 나주시 산포면 화지길 28-7,강원철,070-8802-4639,2009-07-01,redvil.co.kr,전라남도 나주시청,35.0165133,126.8144685,2019-07-01,4830000,전라남도 나주시
다시동뫼골,전라남도,나주시,만들기체험,죽공예체험+농산물수확체험,체험관,173,http://www.dongmoi.co.kr/wizhome/menu_40.html,전라남도 나주시 다시면 신석동산길30,진득근,061-336-0666,2010-09-13,www.dongmoi.co.kr,전라남도 나주시청,34.9862094,126.6242619,2019-07-01,4830000,전라남도 나주시
다봉마을,경상북도,경주시,농작물경작체험/만들기체험/전통문화체험,"야생화심기, 농작물심기, 꽃차만들기, 주령구윷놀이 등","마을회관, 발효체험사",117,,경상북도 경주시 산내면 장사길 431,김인영,054-751-6873,2013-09-03,http://www.dabong.or.kr,경상북도 경주시청,35.8159982,129.0364798,2019-09-17,5050000,경상북도 경주시
하범곡마을,경상북도,경주시,농작물경작체험/만들기체험/전통음식체험,"농산물수확, 두부만들기, 전통고추장 담그기 등","체험관, 마을공동민박",386.9,,경상북도 경주시 양북면 하범길 199,황지운,054-748-8987,2010-11-30,http://cafe.daum.net/hju8001,경상북도 경주시청,35.7904297,129.3726394,2019-09-17,5050000,경상북도 경주시
옥산마을,경상북도,경주시,농작물경작체험/만들기체험/전통문화체험,"산나물채취, 농사체험, 손칼국수만들기, 전통놀이 등","체험장, 교육관",3774.22,,경상북도 경주시 안강읍 중부2길 14,김금조,054-763-0101,2015-04-23,http://www.sesim.kr,경상북도 경주시청,36.0018047,129.1716448,2019-09-17,5050000,경상북도 경주시
윤동마을,경상북도,성주군,전통한옥체험대나무숲길체험,전통한옥체험대나무숲길체험,사우당종택+대가천,5199,,경상북도 성주군 수륜면 수륜길 53,김기홍,,2011-03-09,,경상북도 성주군청 농정과,35.8278473,128.2150559,2019-06-19,5210000,경상북도 성주군
회룡포마을,경상북도,예천군,농작물경작체험,,,,,경상북도 예천군 용궁면 회룡길 197,박재후,,2009-06-18,,예천군,36.5804293445,128.3288029966,2020-03-27,6470000,경상북도
문래실마을,경상북도,예천군,농작물경작체험,,,,,경상북도 예천군 보문면 문래실길 49-50,박상건,,2009-06-18,,예천군,36.6935028473,128.5768394750,2020-03-27,6470000,경상북도
흰돌마을,경상북도,예천군,농작물경작체험,,,,,경상북도 예천군 효자면 제촌길 96,권택상,,2009-06-18,,예천군,36.8050966795,128.4543795645,2020-03-27,6470000,경상북도
출렁다리마을,경상북도,예천군,농작물경작체험,,,,,경상북도 예천군 용문면 용문경천로 826,허회국,,2009-06-18,,예천군,36.7024898790,128.3749547863,2020-03-27,6470000,경상북도
용산리마을,경상북도,칠곡군,농작물경작체험,,,,,경상북도 칠곡군 지천면 용산강가길 6-61,차순규,,2016-12-01,,칠곡군,35.8936181654,128.4986774436,2020-03-27,6470000,경상북도
학수고대마을,경상북도,칠곡군,자연생태체험,,,,,경상북도 칠곡군 가산면 학상6길 35,이순옥,,2016-09-22,,칠곡군,36.0956180825,128.5029352167,2020-03-27,6470000,경상북도
금남오이마을,경상북도,칠곡군,농작물경작체험,,,,,경상북도 칠곡군 왜관읍 금남 7길 35-23,이은수,,2015-01-21,,칠곡군,35.920979,128.4114271437,2020-03-27,6470000,경상북도
가산산성마을,경상북도,칠곡군,자연생태체험,,,,,경상북도 칠곡군 가산면 가산로 891,이은백,,2016-11-24,,칠곡군,36.0499732360,128.5974894849,2020-03-27,6470000,경상북도
가람마을,경상북도,성주군,기타,,,,,경상북도 성주군 수륜면 참별로 1276-14,우용택,,2018-04-10,,성주군,35.8600077662,128.1854638631,2020-03-27,6470000,경상북도
장학전통체험휴양마을,경상북도,성주군,기타,,,,,경상북도 성주군 선남면 장학1길 161,유성용,,2017-11-30,,성주군,35.8861761031,128.293993,2020-03-27,6470000,경상북도
남작골권역,경상북도,성주군,기타,,,,,경상북도 성주군 수륜면 보월로 8-23,이돈석,,2017-09-29,,성주군,35.8036354215,128.2705655744,2020-03-27,6470000,경상북도
금수강산권역,경상북도,성주군,기타,,,,,경상북도 성주군 금수면 성주로 1903,여상훈,,2017-03-02,,성주군,35.9189097035,128.1773861227,2020-03-27,6470000,경상북도
가야산칠불봉야생화마을,경상북도,성주군,기타,,,,,경상북도 성주군 가천면 동신로 28,김광수,,2011-08-18,,성주군,35.856177,128.102917,2020-03-27,6470000,경상북도
지역사랑농촌체험마을,전라남도,순천시,기타,,"체험학습장, 교육연수원, 조리실",,,전라남도 순천시 승주읍 내상로 353,조병철,061-755-3726,2018-05-30,,지역사랑농촌체험마을,35.0404670314,127.3731775711,2020-02-24,4820000,전라남도 순천시
안산골농촌체험마을,전라남도,순천시,기타,,"체험관(주방, 사무실포함), 관리시",,,전라남도 순천시 서면 신기비월길 69,장원중,061-755-0081,2018-01-08,http://ansangolgogo.blog.me/,안산골농촌체험마을,35.01479426,127.4521427,2020-02-24,4820000,전라남도 순천시
개랭이고들빼기마을,전라남도,순천시,기타,,"테마관(주방사무실전시실포함), 황도민박 4동",,,전라남도 순천시 별량면 흑가길 6,유성진,061-745-4040,2010-12-01,http://www.gerenge.com,개랭이고들빼기마을,34.8859117399,127.3849567909,2020-02-24,4820000,전라남도 순천시
민하마을,전라북도,정읍시,농작물경작체험,,체험장+숙박시설,,,전라북도 정읍시 산외면 민하길 97,홍석철,,2019-03-22,,전라북도정읍시청,35.6185665,127.0632611727,2020-02-15,4690000,전라북도 정읍시
매당마을,전라북도,정읍시,농작물경작체험,,체험장+숙박시설,,,전라북도 정읍시 옹동면 정동길 66,양봉광,,2019-03-14,,전라북도정읍시청,35.6363499539,126.9590972475,2020-02-15,4690000,전라북도 정읍시
황토현권역 녹두랑시루랑마을,전라북도,정읍시,만들기체험,,체험장+숙박시설,,,전라북도 정읍시 덕천면 태고로 577,김호인,063-532-8999,2018-08-23,http://www.loessvillage.com/shop/,전라북도정읍시청,35.6348923172,126.8326278,2020-02-15,4690000,전라북도 정읍시
백연마을,전라북도,정읍시,기타,,야구체험장,,,전라북도 정읍시 신태인읍 백산감산로 107,강동주,063-571-9088,2017-08-04,,전라북도 정읍시청,35.6921707428,126.9104170872,2020-02-15,4690000,전라북도 정읍시
연담마을,경상남도,거제시,농작물경작체험,"감자캐기, 강정만들기, 고구마 캐기, 김장체험, 다육심기, 땅콩, 떡만들기 등",숙박시설1/체험시설1,210,,경상남도 거제시 동부면 동부로 278,원장일,,2010-01-01,http://m.cafe.naver.com/lar612,거제시,35.3911628591,129.066491466,2019-01-11,6480000,경상남도
삼거마을,경상남도,거제시,농작물경작체험,"1월 주말가족체험, 가을추억+쌀, 가을추억만들기, 가족체험(정자대) 등",체험관1,896,,경상남도 거제시 거제중앙로 1276,옥대석,,2012-01-01,http://blog.naver.com/sgvil,거제시,34.9683140655,128.648542442,2019-01-11,6480000,경상남도
부춘마을,경상남도,거제시,농작물경작체험,"고구마캐기/군고구마만들기, 고추장만들기, 김장체험, 포도따기, 포도와플만들기 등",체험센터(농장)5/농산물판매장 1,,,경상남도 거제시 동부면 부춘2길 5 (부춘리) -,김상범,,2016-01-01,http://prm6061.modoo.at,거제시,34.8430495322,128.648213418,2019-01-11,6480000,경상남도
상내권역 나실마을,경상북도,문경시,만들기체험,,,,,경상북도 문경시 마성면 상내1길 99,김도묵,,2014-11-03,,문경시,36.6751688895,128.073122,2020-03-27,6470000,경상북도
거제둔덕시골,경상남도,거제시,농작물경작체험,"거봉포도따기, 고구마캐기, 떡메치기, 비누만들기, 석고방향제만들기 등",농촌체험센터1/물놀이시설1/농장1/운동장1,2054,,경상남도 거제시 둔덕면 청마로 159 경남 거제시 둔덕면 거림리 363-2번지,옥광석,,2012-01-01,http://www.gddsigol.co.kr/,거제시,34.806025158,128.607788778,2019-01-11,6480000,경상남도
평리마을,경상남도,밀양시,전통문화체험,"농산물수확체험, 대추마을숲체험, 뗏목타기, 벼락바위소원지달기, 영농체험 등","방문자센터, 정보화센터, 사계절체험관, 민박시설",1200,,"경상남도 밀양시 단장면 고례4길 7-3 (고례리, 평리마을정보화센터) 평리체험마을",배송학,,2010-01-01,http://sandaechu.invil.org,밀양시,34.8523304918,128.510722552,2019-01-11,6480000,경상남도
퇴로고가마을,경상남도,밀양시,전통문화체험,"고구마캐기 체험, 공예체험, 다례체험, 대추방울토마토 체험, 딸기 체험, 떡케? 등","체험관, 민박시설, 인성교육관",312,,경상남도 밀양시 부북면 퇴로로 233,박인강,,2011-01-01,doonggee.com,밀양시,35.5489058604,128.700628417,2019-01-11,6480000,경상남도
밀양 숲속마을,경상남도,밀양시,농작물경작체험,"농산물 수확체험, 물놀이체험, 시골두부 만들기, 시너대 물총만들기 등",,,,경상남도 밀양시 청도면 청도로 105-11 (구기리),김춘택,,2018-01-01,없음,밀양시,35.5605607,128.6580209,2019-01-11,6480000,경상남도
꽃새미마을(방동마을),경상남도,밀양시,전통음식체험,"고구마캐기, 단감따기, 떡메치기, 문패만들기, 물놀이 등","마을회관, 민박시설",,,경상남도 밀양시 초동면 방동안길 22,손정태,,2010-01-01,http://kkotsaemi.go2vil.org,밀양시,35.4531839629,128.705902492,2019-01-11,6480000,경상남도
화포천마을,경상남도,김해시,농작물경작체험,"축제, 견학, 단감강정만들기체험, 단감수확체험 등","다목적홀,공동식당,휴게시설체육시설,숙박시설",,www.thebongha.com,경상남도 김해시 진영읍 봉하로 10,김진호,,2016-01-01,http://www.thebongha.com,김해시,35.3144687587,128.758226557,2019-01-11,6480000,경상남도
오돌개마을,충청남도,아산시,만들기체험,오디체험+두부만들기+솟대만들기,체험관,,,충청남도 아산시 송악면 송악로 112,장석철,,2012-04-10,,충청남도 아산시 농업기술센터,36.661180,126.989475,2018-09-21,4520000,충청남도 아산시
형제의병장마을,전라남도,광양시,농작물경작체험,,회의실+숙박시설+향토음식체험,,,전라남도 광양시 봉강면 신촌길 26-1,오후근,061-763-8277,2011-11-03,http://br.invil.org,전라남도 광양시청,35.059099,127.563218,2020-03-23,4840000,전라남도 광양시
봉강햇살촌마을,전라남도,광양시,만들기체험,,숙박시설+물놀이시설,,,전라남도 광양시 봉강면 성불로 821,김정호,061-762-7977,2012-11-21,http://www.sunshinebg.kr,전라남도 광양시청,35.0522231,127.565513,2020-03-23,4840000,전라남도 광양시
백학동권역마을,전라남도,광양시,농작물경작체험,,강당+숙박+물놀이시설,,,전라남도 광양시 진상면 성지로 2,김재철,061-772-8820,2012-12-31,http://baekhakdong.invil.org,전라남도 광양시청,35.049954,127.691434,2020-03-23,4840000,전라남도 광양시
백운산마을,전라남도,광양시,산촌생활체험,,회의실+숙박시설,,,전라남도 광양시 옥룡면 신재로 826,박종윤,061-763-2622,2015-08-31,http://www.wangguem.com,전라남도 광양시청,35.033212,127.617737,2020-03-23,4840000,전라남도 광양시
메아리마을,전라남도,광양시,만들기체험,,강당+음식체험장+야영장+숙박시설,,,전라남도 광양시 다압면 대청길 40,위영근,061-772-3236,2013-07-09,http://www.메아리마을.com,전라남도 광양시청,35.15426763,127.651551,2020-03-23,4840000,전라남도 광양시
해살이마을,강원도,강릉시,농작물경작체험,,,,,강원도 강릉시 사천면 중앙서로 557-1,권영선,,2011-05-03,,강원도 강릉시청,37.7929520055,128.8110018271,2020-03-26,4200000,강원도 강릉시
한울타리마을,강원도,강릉시,자연생태체험,,,,,강원도 강릉시 옥계면 풍동로 406,이갑수,,2010-12-31,,강원도 강릉시청,37.6176218203,128.9917108089,2020-03-26,4200000,강원도 강릉시
정감이마을,강원도,강릉시,만들기체험,,,,,강원도 강릉시 강동면 단경로 54,이규용,,2009-03-29,,강원도 강릉시청,37.7215521500,128.9617254233,2020-03-26,4200000,강원도 강릉시
왕산권역마을,강원도,강릉시,전통문화체험,,,,,강원도 강릉시 왕산면 도마길 21,정길수,,2017-06-02,,강원도 강릉시청,37.6724396815,128.8405139,2020-03-26,4200000,강원도 강릉시
소금강장천마을,강원도,강릉시,자연생태체험,,,,,강원도 강릉시 연곡면 진고개로 1502,강태식,,2011-05-03,,강원도 강릉시청,37.846559,128.704623,2020-03-26,4200000,강원도 강릉시
소금강솔내마을,강원도,강릉시,자연생태체험,,,,,강원도 강릉시 연곡면 진고개로 1123-3,김창기,,2011-06-21,,강원도 강릉시청,37.8437753836,128.6644332584,2020-03-26,4200000,강원도 강릉시
소금강마을,강원도,강릉시,만들기체험,,,,,강원도 강릉시 연곡면 진고개로 1826-11,황진구,,2013-07-09,,강원도 강릉시청,37.8482339800,128.7413317313,2020-03-26,4200000,강원도 강릉시
삽당령고송마을,강원도,강릉시,농작물경작체험,,,,,강원도 강릉시 왕산면 왕산로 23-23,김연기,,2015-06-29,,강원도 강릉시청,37.5199199251,128.8478078846,2020-03-26,4200000,강원도 강릉시
강언덕부엉이마을,강원도,춘천시,농작물경작체험,염색체험. 고구마캐기,"체험관, 숙박",,,강원도 춘천시 남면 한덕발산길 61,전종선,,2011-02-25,www.handeok.kr,강원도 춘천시청,37.680315,127.614229,2019-05-01,4180000,강원도 춘천시
다람이마을,강원도,춘천시,농작물경작체험,야영. 낚시. 산책로,"체험관, 폐교, 숙박",,,강원도 춘천시 북산면 장재골길 12-32,박제철,,2013-04-10,,강원도 춘천시청,37.996157,127.877492,2019-05-01,4180000,강원도 춘천시
대룡산해맞이마을,강원도,춘천시,농작물경작체험,복숭아꽃길걷기. 복숭아청만들기,"체험관, 숙박",,,강원도 춘천시 동내면 동내로 179,지무현,,2014-01-22,,강원도 춘천시청,37.850219,127.771299,2019-05-01,4180000,강원도 춘천시
고탄산들미,강원도,춘천시,농작물경작체험,감자캐기체험. 목장체험. 전통혼례체험,"체험관, 숙박",,,강원도 춘천시 사북면 춘화로 485,박정훈,,2015-01-28,cafe.daum.net/gotansandlmi,강원도 춘천시청,37.988396,127.704174,2019-05-01,4180000,강원도 춘천시
원평팜스테이마을,강원도,춘천시,농작물경작체험,꽃심기. 산나물채취. 두부만들기,"체험관, 폐교, 숙박",,,강원도 춘천시 사북면 원평길 36-27,양찬식,,2008-10-28,www.wonpyeong.net,강원도 춘천시청,38.004177,127.639596,2019-05-01,4180000,강원도 춘천시
청미래마을,경상남도,의령군,농작물경작체험/만들기체험,망개떡 만들기,체험관,230,,경상남도 의령군 의령읍 수암로2길 14,주인석,055-573-7400,2012-01-01,,의령군,35.303984,128.240929,2019-07-08,5390000,경상남도 의령군
세심마을,경상북도,경주시,만들기체험/전통문화체험,"두부만들기, 한옥숙박체험, 칼국수만들기, 한복입고 예절배우기, 과거보기, 활쏘기 등","체험관, 마을회관",451,,경상북도 경주시 안강읍 세심길 20-9,이지출,070-4132-7072,2004-03-05,http://sesim.go2vil.org,경상북도 경주시청,36.0158706,129.1592016,2019-09-17,5050000,경상북도 경주시
오미마을,강원도,양구군,농작물경작체험,계절별농촌체험,"체험관, 숙박시설",,,강원도 양구군 방산면 평화로 4818,허인성,033-481-6403,2011-07-11,,양구군,38.1882147,127.9225914,2019-09-10,4320000,강원도 양구군
약수산채마을,강원도,양구군,농작물경작체험,계절별농촌체험,"체험관, 숙박시설",,,강원도 양구군 동면 바랑길 168,김선묵,033-481-7011,2016-12-29,,양구군,38.209491,128.0677183,2019-09-10,4320000,강원도 양구군
광치마을,강원도,양구군,농작물경작체험,계절별농촌체험,"체험관, 숙박시설",,,강원도 양구군 남면 광치령로1794번길 25,박석주,033-481-7002,2014-03-05,,양구군,38.1439565,128.0716513,2019-09-10,4320000,강원도 양구군
두무산촌마을,강원도,양구군,농작물경작체험,계절별농촌체험,"체험관, 숙박시설",,,강원도 양구군 남면 관대두무로1058번길 5,이근휘,033-481-4355,2015-03-11,,양구군,38.0414339,128.0824934,2019-09-10,4320000,강원도 양구군
박수근마을,강원도,양구군,농작물경작체험,계절별농촌체험,"체험관, 숙박시설",,,강원도 양구군 양구읍 박수근로 278,함만흥,033-000-0000,2016-07-22,,양구군,38.096431,127.981533,2019-09-10,4320000,강원도 양구군
자연애밤토랑 마을,충청남도,공주시,농작물경작체험,"알밤줍기, 밤조청만들기, 두부만들기, 인절미 만들기","체험장, 숙박시설, 풍차, 징검다리",,,충청남도 공주시 정안면 허수아비길 257-8,정지영,000-0000-0000,2011-01-19,http://www.bamtorang.co.kr/,충청남도 공주시청,36.6456276,127.0457646,2019-06-07,4500000,충청남도 공주시
예하지 마을,충청남도,공주시,농작물경작체험,"숲 생태체험, 집터다지기 체험, 전통모내기 및 인절미 만들기","물놀이 생태체험장, 체험관, 마을회관, 예하재",,,충청남도 공주시 의당면 서당길 66,전용주,000-0000-0000,2012-04-16,http://yehazi.co.kr/,충청남도 공주시청,36.5497233,127.1405887,2019-06-07,4500000,충청남도 공주시
도담골 호반마을,충청남도,공주시,농작물경작체험,"물놀이 생태체험,상채전만들기, 호반 자전거여행","물놀이 체험장, 자전거 휴게소",,,충청남도 공주시 의당면 강백년길 29,강연식,000-0000-0000,2013-05-03,,충청남도 공주시청,36.5822983,127.1709501,2019-06-07,4500000,충청남도 공주시
계룡산 상신마을,충청남도,공주시,농작물경작체험,"인성교육프로그램, 만두만들기, 서당교육체험","체험운영센터, 창고, 바비큐체험장, 식당시설",,,충청남도 공주시 반포면 상하신길 396,김미경,000-0000-0000,2013-11-04,http://amenity.modoo.at/,충청남도 공주시청,36.3848446,127.2225888,2019-06-07,4500000,충청남도 공주시
구난이 약나무 마을,충청남도,공주시,농작물경작체험,"옻순채취, 옻닭백숙 만들기, 농작물 수확체험","알로에 체험관, 장류항아리 건조장, 체육시설",,,충청남도 공주시 이인면 강삿골길 25,최동진,000-0000-0000,2011-08-24,,충청남도 공주시청,36.3729833,127.0548579,2019-06-07,4500000,충청남도 공주시
압해도 용마을,전라남도,신안군,기타,,"숙박시설, 체험장, 음식제공시설",,,전라남도 신안군 압해읍 중촌길8,전세식,061-271-3270,2013-03-27,www.angelyong.or.kr,신안군청,34.8976532835,126.3362931569,2020-03-23,5010000,전라남도 신안군
