사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
장산면농기계임대센터,061-271-2551,전라남도 신안군 장산면 헌터길 6,전라남도 신안군 장산면 대리 99-1,34.637954,126.146119,56,0,6,2,4,0,0,0,"굴삭기,양파정식기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
안좌면농기계임대센터,061-275-6716,전라남도 신안군 안좌면 중부로 692,전라남도 신안군 안좌면 대척리 685-1,34.7413625182,126.131589,60,0,8,2,4,0,0,0,"굴삭기,양파,대파정식기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
팔금면농기계임대센터,061-240-4178,전라남도 신안군 팔금면 삼층석탑길 145,전라남도 신안군 팔금면 읍리 417-1,34.7849580,126.1422301,53,1,6,2,3,0,0,2,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
암태면농기계임대센터,061-240-4106,전라남도 신안군 암태면 승봉로 12,전라남도 신안군 암태면 단고리 968-4,34.8262157,126.1122264,59,0,7,2,3,0,0,2,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
농기계임대 상서분소,033-442-2688,강원도 화천군 상서면 장촌리길 141,강원도 화천군 상서면 장촌리 869-3,38.140589,127.654992,32,3,20,2,4,0,1,2,17,033-440-2991,강원도 화천군청,2018-08-10,4310000,강원도 화천군
장흥군농업기계임대사업소,061-863-9088,전라남도 장흥군 잣두길 8,전라남도 장흥군 장흥읍 행원리 982-5,34.6921218159,126.901301768,73,2,17,9,7,13,3,1,63,061-863-0558,장흥군농업기술센터,2019-06-24,4910000,전라남도 장흥군
비금면농기계임대센터,061-275-7878,전라남도 신안군 비금면 서남문로 811,전라남도 신안군 비금면 덕산리 145-43,34.7505548,125.930303,65,1,6,3,5,0,0,0,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
도초면농기계임대센터,061-240-4953,전라남도 신안군 도초면 서남문로 1527,전라남도 신안군 도초면 수항리324-2,34.7024659791,125.954790908,55,1,6,1,4,0,0,2,굴삭기,061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
하의면농기계임대센터,061-275-4050,전라남도 신안군 하의면 곰실길 12,전라남도 신안군 하의면 웅곡리 250-2,34.6069448,126.0366692,43,2,6,2,4,0,1,0,굴삭기,061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
농기계임대 간동분소,033-441-8484,강원도 화천군 간동면 온수길23-15,강원도 화천군 간동면 유촌리 1533-4,38.052722,127.790748,40,4,36,2,6,0,2,4,47,033-440-2991,강원도 화천군청,2018-08-10,4310000,강원도 화천군
농기계임대 하남분소,033-441-1400,강원도 화천군 하남면 공단길 10,강원도 화천군 하남면 원천리999,38.055386,127.668947,25,3,11,1,3,0,1,2,13,033-440-2991,강원도 화천군청,2018-08-10,4310000,강원도 화천군
공주시농업기계임대사업소(남부지소),041-840-8725,충청남도 공주시 이인면 구부내로 321,충청남도 공주시 이인면 반송리 421-12,36.3520067460,127.0960324708,72,9,17,14,12,1,3,0,43,041-840-8720,공주시농업기술센터,2019-09-25,4500000,충청남도 공주시
공주시농업기계임대사업소(본소),041-840-8720,충청남도 공주시 우성면 내산목천길 52-15,충청남도 공주시 우성면 도천리 1-2,36.4929714636,127.1002240974,132,22,27,25,35,1,7,0,96,041-840-8720,공주시농업기술센터,2019-09-25,4500000,충청남도 공주시
김화권역임대사업소,033-450-5540,강원도 철원군 서면 약수로25,강원도 철원군 서면 와수리580-1,38.246561,127.429487,120,6,79,9,21,3,5,14,91,033-450-5540,김화임대사업소,2019-07-10,4300000,강원도 철원군
용인시 농기계임대사업소,031-324-4073,경기도 용인시 처인구 원삼면 농촌파크로 80,경기도 용인시 처인구 원삼면 사암리 858-1,37.172639,127.298991,47,4,36,16,8,0,0,0,17,031-324-4073,농업기술센터,2019-04-10,4050000,경기도 용인시
농업기술센터,061-240-4161,전라남도 신안군 압해읍 압해로 1042,전라남도 신안군 압해읍 동서리 525,34.8608226,126.2991075,81,0,6,4,6,0,1,0,"굴삭기,양파정식기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
지도읍농기계임대센터,061-275-7997,전라남도 신안군 지도읍 봉리길 112,전라남도 신안군 지도읍 광정리 1040,35.0635739,126.2062759,64,0,6,2,4,0,0,2,"굴삭기,양파정식기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
증도면농기계임대센터,061-271-1158,전라남도 신안군 증도면 문중경길 227-28,전라남도 신안군 증도면 증동리 1971-2,34.9992428528,126.138593,57,0,8,2,3,0,0,0,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
임자면농기계임대센터,061-240-4951,전라남도 신안군 임자면 임자로 113-4,전라남도 신안군 임자면 진리 431-35,35.0846543,126.109946,66,0,6,3,4,0,0,0,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
자은면농기계임대센터,061-240-4088,전라남도 신안군 자은면 구영길 378-1,전라남도 신안군 자은면 구영리 378-1,34.8833176251,126.047683,67,1,9,1,4,0,0,0,"굴삭기,양파,대파정식기, 대파파종기",061-240-4161,농업기술센터,2019-07-01,5010000,전라남도 신안군
영월군 농기계임대사업소,033-370-2277,강원도 영월군 영월로 1315,,,,333,29,48,41,106,3,47,0,156,033-370-2277,영월군 농업기술센터,2018-08-27,4270000,강원도 영월군
당진시 농업기술센터 본소,041-360-6382,충청남도 당진시 원당동 구봉로 46,충청남도 당진시 원당동 486,36.913507,126.649889,2,4,34,67,59,0,0,0,총 72종 447대,041-1522-3113,충청남도 당진시청,2018-08-27,5680000,충청남도 당진시
당진시 농업기술센터 남부지소,041-360-6421,충청남도 당진시 합덕읍 면천로 1578-2,충청남도 당진시 합덕읍 운산리 678-62,36.811781,126.761161,2,0,12,35,51,0,0,0,총 45종 256대,041-1522-3113,충청남도 당진시청,2018-08-27,5680000,충청남도 당진시
당진시 농업기술센터 북부지소,041-360-6611,충청남도 당진시 석문면 대호로 1479-2,충청남도 당진시 석문면 삼봉리 1124-3,37.007432,126.530858,2,3,21,21,24,0,0,0,총 49종 219대,041-1522-3113,충청남도 당진시청,2018-08-27,5680000,충청남도 당진시
농기계임대사업소,033-680-3938,강원도 고성군 간성읍 간성북로 87,,38.386413,128.473677,3,93,187,34,72,67,3,43,66,033-680-3528,고성군농업기술센터,2018-08-21,4340000,강원도 고성군
농기계임대 화천본소,033-441-6258,강원도 화천군 화천읍 산천어길206,강원도 화천군 화천읍 신읍리659-3,38.113965,127.702207,85,10,39,15,22,0,8,9,83,033-440-2991,강원도 화천군청,2018-08-10,4310000,강원도 화천군
농기계임대 사내분소,033-441-9494,강원도 화천군 사내면 창안산길34,강원도 화천군 사내면 사창리410-2,38.073008,127.524624,42,1,23,1,9,0,1,2,33,033-440-2991,강원도 화천군청,2018-08-10,4310000,강원도 화천군
신동분소,033-562-1222,강원도 정선군 신동읍 의림로 420,강원도 정선군 신동읍 예미리 319-2,37.227516,128.650589,11,0,5,0,16,0,0,0,6,033-560-2554,정선군농업기술센터,2019-06-30,4290000,강원도 정선군
임계분소,033-560-2696,강원도 정선군 임계면 송계4길 24,강원도 정선군 임계면 송계리 955,37.495999,128.852916,40,3,33,6,25,10,4,0,20,033-560-2554,정선군농업기술센터,2019-06-30,4290000,강원도 정선군
본소,033-562-1222,강원도 정선군 북평면 송석길 146-7,강원도 정선군 북평면 남평리 412-1,37.430412,128.664732,58,2,46,6,62,10,5,2,34,033-560-2554,정선군농업기술센터,2019-06-30,4290000,강원도 정선군
양양군농업기술센터 북부지소,033-673-2958,강원도 양양군 강현면 진미로54번길 68,강원도 양양군 강현면 정암리 561-1,,,11,2,6,1,5,0,5,3,26,033-670-2478,강원도 양양군청,2019-08-12,4350000,강원도 양양군
의령농기계임대사업소,055-570-4189,경상남도 의령군 의령읍 의령읍 의합대로 69,경상남도 의령군 의령읍 의령읍 무전리 249-7,35.323513,128.281739,102,16,7,68,24,11,0,3,131,055-570-4260,경상남도 의령군농업기술센터,2019-07-04,5390000,경상남도 의령군
중부농기계임대사업소,055-572-4125,경상남도 의령군 정곡면 법정로1길 6,경상남도 의령군 정곡면 정곡면 백곡리 952,35.343937,128.361169,56,7,4,24,10,6,0,3,69,055-570-4260,경상남도 의령군농업기술센터,2019-07-04,5390000,경상남도 의령군
동부농기계임대사업소,055-570-4188,경상남도 의령군 부림면 한지31길 6,경상남도 의령군 부림면 신반리 160-11,35.464644,128.321634,80,9,3,17,10,5,0,3,62,055-570-4260,경상남도 의령군농업기술센터,2019-07-04,5390000,경상남도 의령군
동송권역임대사업소,033-450-5548,강원도 철원군 동송읍 장흥로311,강원도 철원군 동송읍 장흥리 1052,38.203042,127.248856,107,2,39,7,34,1,8,15,70,033-450-5548,동송임대사업소,2019-07-10,4300000,강원도 철원군
갈말권역임대사업소,033-450-5681,강원도 철원군 갈말읍 태봉로1500-9,강원도 철원군 문혜리623-3,38.184841,127.351444,87,2,45,7,30,6,6,8,73,033-450-5681,갈말임대사업소,2019-07-10,4300000,강원도 철원군
전주시농업기계 임대사업소,063-281-6721,전라북도 전주시 덕진구 원장동길 111-17,전라북도 전주시 덕진구 장동 452-32,35.850848,127.062411,33,5,14,7,10,2,0,0,파이프밴딩기(2)+전동가위(3)+전동가위연장폴대(1)+논두렁제초기(3)+비료살포기 엔진형(1)+엽무살포기 엔진형(2)+동력운반차(2)+잔가지파쇄기(2)+SS퇴비살포기(1)+농업용 굴삭기(2)+승용제초기(2),063-281-6721,전라북도 전주시청,2018-08-09,4640000,전라북도 전주시
북부임대사업소,054-270-3902,경상북도 포항시 북구 흥해읍 신흥로 572,경상북도 포항시 북구 흥해읍 매산리 16-1번지,36.1135775486,129.304927526,45,0,12,7,15,3,0,2,"탈망기,퇴비살포기,파이프맨딩기,농용굴삭기,굴착기,이식기,승용제초기,잔가지파쇄기 등 14종 29대",054-270-3933,포항시 농업기술센터,2019-08-20,5020000,경상북도 포항시
서부임대사업소,054-270-4831,경상북도 포항시 북구 기계면 봉좌로 383번길 32-43,경상북도 포항시 북구 기계면 인비리 784번지,36.0840050806,129.156991294,9,0,6,2,7,0,0,2,"퇴비살포기,농용굴삭기,이식기,승용제초기,잔가지파쇄기,동력예초기 등 7종 15대",054-270-3934,포항시 농업기술센터,2019-08-20,5020000,경상북도 포항시
순천시농업기술센터 북부 농기계임대사업장,061-749-4681,전라남도 순천시 승주읍 승주로 628,전라남도 순천시 승주읍 서평리 555,35.015808,127.3791655,38,2,22,5,11,1,5,4,64,061-749-8700,전라남도 순천시청,2019-08-28,4820000,전라남도 순천시
순천시농업기술센터 남부 농기계임대사업장,061-749-4888,전라남도 순천시 지현길 96,전라남도 순천시 덕월동 377,34.930509,127.4913300,45,2,25,6,12,1,3,5,57,061-749-8700,전라남도 순천시청,2019-08-28,4820000,전라남도 순천시
양양군농업기술센터 본소,033-670-2758,강원도 양양군 손양면 동해대로 2558,강원도 양양군 손양면 송현리 278,,,25,2,14,2,17,1,12,13,62,033-670-2478,강원도 양양군청,2019-08-12,4350000,강원도 양양군
양양군농업기술센터 남부지소,070-8824-2478,강원도 양양군 현남면 북죽로 179,강원도 양양군 현남면 두리 159-2,,,16,2,7,1,7,1,9,8,28,033-670-2478,강원도 양양군청,2019-08-12,4350000,강원도 양양군
중화분소,054-537-5356,경상북도 상주시 화서면 화령남1길 2,경상북도 상주시 화서면 신봉리 127-6,36.444125,127.953158784,61,9,9,12,17,0,0,0,ss퇴비살포기(6)+감박피기및작업기(8)+농업용굴착기(2)+동력배토기(3)+보행제초기(4)+승용제초기(6)+인력파종기(4)+잔가지파쇄기(13)+콩수확기(2)+탈망기(2),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
광산임대사업소,062-613-5328,광주광역시 광산구 평동로 800번길 52,광주광역시 광산구 옥동 251-3,35.1229648,126.7598378,58,16,36,12,14,3,1,0,79,062-613-5303,광주광역시농업기술센터,2019-05-29,6290000,광주광역시
북부임대사업소,062-575-5745,광주광역시 북구 용강길 126,광주광역시 북구 용강동 332-1,35.2523012363,126.905541426,55,15,32,10,12,2,3,0,61,062-613-5302,광주광역시농업기술센터,2019-05-29,6290000,광주광역시
농업기술센터,055-831-3880,경상남도 사천시 용현면 진삼로 902,,,,4,9,9,8,10,4,0,0,192,055-831-3880,농업기술센터 기술지원과,2019-04-03,5340000,경상남도 사천시
농기계임대사업소,041-950-6651,충청남도 서천군 마서면 장서로 689,충청남도 서천군 마서면 계동리 88-10,36.06226184,126.7060101,151,10,57,19,25,0,2,0,104,041-950-6651,충청남도 서천군농업기술센터,2019-09-26,4580000,충청남도 서천군
원주시농업기술센터 본소,033-737-4164,강원도 원주시 흥업면 흥대길 7,강원도 원주시 흥업면 흥업리 1572-5,37.2962240,127.9153733,22,4,17,19,13,5,10,11,농용굴삭기(1)+동력분무기(1)+제초기(5)+사료작물수확기(1)+심토파쇄기(1)+스피드스프레이어(1)+잔가지파쇄기(3)+전동가위(3)+전엽기(1)+중경제초기(1)+콩예취기(4)+파이프밴딩성형기(1)+인력파종기(4)+햄머드릴(1),033-737-4161,강원도 원주시청,2019-05-29,4190000,강원도 원주시
남부임대사업소,054-270-4835,경상북도 포항시 남구 오천읍 철강로 799,경상북도 포항시 남구 오천읍 문덕리 51-6번지,35.961757,129.413823833,36,0,9,5,11,3,0,2,"탈망기,퇴비살포기,파이프맨딩기,농용굴삭기,굴착기,이식기,승용제초기,잔가지파쇄기 등 8종 15대",054-270-3932,포항시 농업기술센터,2019-08-20,5020000,경상북도 포항시
횡성군농기계임대사업소,033-340-5532,강원도 횡성군 공근면 영서로 150,강원도 횡성군 공근면 학담리 775,37.5284426,127.9616494,164,25,32,11,34,4,9,0,74,033-340-5532,강원도 횡성군농업기술센터,2019-06-13,4260000,강원도 횡성군
상주시농업기술센터 본소,054-537-5325,경상북도 상주시 발산로 71,경상북도 상주시 초산동 720-1,36.452944,128.168009,252,12,28,36,55,0,0,0,ss퇴비살포기(8)+감박피기및작업기(16)+농업용굴착기(14)+농용동력운반차(5)+인력파종기(8)+동력배토기(5)+동력채소이식기(6)+목재파쇄기(3)+보행제초기(13)+승용제초기(20)+육묘용산파파종기(5)+잔가지파쇄기(30)+콩수확기(11)+탈망기(4)+자주형퇴비살포기(7)+휴대용전동가위(15),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
동부분소,054-537-5344,경상북도 상주시 낙동면 신상1길 109,경상북도 상주시 낙동면 신상리 466-1,36.405048,128.238554,59,8,16,15,15,0,0,0,ss퇴비살포기(3)+감박피기및작업기(4)+농업용굴착기(3)+보행제초기(6)+승용제초기(5)+잔가지파쇄기(6)+휴대용전동가위(8),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
서부분소,054-537-5353,경상북도 상주시 모서면 중화로 845,경상북도 상주시 모서면 삼포리 350-2,36.338576,127.962367,49,4,5,6,14,0,0,0,ss퇴비살포기(5)+감박피기및작업기(9)+농업용굴착기(3)+농용동력운반차(1)+보행제초기(4)+승용제초기(5)+잔가지파쇄기(13)+휴대용전동가위(9),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
남부분소,054-537-5350,경상북도 상주시 공성면 남상주로 512,경상북도 상주시 공성면 평천리 631,36.290366,128.099313,57,4,12,8,17,0,0,0,농업용굴착기(3)+농용운반사다리(10)+감박피기(2)+컴프레셔(6)+다목적점파기(3)+승강기(2)+풍구(1)+휴대용전동가위(4)+동력배토기(2),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
북부분소,054-537-5341,경상북도 상주시 이안면 양범안룡길 90,경상북도 상주시 이안면 양범리 87-3,36.581808,128.142064,68,8,17,20,41,0,0,0,ss퇴비살포기(4)+감박피기및작업기(9)+농업용굴착기(3)+보행제초기(4)+승용제초기(5)+잔가지파쇄기(4)+콩수확기(8)+휴대용전동가위(4),054-537-5322,경상북도 상주시청,2019-05-27,5110000,경상북도 상주시
영동군농업기술센터(서부지소),043-740-5917,충청북도 영동군 학산면 서산로 88,충청북도 영동군 학산면 서산리 844-1,36.0997228,127.6812039,27,3,22,4,9,0,1,0,"농용굴삭기(5)+동력분무기(1)+동력비료살포기(2)+동력운반차(5)+잔가지파쇄기(6)+제초기(승용,보행)(5)+콩예취기(2)+퇴비살포기(보행,승용)(3)+파이프밴딩성형기(1)+SS기(3)+지주목설치기(2)+휴대용자동전동가위(2)+비닐피복기(인력)(1)+파종기(인력)(10)+배합기(1)+지게차(1)",043-740-5551,충청북도 영동군,2018-02-23,4440000,충청북도 영동군
농기계임대사업소,055-359-6995,경상남도 밀양시 상남면 상남로 1008-19,,35.344255,129.035797,127,19,4,12,22,19,0,2,84,055-359-6995,농기계 임대사업소,2017-11-08,5360000,경상남도 밀양시
창원시(마산권)농기계임대사업소,055-225-5638,경상남도 창원시 마산합포구 진북면 지산1길 130,경상남도 창원시 마산합포구 진북면 지산리 262-9번지,35.115024,128.4614477,39,1,5,4,4,0,0,8,25,055-225-5610,경상남도 창원시청,2019-09-06,6480000,경상남도
보령시 농업기술센터 농기계대여은행(본소),041-930-7686,충청남도 보령시 주포면 충서로 3220,충청남도 보령시 주포면 관산리 432,36.3969456,126.5725995,38,4,12,8,23,0,9,0,53,041-930-7686,충청남도 보령시 농업기술센터,2019-09-05,4510000,충청남도 보령시
보령시 농업기술센터 농기계대여은행(남부지소),041-930-7697,충청남도 보령시 웅천읍 장터7길 30,충청남도 보령시 웅천읍 대창리 349-5,36.233105,126.596392,21,3,7,7,10,0,5,0,38,041-930-7697,충청남도 보령시 농업기술센터,2019-09-05,4510000,충청남도 보령시
곡성군농업기계 임대사업,061-360-7496,전라남도 곡성군 곡성읍 학정3길 9,전라남도 곡성군 곡성읍 교촌리 20,35.283582,127.288409,56,2,17,11,17,11,13,10,60,061-360-7496,곡성군농업기술센터,2019-06-27,4860000,전라남도 곡성군
원주시농업기술센터 서부분소,033-737-4105,강원도 원주시 문막읍 건등로 11,강원도 원주시 문막읍 건등리 1718,37.3127648,127.8172560,21,3,12,5,13,2,9,9,곡물적재함(1)+농용굴삭기(1)+농용로우더(1)+농업용운반차(1)+동력분무기(1)+스피드스프레이어(1)+SS퇴비살포기(1)+잔가지파쇄기(2)+전동가위(1)+보행제초기(2)+중경제초기(1)+파이프밴딩기(1)파종기(4),033-737-4105,강원도 원주시청,2019-05-29,4190000,강원도 원주시
원주시농업기술센터 남부분소,033-737-4417,강원도 원주시 신림면 치악로 28-9,강원도 원주시 신림면 신림리 526,37.2312366755,128.0798845357,11,1,11,5,11,1,3,4,농용굴삭기(1)+농용로우더(1)+동력분무기(1)+SS퇴비살포기(1)+잔가지파쇄기(1)+전동가위(1)+중경제초기(1)+제초기(3)+파종기(4)+햄머드릴(1),033-737-4417,강원도 원주시청,2019-05-29,4190000,강원도 원주시
원주시농업기술센터 동부분소,033-737-4656,강원도 원주시 소초면 치악로 2810-5,강원도 원주시 소초면 평장리 808,37.4183010624,128.0045808065,17,3,11,5,10,1,6,9,농업용굴삭기(1)+농업용운반차(1)+농용로우더(1)+동력분무기(1)+중경제초기(1)+제초기(4)+스피드스프레이어(1)+잔가지파쇄기(2)+콩예취기(3)+전동가위(2),033-737-4656,강원도 원주시청,2019-05-29,4190000,강원도 원주시
횡성군농기계임대사업소 동부지소,033-340-5536,강원도 횡성군 둔내면 고원남로 38,강원도 횡성군 둔내면 자포곡리 463-75,37.5069944415,128.2125459,59,21,19,5,18,1,2,0,24,033-340-5532,강원도 횡성군농업기술센터,2019-06-13,4260000,강원도 횡성군
양산시농기계임대사업소,055-392-5316,경상남도 양산시 동면 양산대로 618,경상남도 양산시 동면 석산리 392,35.3235409885,129.0335943706,49,3,19,7,5,1,1,1,굴삭기 등 자주형 농기계 24대,055-392-5313,양산시 농정과,2019-09-11,5380000,경상남도 양산시
농기계임대사업소,053-810-6732,경상북도 경산시 자인면 계정길 7,경상북도 경산시 자인면 북사리 502,35.8166344026,128.813094717,64,42,45,23,52,36,0,0,310,053-810-6732,경상북도 경산시 농업기술센터,2019-09-10,5130000,경상북도 경산시
안동시농업기술센터 농기계 임대사업소,054-840-5674,경상북도 안동시 경동로 1462-28,경상북도 안동시 송천동 1319-68,36.538284,128.801832,53,24,29,42,18,11,0,3,74,054-840-5673,경상북도 안동시청,2019-09-06,5070000,경상북도 안동시
안동시농업기술센터 농기계 임대사업소 (서부분소),054-859-6501,경상북도 안동시 풍산태사로 948-16,경상북도 안동시 풍산읍 안교리 539-5,36.580901,128.561005,42,2,29,16,6,10,0,1,24,054-859-6501,경상북도 안동시청,2019-09-06,5070000,경상북도 안동시
안동시농업기술센터 농기계 임대사업소 (북부분소),054-859-6801,경상북도 안동시 와룡면 퇴계로 1281,경상북도 안동시 와룡면 가야리 988-2,36.653543,128.770270,48,3,24,20,6,10,0,1,21,054-859-6801,경상북도 안동시청,2019-09-06,5070000,경상북도 안동시
농업기술센터,061-430-3677,전라남도 강진군 진흥로 진흥로 85,,34.6443884,126.7877283,59,0,13,14,14,0,3,0,72,061-430-3677,강진군농기계임대사업장,2019-09-09,4920000,전라남도 강진군
합천군농기계대여은행,055-930-3666,경상남도 합천군 용주면 고품부흥1길 7,경상남도 합천군 용주면 고품리 910-305,35.5521022708,128.112419524,41,36,20,39,45,44,0,4,571,055-930-3666,합천군,2019-09-06,6480000,경상남도
농기계임대사업소,055-940-8218,경상남도 거창군 거함대로3322,경상남도 거창군 대평리1359-19,,,46,39,77,27,23,0,5,0,164,055-940-8211,거창군농업기술센터,2019-09-06,6480000,경상남도
남부권,055-960-5570,경상남도 함양군 휴천면 천왕봉로 2426,경상남도 함양군 휴천면 남호리 370-4,35.438406,127.765339,15,10,13,7,5,0,0,0,22,055-960-5295,농업기술센터,2019-09-06,6480000,경상남도
북부권,055-960-5297,경상남도 함양군 안의면 거함대로 1712,경상남도 함양군 안의면 교북리 37,35.634185,127.815219,29,10,13,8,5,0,0,0,44,055-960-5295,농업기술센터,2019-09-06,6480000,경상남도
횡성군농기계임대사업소 서부지소,033-340-5529,강원도 횡성군 서원면 서원로 454,강원도 횡성군 서원면 압곡리271,37.4892254834,127.881384297,21,9,15,4,13,1,2,0,24,033-340-5532,강원도 횡성군농업기술센터,2019-06-13,4260000,강원도 횡성군
영동군농업기술센터(본소),043-740-5552,충청북도 영동군 영동읍 학산영동로 1065,충청북도 영동군 영동읍 부용리 610,36.1634962,127.7503925,114,17,72,26,31,2,6,6,"농용굴삭기(8)+동력분무기(4)+동력비료살포기(3)+동력운반차(14)+잔가지파쇄기(10)+목재파쇄기(1)+제초기(승용,보행)(27)+콩예취기(5)+퇴비살포기(보행,승용)(10)+파이프밴딩성형기(4)+SS기(9)+감박피기(7)+동력배토기(2)+인삼이식기(5)+인삼탈피기(1)+지주목설치기(5)+휴대용자동전동가위(14)+비닐피복기(인력)(2)+파종기(인력)(17)+사료작물수확기(1)+지게차(2)+계분건조기(1)+과실수확기(1)+풍구(2)+농용로더(1)+기타(1)",043-740-5551,충청북도 영동군,2018-02-23,4440000,충청북도 영동군
영동군농업기술센터(남부지소),043-740-5556,충청북도 영동군 매곡면 민주지산로 3894,충청북도 영동군 매곡면 노천리 379-1,36.2157715,127.9182609,32,2,28,3,5,0,1,0,"농용굴삭기(6)+동력분무기(3)+동력비료살포기(2)+동력운반차(3)+잔가지파쇄기(4)+제초기(승용,보행)(6)+콩예취기(2)+퇴비살포기(보행,승용)(3)+파이프밴딩성형기(1)+SS기(2)+지주목설치기(2)+휴대용자동전동가위(4)+파종기(인력)(5)+탈망기(1)+비닐피복기(인력)(1)+지게차(1)+기타(2)",043-740-5551,충청북도 영동군,2018-02-23,4440000,충청북도 영동군
