재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
대영기업,위탁,울산광역시 남구 여천로 174,울산광역시 남구 여천동 1460,35.5259549,129.352975,2288.29,2091-12,13,"합성수지, 파지, 고철외",대영기업,052-260-9944,김영효,08:00,17:30,08:00,17:30,매주일요일,,,052-241-7812,울산광역시 북구청,2019-09-18,6310000,울산광역시
울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,울산광역시 울주군 온산읍 화산리 산 176-5,35.4194608,129.3287862,1432,2094-04,1,"폐합성수지, 종이류, 플라스틱, 고철, 캔류 등",울산광역시 울주군청,052-204-2153,울주군수,09:00,18:00,00:00,00:00,"매주토요일,일요일 및 법정공휴일",,,052-204-2153,울산광역시 울주군청,2019-09-18,6310000,울산광역시
중랑구재활용센터,위탁,서울특별시 중랑구 면목로 377,서울특별시 중랑구 면목본동 504-5,37.5856701,127.0881513,916.72,2095-09,3,"가전제품, 가구",중랑구 재활용센터㈜,02-435-7272,이진기,09:00,19:00,09:00,19:00,일요일,가전제품 구매 시 6개월까지 무료서비스,http://www.jj7272.com,02-2094-1947,중랑구청,2019-09-18,3060000,서울특별시 중랑구
영등포구 재활용센터 제2관,위탁,서울특별시 영등포구 대방천로 207,서울특별시 영등포구 신길동 3937-10,37.498725,126.913851,470,1998-04,1,"가전, 가구류 등",(사)한국자원재생재활용연합회,02-836-7289,이재구,09:00,19:00,09:00,18:00,"연중무휴(설, 추석 제외)","가전제품 6개월 무상 A/S (단, 소비자 사용 부주의시 제외)",http://zungo.co.kr/d_sub_frame.php,02-2670-3486,영등포구청 청소과,2019-05-02,3180000,서울특별시 영등포구
영등포구 재활용센터 제1관,위탁,서울특별시 영등포구 당산로 29길 9,서울특별시 영등포구 당산동 3가 447,37.525939,126.893968,707.3,1995-09,3,"가전, 가구류 등",(사)한국자원재생재활용연합회,02-2675-7289,이재구,09:00,19:00,09:00,18:00,"연중무휴(설, 추석 제외)","가전제품 6개월 무상 A/S (단, 소비자 사용 부주의시 제외)",http://www.jgmarket.co.kr/shop/main/index.php,02-2670-3486,영등포구청 청소과,2019-05-02,3180000,서울특별시 영등포구
금천구재활용센터,위탁,서울특별시 금천구 시흥대로 182,서울특별시 금천구 시흥동 903-5,37.45017338,126.90277280,661,1996-01,2,"가전제품류, 가구류, 의류, 도서 등",㈜시흥가구백화점,02-802-7282,권지섭,09:00,21:00,09:00,21:00,,,,02-2627-1482,서울시 금천구청,2019-08-30,3170000,서울특별시 금천구
독산동재활용센터,위탁,서울특별시 금천구 독산로 303,서울특별시 금천구 독산동 990-2,37.47373910,126.90308040,413,1999-12,2,"가전제품류, 가구류, 의류, 도서 등",금천구 재활용 센터,02-863-7282,유명종,09:00,19:00,09:00,17:00,,,www.jungo7282.co.kr,02-2627-1482,서울시 금천구청,2019-08-30,3170000,서울특별시 금천구
평택시서부재활용센터,위탁,경기도 평택시 안중읍 서동대로 1731-3,경기도 평택시 안중읍 안중리 172-1,36.9920648098,126.9401848499,184.86,1999-12,1,"가전제품, 가구류 등",서부재활용센터,031-681-2707,황규호,09:00,18:00,00:00,00:00,,판매일로부터 6개월이내 무상 수리,X,031-8024-3767,경기도 평택시청,2020-07-02,3910000,경기도 평택시
성남시 재활용선별장,위탁,경기도 성남시 분당구 탄천로 247,경기도 성남시 분당구 야탑동 404,37.4138929,127.1183866,11049,1998-04,5,"파지,공병,파병,고철,폐비닐,플라스틱,스티로폼,헌옷 등","엠엔테크㈜, ㈜에스지자원개발",031-707-6470,오명석,08:00,17:00,00:00,00:00,"매주 일요일, 공휴일",,,031-729-3202,경기도 성남시청,2020-07-01,3780000,경기도 성남시
광주광역시 서구 재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),광주광역시 서구 세하동 765,35.1215100507,126.8264282116,1680,1999-01,6,"스티로폼,플라스틱,캔 외 재활용가능자원",㈜희망자원,062-374-9446,정향자,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-360-7667,광주광역시 서구청,2020-07-08,6290000,광주광역시
광주광역시 북구 재활용선별장,위탁,광주광역시 북구 삼소로 205(대촌동),광주광역시 북구 대촌동 753-1,35.2372334937,126.8569255607,324,2020-11,0,"스티로폼,잡병 등 재활용가능자원",성우환경㈜,062-572-1336,최봉주,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-410-6521,광주광역시 북구청,2020-07-08,6290000,광주광역시
광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.1150483773,126.936147,410,2020-02,1,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 동구청,062-608-2522,김성환,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-608-2522,광주광역시 동구청,2020-07-08,6290000,광주광역시
춘천시 도시형종합폐기물처리시설 재활용선별센터,위탁,강원도 춘천시 신동면 한치로 681-1,강원도 춘천시 신동면 혈동리 548-7,37.7995132770,127.6836076987,3245.09,2012-01,3,"재활용품 (종이류, 플라스틱류, 스티로폼류, 캔류, 고철류 등)",한라산업개발주식회사,033-262-0216,최영수,08:30,17:30,08:30,17:30,"공휴일 및 토,일요일",,,033-245-5229,강원도 춘천시청,2020-07-08,4180000,강원도 춘천시
서산시 재활용 센터(녹색가게),위탁,"충청남도 서산시 시장1로 4-4, 2층","충청남도 서산시 동문동 903-6, 2층",36.7817632309,126.4552852263,249.38,2016-03,1,"중고 의류, 재활용 장난감, 도서, 잡화 등",서산 YMCA,041-664-0848,조문상,10:00,16:00,00:00,00:00,"토요일, 일요일",선택,선택,041-660-2338,충청남도 서산시청,2020-06-22,4530000,충청남도 서산시
강릉시자원순환센터,직영,강원도 강릉시 강동면 임곡로 557-13,강원도 강릉시 강동면 임곡리 산25,37.6926679659,128.9879446729,2085.45,2007-06,3,"페트병,고철,공병,프라스틱,폐지,알루미늄캔,파병,잡병",강원도 강릉시,033-660-3391,강릉시장,08:00,17:00,00:00,00:00,"일,공휴일",해당없음,해당없음,033-660-3391,강원도 강릉시청,2020-07-03,4200000,강원도 강릉시
충주시클린센터,직영,"충청북도 충주시 낙수당1길 41(칠금동, 클린센터)",충청북도 충주시 칠금동 420-3,36.98235533,127.9016585,100,2005-08,6,"세탁기, 냉장고, 가구 등",충주시,043-850-6991,서병열,09:00,18:00,00:00,00:00,"매주 일요일, 공휴일",,,043-850-6922,충청북도 충주시청,2020-06-30,4390000,충청북도 충주시
관악구 재활용센터(봉천점),위탁,서울특별시 관악구 남부순환로 1663,서울특별시 관악구 봉천동 959-3,37.4851166,126.9355290662,718.6,2017-06,2,가전제품+가구,관악구 지정 재활용센터(봉천점),02-883-0858,이재호,09:00,19:00,09:00,18:00,"명절연휴,일요일",가전제품 6개월,www.remarketg.co.kr,02-879-6224,서울특별시 관악구청,2020-06-03,3200000,서울특별시 관악구
관악구 재활용센터(신림점),위탁,서울특별시 관악구 남부순환로 1494,서울특별시 관악구 신림동 1570-2,37.4819024474,126.9165961807,729.98,2018-01,2,가전제품+가구,관악구 지정 재활용센터(신림점),02-842-8425,표택은,09:00,19:30,09:00,18:00,"명절연휴,일요일","소형가전 3개월, 대형가전6개월",www.recy.co.kr,02-879-6224,서울특별시 관악구청,2020-06-03,3200000,서울특별시 관악구
관악구 재활용센터(신림2점),위탁,서울특별시 관악구 신림로 202,서울특별시 관악구 신림동 96-48,37.4754207526,126.9372603462,261.52,2001-01,1,가전제품+가구,관악구 지정 재활용센터(신림2점),02-877-1140,김태훈,10:00,21:00,10:00,18:00,"명절연휴,일요일","소형가전 1개월, 대형가전3개월",www.addnara.com,02-877-1140,서울특별시 관악구청,2020-06-03,3200000,서울특별시 관악구
해운대구자원재활용센터,직영,부산광역시 해운대구 석대천로118(반여동),부산광역시 해운대구 반여동 1502-77,35.21765981,129.1375089,6632,2098-12,2,"플라스틱,페트류,스티로폼,요구르트,등",해운대구청,051-749-5725,홍순헌,09:00,18:00,00:00,00:00,"토,일,공휴일",없음,없음,051-749-4452,자원순환과,2020-06-25,3330000,부산광역시 해운대구
괴산광역생활자원회수센터,직영,충청북도 괴산군 괴산읍 능촌로2길70-37,,36.8318263505,127.834142,270,2017-12,0,캔류.병류,괴산군,043-830-2773,괴산군수,09:00,16:00,00:00,00:00,공휴일,,,043-830-2773,괴산군,2020-06-29,4460000,충청북도 괴산군
영천시 그린환경센터,직영,경상북도 영천시 바깥완산길 433 (완산동),경상북도 영천시 완산동 산3-1,35.9648135072,128.9702937954,940,2014-01,3,"PET, 플라스틱, 고철, 유리병, 종이 등",영천시청,054-330-6519,최기문,09:00,18:00,18:00,18:00,"매주 토요일, 일요일, 공휴일",,,054-330-6519,경상북도 영천시청,2020-06-22,5100000,경상북도 영천시
안동시 재활용품선별장,직영,경상북도 안동시 배고개길 84,경상북도 안동시 수하동 693,36.5486570920,128.6716652186,680,2097-06,11,스티로폼+플라스틱 등 재활용 자원,안동시청,054-840-3880,안동시장,09:00,18:00,00:00,00:00,"매주 토,일요일",없음,없음,054-840-3880,경상북도 안동시청,2020-06-29,5070000,경상북도 안동시
진도군재활용선별시설,직영,전라남도 진도군 군내면 한의길 115,,34.5306959295,126.2622758903,800,2006-12,8,종이+고철+철캔+페트 등,진도군재활용선별시설,061-540-3781,진도군수,09:00,18:00,00:00,00:00,"매주토요일, 일요일, 공휴일",-,-,061-540-3781,전남 진도군청,2020-06-24,5000000,전라남도 진도군
구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,경상북도 구미시 송정동 492-7,36.114273,128.351282,626.7,1996-01,1,가전.가구,(사)한국생활자원 재활용협의회,054-455-3272,이석현,09:00,18:00,09:00,18:00,없음,판매일로부터 3개월이내 무상수리,없음,054-480-5222,경북 구미시청,2020-06-20,5080000,경상북도 구미시
구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,경상북도 구미시 송정동 492-7,36.114273,128.351282,626.7,1996-01,0,의류,(사)한국자원 재활용협의회,054-453-0435,최성열,09:00,17:30,09:00,12:30,"매주 일요일, 격주 토요일",,없음,054-480-5222,경북 구미시청,2020-06-20,5080000,경상북도 구미시
줄포환경센터,직영,전라북도 부안군 줄포면 분탕골로 215-34,전라북도 부안군 줄포면 줄포리 1034-17,35.5870742582,126.6600256566,88072,2096-03,10,"폐지,알루미늄 등",부안군청,063-580-3911,권익현,09:00,16:00,09:00,12:00,연중무휴,,,063-580-3911,전라북도 부안군청,2020-06-22,4790000,전라북도 부안군
통영시 재활용품 상설판매장,위탁,경상남도 통영시 동충1길 4(항남동),경상남도 통영시 항남동 151-54,34.83982251,128.4221417,263,2019-05,1,의류+가방+신발+재활용비누+장난감+잡화 등,통영YWCA,055-646-2548,원필숙,09:00,18:00,00:00,00:00,공휴일,,http://tyywca.or.kr,055-650-1313,경상남도 통영시청,2020-06-22,5330000,경상남도 통영시
대청면 소청 재활용 선별장,직영,인천광역시 옹진군 대청면 소청동로 159,인천광역시 옹진군 대청면 소청리 58,37.7713306294,124.7609434087,115.9,2013-10,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 대청면,032-899-3409,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
덕적면 덕적 재활용 선별장,직영,인천광역시 옹진군 덕적면 덕적남로 771번길 103,인천광역시 옹진군 덕적면 서포리 615,37.2304224525,126.1065874714,613,2007-04,6,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",인천광역시 옹진군 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2019-06-28,3580000,인천광역시 옹진군
수영종합재활용센터,위탁,부산광역시 수영구 연수로 365(수영동),,35.17085857,129.110318,132,2020-11,1,중고가전,수영종합재활용센터,051-753-4979,,09:00,19:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2020-06-20,3380000,부산광역시 수영구
수영구재활용센터,위탁,부산광역시 수영구 수영로741번길 12(수영동),,35.1684064,129.1207317,33,1998-05,1,중고가전,수영구재활용센터,051-756-0599,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2020-06-20,3380000,부산광역시 수영구
"팔도중고가전,가구마트",위탁,부산광역시 수영구 수미로 62(수영동),,35.17307547,129.117523,39,2020-11,1,가전 가구,"팔도중고가전,가구마트",051-753-3104,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2020-06-20,3380000,부산광역시 수영구
서구 재활용선별장,직영,인천광역시 서구 거월로 39,인천광역시 서구 왕길동 61-8,37.5803108920,126.6489106676,5981,1997-09,1,"무단투기 폐기물 중 재활용가능자원 및 폐건전지, 폐형광등",인천광역시 서구청,032-560-4415,이재현,09:00,18:00,00:00,00:00,"매주 토요일, 일요일, 법정공휴일",,,032-560-4415,자원순환과,2020-07-14,3560000,인천광역시 서구
공공재활용기반시설,위탁,충청남도 부여군 장암면 북고로 201,충청남도 부여군 장암면 북고리 551-1,36.2321326140,126.9163325116,1945.14,2013-05,3,"PET, PE, PP, PS, EPS인고트, 유리병, 폐지, 우유팩, 철캔 등 59종목",엠엔테크,041-837-6470,오명석,09:00,18:00,00:00,00:00,"매주토요일, 일요일, 공휴일",,,041-830-2308,충청남도 부여군청,2020-06-30,4570000,충청남도 부여군
의성군공공재활용센터,직영,경상북도 의성군 의성읍 동서1길 15-1,경상북도 의성군 의성읍 후죽리 678-8,36.34961896,128.6959101,100,2008-01,0,"도서,의류,신발 등",의성군청,054-833-0523,의성군수,09:00,18:00,24:00,24:00,"토,일,휴일",,,054-830-6517,환경과,2020-06-30,5150000,경상북도 의성군
영광군환경관리센터,위탁,전라남도 영광군 홍농읍 홍농로8길 214,,35.4266508625,126.4320988917,968,2006-12,1,PET 등 15개 품목,환경관리센터 주변지역 주민지원협의체,061-356-2127,최종화,09:00,18:00,00:00,00:00,"토요일, 일요일",해당 없음,,061-350-4966,전라남도 영광군청,2020-07-13,4970000,전라남도 영광군
