가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,제공정보종류,설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
전곡해양산업단지(수원방면),경기도,화성시,41590,지방,지방도322호선,322,1,37.18929444,126.6800389,6400,2200,642,900,6555,3 ,2 ,1 ,빨간색+노란색+녹색,1 ,3단10열,01+02+03+04,2012,경기도교통정보센터,1688-9090,2020-06-30,6410000,경기도
P2,경기도,화성시,41590,일반,동탄중앙로,-,,37.21489345,127.078973,5400,1800,,,,3 ,2 ,1 ,,1 ,9단27열,1,2008,화성시청,031-5189-6758,2020-06-30,6410000,경기도
M1,경기도,화성시,41590,일반,동탄중앙로,-,,37.21476617,127.0781434,7600,5600,,,,3 ,2 ,1 ,,1 ,28단38열,1,2008,화성시청,031-5189-6758,2020-06-30,6410000,경기도
낙타고개 VMS,경기도,하남시,41450,03,천호대로,50,,37.542778,127.163888,,,,,,01,02,01,빨간색+노란색+녹색,01,10단18열,01,2013,하남시청,031-790-5832,2019-05-31,4040000,경기도 하남시
동성고입구 VMS,경기도,하남시,41450,05,서하남로,180,,37.515278,127.166667,,,,,,01,02,01,빨간색+노란색+녹색,02,2단12열,01,2013,하남시청,031-790-5832,2019-05-31,4040000,경기도 하남시
풍산오일뱅크앞 VMS,경기도,하남시,41450,02,하남대로,43,,37.547222,127.190000,,,,,,01,02,01,빨간색+노란색+녹색,02,2단12열,01,2013,하남시청,031-790-5832,2019-05-31,4040000,경기도 하남시
푸른수목원앞 VMS,경기도,하남시,41450,02,하남대로,43,,37.546944,127.191111,,,,,,01,02,01,빨간색+노란색+녹색,02,3단12열,01,2013,하남시청,031-790-5832,2019-05-31,4040000,경기도 하남시
천현삼거리전방 VMS,경기도,하남시,41450,05,창우로,189,,37.525000,127.221667,,,,,,01,02,01,빨간색+노란색+녹색,01,10단18열,01,2013,하남시청,031-790-5832,2019-05-31,4040000,경기도 하남시
산본고가도로하부,경기도,군포시,41410,05,군포로,,01,37.376747,126.940816,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
산본2동주민센터,경기도,군포시,41410,05,고산로,,01,37.369879,126.932783,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
산본IC,경기도,군포시,41410,05,산본로,,02,37.371892,126.927130,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
금정고가도로,경기도,군포시,41410,05,흥안도로,,01,37.366984,126.949403,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
안양CC,경기도,군포시,41410,05,군포로,,02,37.338638,126.937385,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
대야미입구,경기도,군포시,41410,05,번영로,,01,37.323743,126.917995,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
당리주유소,경기도,군포시,41410,05,군포로,,02,37.341398,126.937942,7800,1600,640,940,9400,01,02,01,빨간색+노란색+녹색,02,2단10열,01,2018,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
도장터널,경기도,군포시,41410,05,번영로,,01,37.339157,126.924488,5800,3400,640,940,9400,01,02,01,빨간색+노란색+녹색,01,10단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
산본고가입구,경기도,군포시,41410,05,고산로,,01,37.372689,126.936690,5800,3400,640,940,9400,01,02,01,빨간색+노란색+녹색,01,10단10열,01,2011,군포시청,031-390-0844,2019-05-24,4020000,경기도 군포시
주추 VMS(대전),세종특별자치시,없음,56900,02,국도,1호,02,36.521270,127.244850,6000,1200,6100,1300,10000,02,02,01,적+황+녹,02,2단10열,01+02,2012,세종시청 도로과,044-300-5144,2019-04-18,5690000,세종특별자치시
정왕2동(시화MTV2),경기도,시흥시,41390,5 ,엠티브이27로,,,37.321282,126.711795,,,,,,2 ,2 ,1 ,,2 ,3단15열,01+02+03,2017,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
성결교회앞,경기도,시흥시,41390,5 ,목감우회로,,,37.381577,126.860035,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2017,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
수질복원센터,경기도,시흥시,41390,4 ,동서로,,,37.377979,126.848544,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2017,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
롯데마트,경기도,시흥시,41390,5 ,배곧3로,,,37.369537,126.731321,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2017,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
등나무산장,울산광역시,울주군,31710,기타,등억알프스로,-,,35.5615147,129.0625369,3200,640,3400,840,2500,2 ,2 ,1 ,빨간색+노란색+녹색,1 ,2단22열,3,2016,울주군청,052-204-0462,2020-01-07,6310000,울산광역시
보성군 재해문자전광판,전라남도,보성군,46780,지방,지방도845호선,지방도845호선,1,34.6697813,127.0862292,5,3.5,5,3.5,10,1 ,2 ,2 ,,2 ,3단 12열,3,2015,전라남도_보성군,061-850-5563,2020-08-19,4890000,전라남도 보성군
재해문자전광판,강원도,원주시,42130,기타,서원대로,0,,37.344482,127.927704,4800,3840,5060,4100,10000,1 ,2 ,1 ,full led,1 ,4단5열,01+02+03+04,2020,원주시청 안전총괄과,033-737-3682,2020-08-11,4190000,강원도 원주시
재해문자전광판,강원도,원주시,42130,기타,서원대로,0,,37.332053,127.947433,4800,3840,5060,4100,10000,1 ,2 ,1 ,full led,1 ,4단5열,01+02+03+04,2020,원주시청 안전총괄과,033-737-3682,2020-08-11,4190000,강원도 원주시
재해문자전광판,강원도,원주시,42130,기타,소금산길,0,,37.366177,127.830961,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,1 ,2단10열,01+02+03+04,2009,원주시청 안전총괄과,033-737-3682,2020-08-11,4190000,강원도 원주시
재해문자전광판,강원도,원주시,42130,기타,치악로,0,,37.347313,127.954746,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,1 ,2단10열,01+02+03+04,2009,원주시청 안전총괄과,033-737-3682,2020-08-11,4190000,강원도 원주시
마하민물고기생태관앞,강원도,평창군,42760,군도,마하길,5,,37.291927,128.542683,3200,640,3650,1350,3000,3 ,2 ,1 ,빨간+녹색_노랑,1 ,2단10열,03+04,2008,평창군청,033-330-2457,2020-08-11,4280000,강원도 평창군
봉평흥정마을앞,강원도,평창군,42760,기타,흥정계곡길,201,,37.632446,128.350623,3200,640,3650,1350,3000,3 ,2 ,1 ,빨간+녹색_노랑,1 ,2단10열/2단4열,03+04,2014,평창군청,033-330-2457,2020-08-11,4280000,강원도 평창군
평창읍 바위공원,강원도,평창군,42760,기타,바위공원길,1,,37.372897,128.410529,3000,600,3500,1350,3000,3 ,1 ,1 ,빨간+녹색_노랑,1 ,2단10열/1단8열,03+04,2020,평창군청,033-330-2457,2020-08-11,4280000,강원도 평창군
방림면 방림교,강원도,평창군,42760,군도,뇌운계곡로,3,,37.427549,128.386223,3000,600,3500,1350,3000,3 ,1 ,1 ,빨간+녹색_노랑,1 ,2단10열/1단8열,03+04,2020,평창군청,033-330-2457,2020-08-11,4280000,강원도 평창군
대기오염전광판,경기도,광명시,41210,시도,오리로,없음,,37.476700,126.863700,,,,,,03,01,01,,01,14단18열,03+04,2013,광명시청,02-2680-2695,2020-07-15,3900000,경기도 광명시
대기오염전광판,경기도,광명시,41210,시도,광명로,없음,,37.474200,126.851800,,,,,,03,01,01,,01,14단18열,03+04,2017,광명시청,02-2680-2695,2020-07-15,3900000,경기도 광명시
대기오염전광판,경기도,광명시,41210,시도,금하로,없음,,37.451300,126.890900,,,,,,03,01,01,,01,14단18열,03+04,2017,광명시청,02-2680-2695,2020-07-15,3900000,경기도 광명시
대기오염전광판,경기도,광명시,41210,시도,일직로,없음,,37.423600,126.881900,,,,,,03,01,01,,01,14단18열,03+04,2017,광명시청,02-2680-2695,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,광명로,없음,01,37.450000,126.844853,6000,1200,6000,9000,9000,03,02,01,빨간색+노란색+녹색,01,2단10열,01,2007,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,범안로,없음,01,37.446413,126.860253,6000,1200,6000,9000,9000,03,02,01,빨간색+노란색+녹색,01,2단10열,01,2007,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,오리로,없음,01,37.424401,126.881458,6000,1200,6000,9000,9000,03,02,01,빨간색+노란색+녹색,01,2단10열,01,2007,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,오리로,없음,01,37.446100,126.880800,2800,2500,6200,9000,9000,03,02,01,빨간색+노란색+녹색,02,4단5열,01,2009,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,하안로,없음,01,37.442740,126.896000,2800,2500,6200,9000,9000,03,02,01,빨간색+노란색+녹색,02,4단5열,01,2009,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,안양천로,없음,01,37.488707,126.869490,2600,2200,6000,9000,9000,03,02,01,빨간색+노란색+녹색,02,5단6열,01,2011,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
교통정보전광판,경기도,광명시,41210,시도,오리로,없음,01,37.475948,126.864149,2600,2200,6000,9000,12000,03,02,01,빨간색+노란색+녹색,02,5단6열,01,2011,광명시청,02-2680-6513,2020-07-15,3900000,경기도 광명시
망포역사거리,경기도,수원시,41110,일반,덕영대로,42번,1,37.245811,127.055247,900,1800,1300,2300,5700,3 ,2 ,1 ,빨간색+노랑색+녹색,1 ,2단10열,01+02,2008,수원시 도시안전통합센터,031-228-3347,2020-07-17,3740000,경기도 수원시
법원지하차도(법원방향),경기도,수원시,41110,일반,광교중앙로,43번,1,37.280693,127.052366,900,1800,1300,2300,5700,3 ,2 ,1 ,빨간색+노랑색+녹색,1 ,2단10열,01+02,2012,수원시 도시안전통합센터,031-228-3347,2020-07-17,3740000,경기도 수원시
경기대후문사거리,경기도,수원시,41110,일반,창룡대로,43번,1,37.296973,127.039637,900,1800,1300,2300,5700,3 ,2 ,1 ,빨간색+노랑색+녹색,1 ,2단10열,01+02,2008,수원시 도시안전통합센터,031-228-3347,2020-07-17,3740000,경기도 수원시
동수원한방병원앞,경기도,수원시,41110,일반,중부대로,42번,1,37.277162,127.036189,900,1800,1300,2300,5700,3 ,2 ,1 ,빨간색+노랑색+녹색,1 ,2단10열,01+02,2008,수원시 도시안전통합센터,031-228-3347,2020-07-17,3740000,경기도 수원시
청소년문화센터앞,경기도,수원시,41110,일반,권광로,1번,1,37.273164,127.036222,900,1800,1300,2300,5700,3 ,2 ,1 ,빨간색+노랑색+녹색,1 ,2단10열,01+02,2008,수원시 도시안전통합센터,031-228-3347,2020-07-17,3740000,경기도 수원시
Neoce가구 맞은편 VMS,경기도,하남시,41450,시도,미사대로,176,,37.554722,127.209722,,,,,,1 ,2 ,1 ,빨간색+노란색+녹색,2 ,2단12열,1,2013,하남시청,031-790-5832,2020-06-30,6410000,경기도
모아엘가2차,경기도,김포시,41570,5 ,한강3로,,,37.63720456,126.6296615,,,,,,3 ,2 ,1 ,,2 ,2단12열,01+02,2017,김포시청,031-980-5922,2020-04-06,4090000,경기도 김포시
,충청북도,충주시,43130,5 ,예성로,,,36.972138,127.933191,,,,,,3 ,2 ,1 ,,1 ,2단10열,01+04,2017,충주시청,043-850-6331,2020-05-08,4390000,충청북도 충주시
,충청북도,충주시,43130,5 ,예성로,,,36.969776,127.933471,,,,,,3 ,2 ,1 ,,1 ,2단10열,01+04,2017,충주시청,043-850-6331,2020-05-08,4390000,충청북도 충주시
파주문화웨딩홀,경기도,파주시,41480,99,금릉역로,,01,37.750400,126.766500,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금릉역(동영상),경기도,파주시,41480,99,쇠재로,,01,37.748800,126.767700,,,,,,01,01,01,칼라,01,16단 24열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
월롱교차로,경기도,파주시,41480,05,엘지로,3,01,37.804600,126.785400,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금승사거리 전방(자유로방면),경기도,파주시,41480,04,엘지로,363,01,37.827200,126.738000,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
성동사거리1(금촌방면),경기도,파주시,41480,04,평화로,360,01,37.786700,126.688500,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
성동사거리2(자유로방면),경기도,파주시,41480,04,평화로,360,01,37.786700,126.688500,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금촌신사거리,경기도,파주시,41480,99,새꽃로,,01,37.769900,126.787000,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 12열,01+02,2010,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
오이도,경기도,시흥시,41390,4 ,오이도로,,,37.348340,126.688747,,,,,,2 ,2 ,1 ,,2 ,2단10열,3,2010,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
신천사거리,경기도,시흥시,41390,2 ,수인로,,,37.439120,126.788333,,,,,,3 ,2 ,1 ,,2 ,3단20열,3,2017,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
배곧1,경기도,시흥시,41390,4 ,해송십리로,,,37.3745723,126.721523,,,,,,2 ,2 ,1 ,,2 ,2단10열,3,2017,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
배곧2,경기도,시흥시,41390,4 ,해송십리로,,,37.3657114,126.7124898,,,,,,2 ,2 ,1 ,,2 ,2단10열,3,2017,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
배곧3,경기도,시흥시,41390,4 ,서울대학로,,,37.369772,126.724355,,,,,,3 ,2 ,1 ,,2 ,14단23열,03+04,2018,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
이마트사거리,경기도,시흥시,41390,4 ,정왕대로,,,37.346652,126.736810,,,,,,3 ,1 ,1 ,,2 ,14단23열,03+04,2017,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
목감,경기도,시흥시,41390,4 ,동서로,,,37.378358,126.849908,,,,,,3 ,2 ,1 ,,2 ,14단23열,03+04,2018,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
대야,경기도,시흥시,41390,4 ,복지로,,,37.447663,126.791859,,,,,,3 ,2 ,1 ,,2 ,12단16열,03+04,2019,시흥시청(시민안전과),031-310-2459,2020-06-02,4010000,경기도 시흥시
시흥IC,경기도,시흥시,41390,2 ,서해안로,,,37.452591,126.795737,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
신천주유소,경기도,시흥시,41390,2 ,수인로,,,37.444015,126.776135,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
세경판넬,경기도,시흥시,41390,2 ,수인로,,,37.436384,126.806101,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
까치주유소,경기도,시흥시,41390,4 ,서해안로,,,37.435889,126.774139,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
영원중공업,경기도,시흥시,41390,2 ,시흥대로,,,37.412756,126.788623,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
시흥시민교회,경기도,시흥시,41390,2 ,시흥대로,,,37.426551,126.790683,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
소래대교,경기도,시흥시,41390,2 ,소래로,,,37.395105,126.742382,,,,,,2 ,2 ,1 ,,1 ,5단6열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
방산대교,경기도,시흥시,41390,4 ,서해안로,,,37.397253,126.749356,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
동원APT,경기도,시흥시,41390,2 ,서해안로,,,37.367449,126.733521,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
연성2교,경기도,시흥시,41390,4 ,동서로,,,37.383973,126.789117,,,,,,2 ,2 ,1 ,,1 ,5단6열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
소래버섯나라,경기도,시흥시,41390,4 ,동서로,,,37.382455,126.778624,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
군자동주유소,경기도,시흥시,41390,2 ,시흥대로,,,37.359417,126.806004,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
물왕저수지,경기도,시흥시,41390,4 ,동서로,,,37.385019,126.834458,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
시흥관광호텔,경기도,시흥시,41390,5 ,정왕대로,,,37.338367,126.750558,,,,,,2 ,2 ,1 ,,2 ,3단15열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
동원APT,경기도,시흥시,41390,2 ,서해안로,,,37.368080,126.733294,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2010,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
정왕2동(시화MTV1),경기도,시흥시,41390,5 ,엠티브이25로,,,37.327494,126.701806,,,,,,2 ,2 ,1 ,,2 ,2단10열,01+02+03,2017,시흥시청(교통행정과),031-310-3474,2020-06-02,4010000,경기도 시흥시
장월평천고(358),경기도,파주시,41480,04,동서대로,358,01,37.690884,126.685495,,,,,,01,01,01,빨간색+노란색+녹색,02,3단 15열,01+02,2011,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
탑골지하차도(358),경기도,파주시,41480,04,동서대로,358,01,37.706912,126.726265,,,,,,01,01,01,빨간색+노란색+녹색,02,3단 15열,01+02,2011,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
문발IC (동영상),경기도,파주시,41480,99,파주로,56,01,37.724461,126.696761,,,,,,01,01,01,칼라,01,16단 24열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
문발IC 전방,경기도,파주시,41480,99,파주로,56,02,37.724768,126.696374,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금촌사거리 전방,경기도,파주시,41480,04,평화로,360,01,37.769171,126.763580,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금촌사거리 후방,경기도,파주시,41480,04,평화로,360,02,37.769663,126.763709,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
와동교차로,경기도,파주시,41480,04,경의로,359,01,37.737564,126.756778,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금승사거리 후방,경기도,파주시,41480,04,엘지로,363,01,37.826396,126.737916,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
교하교,경기도,파주시,41480,04,경의로,359,01,37.761283,126.763086,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
금촌 신 사거리 후방,경기도,파주시,41480,99,새꽃로,,01,37.770461,126.789029,,,,,,01,01,01,빨간색+노란색+녹색,02,2단 10열,01+02,2014,파주시청,031-940-5255,2019-09-06,4060000,경기도 파주시
