마을기업명,마을기업구분,법인명,법인형태구분,소재지도로명주소,소재지지번주소,위도,경도,마을기업설립년월,마을기업인증년월,마을기업대표자명,마을기업대표전화번호,마을기업홈페이지,마을기업회원수,마을기업목적사업,마을기업주요상품,상품관련인증정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
(주)태양광솔루션,2차년도,(주)태양광솔루션,주식회사,"충청북도 충주시 용탄농공1길 35, 1호",충청북도 충주시 용탄동 168-10,37.02162703,127.9586368,,2010-11,이은대,000-000-0000,,,태양광 발전 및 관리사업,"태양광 가로등, 교통안전시설 등",,043-220-2564,충북도청,2020-01-31,6430000,충청북도
(주)조천리마을기업,2차년도,(주)조천리마을기업,주식회사,충청북도 충주시 앙성면 남한강변길 146,충청북도 충주시 앙성면 조천리 295-1,37.11069069,127.8095695,,2012-06,박정숙,000-000-0000,,,자전거쉼터 제공 및 매점운영,식품 및 잡화,,043-220-2564,충북도청,2020-01-31,6430000,충청북도
농업회사법인㈜소백산자락길,자립형,농업회사법인 ㈜소백산자락길,주식회사,경상북도 영주시 단산면 영단로 530-15,경상북도 영주시 단산면 좌석리 89-2,36.9828961,128.5852548,2013-05,2013-05,박철서,054-634-5445,,47,"유기농산물 재배단지조성, 자락길 안내 및 여행자숙소 운영, 유기농산물 생산 및 가공품 판매","국내여행업, 임산물",,054-639-6144,경상북도 영주시청,2019-01-01,5090000,경상북도 영주시
협동조합 꿈꾸는문화놀이터 뜻,자립형,협동조합 꿈꾸는문화놀이터 뜻,협동조합,"인천광역시 남동구 인주대로888번길 36, 3층",인천광역시 남동구 만수동 1076-12,37.4466715,126.7349004,2013-04,2013-05,정윤호,032-468-5432,,8,서비스업,행사,,032-453-2495,인천광역시광역시 남동구청,2019-08-31,3530000,인천광역시 남동구
㈜자연과식물원예연구소,자립형,㈜자연과식물원예연구소,주식회사,인천광역시 남동구 비류대로714,인천광역시 남동구 남촌동 211-18,37.4219031716,126.7141538677,2014-01,2013-05,이순자,032-446-5041,,5,서비스업,제조업.도소매,,032-453-2495,인천광역시광역시 남동구청,2019-08-31,3530000,인천광역시 남동구
성동영농조합법인,자립형,성동영농조합법인,영농조합,대구광역시 수성구 성동로 165,,,,,2011-04,정재영,000-000-0000,,,과즙 제작 및 판매,농산물,,053-666-4321,대구광역시 수성구,2019-06-28,6270000,대구광역시
시우리생태영농조합,자립형,시우리생태영농조합,영농조합,경기도 남양주시 조안면 고래산로 413-24,경기도 남양주시 조안면 시우리 224,37.58724899,127.2942216,2013-11,2015-01,신영수,031-590-8908,http://siwuri.com/,10,"친환경 농산물 생산판매, 농촌체험 프로그램 운영","감자 , 절임배추등 친환경 농산물, 반디체험",,031-590-8908,경기도 남양주시청,2020-07-01,3990000,경기도 남양주시
보현골옛날손맛유과,자립형,보현골옛날손맛유과,재단법인,경상북도 영천시 자양면 별빛로 1175-33,경상북도 영천시 자양면 보현리 709,36.1342473,129.045616,2010-10,2010-11,구신숙,054-336-8448,,12,유과 제조·판매,"한과, 조청",,054-330-6712,경상북도 영천시청,2020-06-29,5100000,경상북도 영천시
늘품협동조합,자립형,늘품협동조합,협동조합,부산광역시 서구 천마산로 342,부산광역시 서구 초장동 38-20,35.0960884,129.017412,2019-07,2019-07,서정숙,070-8917-1503,www.cheonmasan-ecohouse.co.kr/,11,숙박업 및 체험교실 운영,숙박,,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
잇다,신규,잇다,주식회사,부산광역시 서구 해돋이로 183번길 17-4,부산광역시 서구 초장동 131-50,35.0935895,129.0173077,2019-09,2019-03,김지영,051-231-9067,www.instagram.com/cafe_ordaga/,13,카페 운영,"커피, 브런치",,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
형제마을영농조합법인,기타,형제마을영농조합법인,영농조합,충청남도 예산군 대흥면 의좋은형제길 51,충청남도 예산군 대흥면 동서리 316,36.6065164777,126.7872721282,2009-09,2010-05,정종열,041-333-3999,,12,전통식품,전통식품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
꿈이익는영농조합법인,기타,꿈이익는영농조합법인,영농조합,충청남도 예산군 광시면 광시동로 136,충청남도 예산군 광시면 시목리 330,36.5527425345,126.7867941159,2008-08,2012-03,이상진,000-000-0000,,12,일반식품,일반식품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
협동조합느린손,기타,협동조합느린손,협동조합,충청남도 예산군 대흥면 의좋은형제길 17,충청남도 예산군 대흥면 동서리 84-8,36.6068431418,126.7905796754,2013-09,2013-09,박경신,041-333-3009,,13,공예품,공예품,,041-339-7283,예산군청,2019-09-26,4610000,충청남도 예산군
아라작목반(오디건강 체험마을),자립형,아라작목반(오디건강 체험마을),영농조합,충청남도 부여군 내산면 산저로 40-4,,,,,2010-10,김동수,041-830-2264,,,"재래식 오디주, 잼, 주스 판매 및 체험",오디,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
정동영농 조합법인,자립형,정동영농조합법인,영농조합,충청남도 부여군 부여읍 정동로 130,,,,,2018-04,박근수김영범,041-830-2264,,,"전통장, 두부 제조·판매","전통장, 두부",,041-635-2216,충남도청,2019-06-30,6440000,충청남도
양송이마을 영농조합,자립형,양송이마을영농조합법인,영농조합,충청남도 부여군 석성면 금백로 425,,,,,2017-07,정민호,041-830-2264,,,양송이 농어촌 체험휴양마을 카페 활성화,카페운영,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
비랭이마을 영농조합법인,자립형,비랭이마을 영농조합법인,영농조합,충청남도 부여군 석성면 비당로 265번길 27-1,,,,,2018-04,이재선,041-830-2264,,,전통주 제조·판매,전통주,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
마루골 영농조합,자립형,마루골 영농조합,영농조합,충청남도 부여군 양화면 양화서로 747,,,,,2014-05,이종현,041-830-2264,,,"여주, 돼지감자 환, 차 등 건강가공 식품 판매",밤,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
다정행복㈜,자립형,다정행복주식회사,주식회사,부산광역시 부산진구 서전로58번길 79(전포동),,,,,2011-08,이재팔,051-803-8892,,,"음식물제조 판매업, 축산물 가공 판매업, 음식물 포장업","생삼겹살, 목살, 돼지갈비 등",,051-605-4346,부산광역시 부산진구청,2019-08-23,3290000,부산광역시 부산진구
㈜맑은마을,자립형,㈜맑은마을,주식회사,"부산광역시 부산진구 백양관문로 104-1, 상가동 5층9호(당감동, 국제백양아파트)",,,,,2012-03,길희준,051-892-5002,,,"조문 접객용 식기대여사업, 취약계층을 위한 일자리알선사업, 장례용품판매 및 장례용역에 관한 사업, 장애인 직업인식 및 교육사업, 지역사회참여 및 사회환원사업, 농산물 도소매업, 건강보조식품판매업","조문 접객용 식기대여사업, 농산물 도소매업, 건강보조식품판매업",,051-605-4346,부산광역시 부산진구청,2019-08-23,3290000,부산광역시 부산진구
㈜청년진구,자립형,㈜청년진구,주식회사,"부산광역시 부산진구 진남로 373번길 16,  402호 (전포동,신동원빌라)",,,,,2018-07,이동규,070-8888-0418,,,"공구카페거리, 인테리어","공구대여, 인테리어",,051-605-4346,부산광역시 부산진구청,2019-08-23,3290000,부산광역시 부산진구
보기공방협동조합,2차년도,보기공방협동조합,협동조합,대구광역시 동구 효동로15길 26-18,,,,2019-06,2019-06,이윤복,070-7368-8286,,6,의복제작 및 교육사업,의복,,053-662-2594,대구광역시 동구청,2019-06-28,6270000,대구광역시
책방i,자립형,동네책방협동조합,협동조합,"대구광역시 동구 안심로22길 60-21, 107호(율하동)",,,,2019-06,2019-06,문선주,053-982-0100,,24,도서판매 및 도서출판,도서,,053-662-2594,대구광역시 동구청,2019-06-28,6270000,대구광역시
금강행복마을협동조합,자립형,금강행복마을협동조합,협동조합,"대구광역시 동구 금강로235, 1층(금강동)",,,,2019-06,2019-06,한병찬,053-965-3010,,68,"카페,음식점사업 및 생태교육사업","커피,음식",,053-662-2594,대구광역시 동구청,2019-06-28,6270000,대구광역시
㈜남산밥고리,자립형,㈜남산밥고리,주식회사,대구광역시 중구 동성로12길 67,대구광역시 중구 동문동 13-37,35.871178,128.5993964530,2012-03,2011-04,심영숙,053-428-1244,,,일반식품,도시락 밑반찬,,053-661-2564,대구광역시 중구청,2019-06-28,6270000,대구광역시
㈜세월이빚은할매만두,자립형,㈜세월이빚은할매만두,주식회사,대구광역시 중구 남산로7길 102,대구광역시 중구 남산동 2483-18,35.8609518,128.5786981633,2012-03,2011-04,박영미,053-257-2562,,,일반식품,왕만두 등,,053-661-2564,대구광역시 중구청,2019-06-28,6270000,대구광역시
에코팜잉협동조합,자립형,에코팜잉,협동조합,대구광역시 중구 국채보상로 677,대구광역시 중구 동인동2가 125-1,35.869304,128.604729,2013-03,2012-03,김성수,053-000-0000,,,기타,도시텃밭상자 판매,,053-661-2564,대구광역시 중구청,2019-06-28,6270000,대구광역시
㈜에덴스푸드,자립형,㈜에덴스푸드,주식회사,서울특별시 관악구 조원중앙로2길 111,서울특별시 관악구 신림동 542-14,37.4819343518,126.9109188,2010-11,2011-03,한성진,02-858-2953,http://www.edensfood.co.kr,5,지역아동센터 급식 및 도시락 공급업체,도시락,케이터링 서비스,02-879-5755,서울특별시 관악구청,2020-05-30,3200000,서울특별시 관악구
새터애협동조합,자립형,새터애협동조합,협동조합,서울특별시 관악구 양녕로16길 14,서울특별시 관악구 봉천동 484-36,37.4902053066,126.946134,2014-01,2015-08,최은옥,02-882-9233,http://www.새터애.go.kr,5,편백베게 보 생산 및 카페 운영,편백제품,,02-879-5755,서울특별시 관악구청,2020-05-30,3200000,서울특별시 관악구
좋은친구들협동조합,자립형,좋은친구들협동조합,협동조합,서울특별시 관악구 양산길 46 (신림동),서울특별시 관악구 신림동 1694,37.47204483,126.9326508,2017-01,2017-08,김영희,02-877-7113,,57,지역특산품 직매장 운영,지역특산품,,02-879-5755,서울특별시 관악구청,2020-05-30,3200000,서울특별시 관악구
베블리협동조합,자립형,베블리협동조합,협동조합,"서울특별시 관악구 문성로31길 21, 지하",서울특별시 관악구 신림동 1635-52,37.4801543,126.9284792,2017-11,2018-06,김숙자,02-879-5755,https://smartstore.naver.com/babylovely,6,"봉제제품 제조 및 판매사업, 봉제관련 교육 사업",봉제제품,,02-879-5755,서울특별시 관악구청,2020-05-30,3200000,서울특별시 관악구
아낙네마을영농조합,자립형,아낙네마을영농조합,영농조합,경기도 남양주시 조안면 북한강로113번안길 2,경기도 남양주시 조안면 조안리 537-2,37.53971025,127.2965918,2014-04,2011-04,홍영숙,031-576-8420,cafe.daum.net/awife,6,"재래식 장류 및 친환경 먹거리 생산 판매, 체험","깻순짱아찌, 된장, 고추장, 쌈장 등",,031-590-8908,경기도 남양주시청,2020-07-01,3990000,경기도 남양주시
㈜물빛자전거세상,자립형,㈜물빛자전거세상,주식회사,경기도 남양주시 조안면 다산로 573,경기도 남양주시 조안면 능내리 135-1,37.52436125,127.2964315,2012-06,2012-03,양희문,031-576-9915,없음,13,카페/매점/자전거 수리 및 대여 사업,"자전거 대여, 수리, 매점운영(도시락)",,031-590-8908,경기도 남양주시청,2020-07-01,3990000,경기도 남양주시
송송골느림보협동조합,자립형,송송골느림보협동조합,협동조합,경기도 남양주시 조안면 한음길 4,경기도 남양주시 조안면 송촌리 663,37.56914126,127.3170381,2013-05,2014-03,김은식,031-590-8908,http://eun3616.blog.me/,23,"전통혼례 및 민속놀이 체험, 장류 생산 판매","농촌체험 프로그램(전통혼례), 된장, 쌈장, 고추장 등",,031-590-8908,경기도 남양주시청,2020-07-01,3990000,경기도 남양주시
닥밭골행복협동조합,자립형,닥밭골행복협동조합,협동조합,부산광역시 서구 보동길 278번길 15,부산광역시 서구 동대신동2가 80-1,35.1140041,129.0237622,2019-09,2019-10,김기연,070-4243-1113,,60,북카페 운영,커피,,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
(주)꽃마을플라워카페,자립형,(주)꽃마을플라워카페,주식회사,부산광역시 서구 꽃마을로 163번길 25,부산광역시 서구 서대신동3가 산18-19,35.1272107,129.0062386,2019-03,2019-03,양우영,051-231-6648,,11,꽃 전시 및 차 판매,"화분, 커피",,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
아미골협동조합,자립형,아미골협동조합,협동조합,부산광역시 서구 옥천로 173번길 42,부산광역시 서구 아미동2가 240-56,35.1005168,129.010016,2019-05,2019-05,윤지선,051-246-8899,,19,차 판매 등,커피,,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
고분도리협동조합,자립형,고분도리협동조합,협동조합,부산광역시 서구 해돋이로 416,부산광역시 서구 서대신동2가 500-46,35.1079548,129.0098156,2019-05,2019-05,이영우,051-255-0416,,44,카페 운영 및 바리스타 교육 등,커피,,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
부민하늘농원협동조합,자립형,부민하늘농원협동조합,협동조합,부산광역시 서구 임시수도기념로 22-11,부산광역시 서구 부민동3가 29-1,35.103818,129.0184745,2019-04,2019-04,구자홍,051-240-6527,,41,농산물 재배 및 꽃화분 판매,"화분, 농산물",,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
남일행복나눔협동조합,자립형,남일행복나눔협동조합,협동조합,부산광역시 서구 해돋이로 161,부산광역시 서구 남부민동 50-401,35.091741,129.0193679,2019-06,2019-06,박사홍,051-256-1007,,70,생선 직거래장터,생선,,051-240-6681,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
새희망마을,자립형,새희망마을,기타,부산광역시 부산진구 양정로 19(양정동),,,,,2011-03,전백련,051-866-9849,,,자원재활용으로 노인일자리창출,"헌옷 재활용상품화, 생활소품(차받침, 손수건 등)",,051-605-4346,부산광역시 부산진구청,2019-08-23,3290000,부산광역시 부산진구
백석폭포영농조합법인,자립형,백석폭포영농조합법인,영농조합,강원도 정선군 북평면 진드루길 39,강원도 정선군 북평면 나전리 374,37.45996145,128.6280164,2013-12,2014-05,전제천,033-562-6172,jjch6172.modoo.at,9,곤드레가공판매,곤드레,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
동강할미꽃장수영농조합법인,자립형,동강할미꽃장수영농조합법인,영농조합,강원도 정선군 정선읍 동강로 2544,강원도 정선군 정선읍 귤암리 129-8,37.34518357,128.6154055,2013-07,2013-05,서덕웅,033-563-3365,"www.idonggang,com",9,"자연산채재배 및 판매, 체험학습","고사리, 체험학습",,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
개미들농촌체험마을,자립형,낙동2리새농촌영농조합법인,영농조합,강원도 정선군 남면 광락로 354,강원도 정선군 남면 낙동리 520-2,37.31896245,128.6927474,2008-08,2013-05,최법순,070-8888-9285,ant.invil.org,28,체험프로그램운영,체험관광,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
대촌관광농원,자립형,대촌관광농원영농조합법인,영농조합,강원도 정선군 정선읍 대촌길 50,강원도 정선군 정선읍 덕우리 451-2,37.36350718,128.7152971,2012-02,2012-05,전찬우,033-000-0000,www.daechon.kr,6,로컬푸드 및 체험프로그램운영,체험관광,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
용탄2리새농촌영농조합법인,자립형,용탄2리새농촌영농조합법인,영농조합,강원도 정선군 정선읍 가내길 16,강원도 정선군 정선읍 용탄리 1035-1,37.40492309,128.5930525,2006-09,2012-07,김인배,033-563-2007,http://달뜨락시골된장.한국,39,시골된장 및 절임배추 판매,된장,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
광하1리강나루영농조합법인,자립형,광하1리강나루영농조합법인,영농조합,강원도 정선군 정선읍 군언길 190-9,강원도 정선군 정선읍 광하리 419-4,37.37541272,128.6065981,2008-06,2011-05,배용달,033-562-0955,,30,체험프로그램운영,숙박,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
백두대간약초나라,자립형,백두대간약초나라영농조합법인,영농조합,강원도 정선군 임계면 눈꽃마을길 178-30,강원도 정선군 임계면 도전리 749-3,37.50252102,128.9079251,2005-10,2010-05,안만기,033-562-1103,baekdu.invil.org,67,생약초가공판매 및 농촌체험프로그램운영,생약초가공판매,,033-560-2357,강원도 정선군청,2020-06-30,4290000,강원도 정선군
디자인칸 유한회사,자립형,디자인칸 유한회사,주식회사,전라북도 정읍시 수성택지5길 51(수성동),전라북도 정읍시 수성동 941-1,35.58191835,126.8522317,2018-07,2018-07,최영석,063-537-3241,,8,디자인개발,디자인개발,,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
해아람 영농조합법인,자립형,해아람 영농조합법인,영농조합,전라북도 정읍시 북면 용북길 551,전라북도 정읍시 북면 보림리 707-5,35.57687744,126.9199628,2018-02,2018-02,"이근희,김소연",063-533-5595,,11,곡물 가공 판매,"한과, 선식",,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
농업회사법인 유한회사 다정인,자립형,농업회사법인(유) 다정인생활의상,기타,전라북도 정읍시 이평면 조소1길 8,전라북도 정읍시 이평면 장내리 529-1,35.67038009,126.8154796985,2017-08,2017-08,김영순,063-534-1230,,11,지역자원활용 마을경제안정화,"천연염료, 생활의상",,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
대흥리 마을공동체 영농조합법인,자립형,대흥리 마을공동체 영농조합법인,영농조합,전라북도 정읍시 입암면 접지중앙길15,전라북도 정읍시 입암면 접지리 770-4,35.5257028651,126.8088566945,2016-08,2016-08,김상기,000-0000-0000,,16,농가의 안정적 수익 도모 및 일자리 창출,"들기름, 생들기름, 참기름",,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
농업회사법인 (유)다모이야기,자립형,농업회사법인 (유)다모이야기,기타,전라북도 정읍시 첨단과학로 797-2,전라북도 정읍시 쌍암동 679-3,35.51181305,126.8948897,2015-08,2015-08,김해미,000-0000-0000,,21,인성복합체험을 통한 청년 정주여건 마련,"인성복합체험, 체험컨설팅, 차시음 및 공연",,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
씩씩한콩나물 영농조합법인,자립형,씩씩한콩나물 영농조합법인,영농조합,전라북도 정읍시 칠보면 검단1길 104-1,전라북도 정읍시 칠보면 와우리 1178,35.60926049,126.9984725,2015-08,2015-08,임상호,063-535-0223,,19,"안전한 먹거리 생산, 일자리 창출",친환경 콩나물,,063-539-6842,전라북도 정읍시,2020-07-01,4690000,전라북도 정읍시
