터널명,터널종류,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,터널시작점위도,터널시작점경도,터널종료점위도,터널종료점경도,터널연장,터널폭,터널보도폭,터널높이,차로수,터널준공년도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,터널보수보강내역,터널보수보강비용,중계기종류,터널관리시스템적용여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
대관령5터널(강릉),도로터널,1종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,1179,10.6,0,7.4,2,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령4터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,705,14.7,0,8.4,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령4터널(강릉),도로터널,2종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,668,12.1,0,7.4,2,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령3터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,60,13.8,0,6,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령3터널(강릉),도로터널,2종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,60,11.7,0,6,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령2터널(인천),도로터널,1종,01,5050,,하행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,55,13.8,0,6,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령2터널(강릉),도로터널,2종,01,5050,,상행,강원도,강릉시,42150,,강원도 강릉시 왕산,00.000000,000.000000,00.000000,000.000000,55,11.7,0,6,2,2001,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
대관령1터널(인천),도로터널,1종,01,5050,,하행,강원도,평창군,42760,,강원도 평창군 대관,00.000000,000.000000,00.000000,000.000000,1800,14.8,0,9.4,3,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원무1터널(부산),도로터널,2종,01,5055,,하행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,498,10,0,6.7,2,2000,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원무2터널(춘천),도로터널,2종,01,5055,,상행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,815,10,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원무1터널(춘천),도로터널,2종,01,5055,,상행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,497,10,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
굴지터널(부산),도로터널,2종,01,5055,,하행,강원도,홍천군,42720,,강원도 홍천군 북방,00.000000,000.000000,00.000000,000.000000,648,10,0,6.7,2,2000,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
굴지터널(춘천),도로터널,2종,01,5055,,상행,강원도,홍천군,42720,,강원도 홍천군 북방,00.000000,000.000000,00.000000,000.000000,710,10,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
남산터널(부산),도로터널,2종,01,5055,,하행,강원도,홍천군,42720,,강원도 홍천군 홍천,00.000000,000.000000,00.000000,000.000000,797,10.8,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
남산터널(춘천),도로터널,2종,01,5055,,상행,강원도,홍천군,42720,,강원도 홍천군 홍천,00.000000,000.000000,00.000000,000.000000,840,10.8,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
삼마치터널(부산),도로터널,1종,01,5055,,하행,강원도,횡성군,42730,,강원도 횡성군 공근,00.000000,000.000000,00.000000,000.000000,1429,10.7,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
삼마치터널(춘천),도로터널,1종,01,5055,,상행,강원도,횡성군,42730,,강원도 횡성군 공근,00.000000,000.000000,00.000000,000.000000,1436,10.7,0,6.7,2,2001,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
공근터널(부산),도로터널,2종,01,5055,,하행,강원도,횡성군,42730,,강원도 횡성군 공근,00.000000,000.000000,00.000000,000.000000,670,10,0,6.7,2,2001,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
공근터널(춘천),도로터널,2종,01,5055,,상행,강원도,횡성군,42730,,강원도 횡성군 공근,00.000000,000.000000,00.000000,000.000000,635,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
횡성터널(부산),도로터널,2종,01,5055,,하행,강원도,횡성군,42730,,강원도 횡성군 횡성,00.000000,000.000000,00.000000,000.000000,367,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
횡성터널(춘천),도로터널,2종,01,5055,,상행,강원도,횡성군,42730,,강원도 횡성군 횡성,00.000000,000.000000,00.000000,000.000000,405,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
만종터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 호저,00.000000,000.000000,00.000000,000.000000,434,10.1,0,6.7,2,2000,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
만종터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 호저,00.000000,000.000000,00.000000,000.000000,423,10.1,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현북터널(속초),도로터널,2종,01,5065,,상행,강원도,양양군,42830,,강원도 양양군 현북,00.000000,000.000000,00.000000,000.000000,543,11.6,0,7.3,2,2009,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현북터널(동해),도로터널,2종,01,5065,,하행,강원도,양양군,42830,,강원도 양양군 현북,00.000000,000.000000,00.000000,000.000000,550,11.6,0,7.3,2,2009,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현남터널(속초),도로터널,2종,01,5065,,상행,강원도,양양군,42830,,강원도 양양군 현남,00.000000,000.000000,00.000000,000.000000,958,11.6,0,7.3,2,2009,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현남터널(동해),도로터널,2종,01,5065,,하행,강원도,양양군,42830,,강원도 양양군 현남,00.000000,000.000000,00.000000,000.000000,971,11.6,0,7.3,2,2009,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉5터널(속초),도로터널,1종,01,5065,,상행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,2075,12.7,0,7.4,2,2004,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉5터널(동해),도로터널,1종,01,5065,,하행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,2095,12.7,0,7.4,2,2004,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
강릉4터널(속초),도로터널,2종,01,5065,,상행,강원도,강릉시,42150,,강원도 강릉시 강동,00.000000,000.000000,00.000000,000.000000,960,11.9,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
금대2터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,213,10,0,6.7,2,2000,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
금대2터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,228,10,0,6.7,2,1995,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
금대1터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,317,10,0,6.7,2,2000,2018-12-31,B,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
금대1터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,324,10,0,6.7,2,1995,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악4터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,151,10,0,6.7,2,2000,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악4터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,147,10,0,6.7,2,1995,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악3터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,320,10,0,6.7,2,2000,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악3터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,298,10,0,6.7,2,1995,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악2터널(부산),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,298,10,0,6.7,2,2000,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악2터널(춘천),도로터널,2종,01,5055,,상행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,179,10,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
치악1터널(춘천),도로터널,2종,01,5055,,하행,강원도,원주시,42130,,강원도 원주시 판부,00.000000,000.000000,00.000000,000.000000,193,10,0,6.7,2,1995,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
제천터널(춘천),도로터널,1종,01,5055,,상행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,1190,10,0,6.7,2,2001,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
제천터널(부산),도로터널,1종,01,5055,,하행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,1150,10,0,6.7,2,2001,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
적성터널(춘천),도로터널,1종,01,5055,,상행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,560,13.6,0,8.3,3,2001,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
적성터널(부산),도로터널,2종,01,5055,,하행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,616,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현곡터널(춘천),도로터널,2종,01,5055,,상행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,220,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
현곡터널(부산),도로터널,2종,01,5055,,하행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,220,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
단양터널(춘천),도로터널,2종,01,5055,,상행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,500,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
단양터널(부산),도로터널,2종,01,5055,,하행,충청북도,단양군,43800,,충청북도 단양군 적,00.000000,000.000000,00.000000,000.000000,465,10,0,6.7,2,2001,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원창터널(부산),도로터널,2종,01,5055,,하행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,274,10,0,6.7,2,2000,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원창터널(춘천),도로터널,2종,01,5055,,상행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,224,10,0,6.7,2,1995,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
원무2터널(부산),도로터널,2종,01,5055,,하행,강원도,춘천시,42110,,강원도 춘천시 동산,00.000000,000.000000,00.000000,000.000000,808,10,0,6.7,2,2000,2018-12-31,A,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
용전터널(마산),도로터널,2종,01,5045,,하행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,835,11.5,0,7.3,2,2002,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
용전터널(양평),도로터널,2종,01,5045,,상행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,845,11.5,0,7.3,2,2002,2018-12-31,A,정기점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
만정터널(마산),도로터널,2종,01,5045,,하행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,445,11.4,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
만정터널(양평),도로터널,2종,01,5045,,상행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,440,11.4,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
장고개터널(마산),도로터널,2종,01,5045,,하행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,475,11.4,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
장고개터널(양평),도로터널,2종,01,5045,,상행,충청북도,충주시,43130,,충청북도 충주시 대,00.000000,000.000000,00.000000,000.000000,470,11.4,0,7.3,2,2004,2018-12-31,B,정밀점검,미적용,N,,0,-    ,N,한국도로공사 강원본부,033-730-9285,2020-01-01,AAAAAAA,공공데이터활용지원센터
