시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,제공기관코드,제공기관명
유성시장,5일장,대전광역시 유성구 유성대로 730번길 24,대전광역시 유성구 장대동 191-7,5일,36.357719,127.333944,400,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,1916,042-822-2472,2018-02-19,6300000,대전광역시
송강시장,상설장,대전광역시 유성구 구즉로 74-7,대전광역시 유성구 송강동 49-10,매일,36.435131,127.386659,88,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,2000,042-934-6863,2018-02-19,6300000,대전광역시
송촌시장,상설장,대전광역시 대덕구 송촌동 476,대전광역시 대덕구 송촌동 476-1,매일,36.364478,127.439899,73,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2000,042-626-5778,2018-02-19,6300000,대전광역시
중리시장,상설장,대전광역시 대덕구 중리동 370,대전광역시 대덕구 중리동 368-7,매일,36.365316,127.425801,213,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,www.jungni-market.kr,Y,Y,1988,070-8732-1042,2018-02-19,6300000,대전광역시
법동시장,상설장,대전광역시 대덕구 법동 199,대전광역시 대덕구 법2동 199,매일,36.367216,127.430958,62,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,1995,042-627-2123,2018-02-19,6300000,대전광역시
신탄진시장,상설장,대전광역시 대덕구 석봉동 417,대전광역시 대덕구 석봉동 417,5일,36.448872,127.426263,122,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2002,042-931-0310,2018-02-19,6300000,대전광역시
오정동상점가,상설장,대전광역시 대덕구 오정동 86,대전광역시 대덕구 오정동 87-2,매일,36.354173,127.409122,720,공구·식당·철물 등,온누리상품권,,N,N,2005,042-672-0005,2018-02-19,6300000,대전광역시
송촌동상점가,상설장,대전광역시 대덕구 계족산로 81번길 54,대전광역시 대덕구 송촌동 459-6,매일,36.365524,127.439031,870,"생필품, 요식업 등",온누리상품권,,Y,Y,2016,000-000-0000,2018-02-19,6300000,대전광역시
신철원전통시장,오일장,강원도 철원군 갈말읍 삼부연로18번길 16-2,철원군 갈말읍 신철원리 679,3일8일,38.144755,127.309935,51,농축산물 의류 식당 잡화 등,온누리상품권,,Y,Y,1980,033-452-2255,2017-12-11,4300000,강원도 철원군
와수전통시장,오일장,강원도 철원군 서면 와수로 184번길,철원군 서면 와수리 1171-21,1일6일,38.239368,127.439413,54,오대쌀 순대국 꿩냉면 삼지구엽초 떡 등,온누리상품권,,Y,Y,1978,033-458-9688,2017-12-11,4300000,강원도 철원군
동송전통시장,오일장,강원도 철원군 동송읍 이평로47번길 17,철원군 동송읍 이평리 678-48,5일10일,38.208596,127.218921,175,농축수산물 의류 잡화 그릇 식당 등,온누리상품권,,Y,Y,2007,033-455-6262,2017-12-11,4300000,강원도 철원군
동송전통시장,오일장,강원도 철원군 동송읍 이평로47번길 16,철원군 동송읍 이평리 680-1,5일10일,38.208596,127.218921,33,농축수산물 식당 잡화 등,온누리상품권,,Y,Y,1981,033-455-2230,2017-12-11,4300000,강원도 철원군
내일전통시장,정기+상설시장,경상남도 밀양시 상설시장3길 18-6,경상남도 밀양시 내일동 174-9,"2, 7",35.4937883,128.8517153,105,"생선, 의류, 건어물",온누리,,Y,Y,1915,055-351-3132,2017-11-14,5360000,경상남도 밀양시
밀양아리랑시장,정기+상설시장,경상남도 밀양시 상설시장1길 11,경상남도 밀양시 내일동 583-1,"2, 7",35.4930521,128.7503354,112,"피복, 잡화",온누리,,Y,N,1968,055-354-2659,2017-11-14,5360000,경상남도 밀양시
무안시장,정기시장,경상남도 밀양시 무안면 사명로 502-12,경상남도 밀양시 무안리 814-10,"1, 6",35.4694222,128.6436163,18,"잡화, 생선",온누리,,Y,Y,1939,,2017-11-14,5360000,경상남도 밀양시
송지시장,정기시장,경상남도 밀양시 삼랑진읍 외송3길 8-1,경상남도 밀양시 송지리 359-15,"4, 9",35.3969202,128.8283702,0,"생선, 야채",온누리,,Y,N,1951,,2017-11-14,5360000,경상남도 밀양시
수산시장,정기+상설시장,경상남도 밀양시 하남읍 시서길 16,경상남도 밀양시 수산리 815-16,"3, 8",35.3743792,128.6999909,58,"가공식품, 잡화",온누리,,Y,N,1951,055-391-2730,2017-11-14,5360000,경상남도 밀양시
송백시장,정기시장,경상남도 밀양시 산내면 산내로 344-1,경상남도 밀양시 송백리 1330-1,"5, 10",35.5859736,128.8728655,5,"채소, 철물",온누리,,Y,N,1957,,2017-11-14,5360000,경상남도 밀양시
풍기인삼시장,상설,경상북도 영주시 풍기읍 인삼로 8,경상북도 영주시 풍기읍 서부리 145-3,매일,36.8729998,128.5236085,50,인삼제품,온누리상품권,,Y,Y,2003,054-636-7948,2017-12-07,5090000,경상북도 영주시
소백쇼핑몰,상설,경상북도 영주시 중앙로80번길 33-12 (하망동),경상북도 영주시 하망동 364-30,매일,36.8234974,128.6258928,93,"주단, 한복, 의류",온누리상품권,,Y,Y,2005,054-631-4603,2017-12-07,5090000,경상북도 영주시
공설시장,상설,경상북도 영주시 중앙로80번길 26-3 (하망동),경상북도 영주시 하망동 362-4,매일,36.8226994,128.6265304,93,"음식점, 생필품",온누리상품권,,Y,Y,2006,054-635-9876,2017-12-07,5090000,경상북도 영주시
교동시장,상설장,전라남도 여수시 교동시장1길15-10(교동),전라남도 여수시 교동 606-1,매일,34.739126,127.7301724,87,"야채, 어물",온누리상품권,www.yeosu.go.kr,Y,Y,1965,061-666-3778,2019-03-27,4810000,전라남도 여수시
해안로건어물상가시장,상설장,전라남도 여수시 이순신광장로53(교동),전라남도 여수시 교동 487,매일,34.7393612,127.7342278,33,건어물,온누리상품권,www.yeosu.go.kr,N,Y,1980,,2019-03-27,4810000,전라남도 여수시
도깨비시장,상설장,전라남도 여수시 학동서5길18(학동),전라남도 여수시 학동 58-7,매일,34.7632952,127.656561,56,"야채, 어물",온누리상품권,www.yeosu.go.kr,Y,Y,1988,061-685-8559,2019-03-27,4810000,전라남도 여수시
여수진남상가,상설장,전라남도 여수시 통제영2길12(교동),전라남도 여수시 교동 275,매일,34.7413961,127.7334115,380,기성복,온누리상품권,https://www.facebook.com/jinnamstreet,N,Y,1982,061-663-2055,2019-03-27,4810000,전라남도 여수시
여수흥국상가,상설장,전라남도 여수시 흥국상가길 21,전라남도 여수시 신기동 108-3,매일,34.761115,127.668935,138,"기성복, 음식점",온누리상품권,www.yeosu.go.kr,Y,Y,2019,,2019-03-27,4810000,전라남도 여수시
화천재래시장,상설장,강원도 화천군  화천읍 중앙로 4길 21-7외,강원도 화천군 화천읍 하리 52-9,매일,38.103715000,127.705625000,100,"음식점, 농산물, 생필품, 잡화 등",온누리상품권+화천사랑상품권+화천시장상품권,http://www.ihcmall.co.kr,Y,Y,1953,033-442-4013,2018-08-10,4310000,강원도 화천군
서부아침시장,상설장,강원도 영월군 영월읍 중앙로 30-1,강원도 영월군 영월읍 영흥리 947-57,매일,,,56,"메밀전병, 부침, 농수산물",온누리상품권,,Y,Y,1959,033-373-0579,2018-08-24,4270000,강원도 영월군
영월종합상가,상설장,강원도 영월군 영월읍 하송안길 89,강원도 영월군 영월읍 하송리 11-1,매일,,,70,"의류, 지물, 식당, 공산품, 농수산물",온누리상품권,,Y,Y,1985,033-374-5296,2018-08-24,4270000,강원도 영월군
장돌뱅이 5일장,5일장,강원도 영월군 영월읍 덕포시장길 22,강원도 영월군 영월읍 덕포리 574-129,"4일, 9일",,,160,"농수산물, 공산품, 식품 등",온누리상품권,http://jangdolbange.com/,Y,Y,1992,033-374-1230,2018-08-24,4270000,강원도 영월군
서부공설시장,상설장,강원도 영월군 영월읍 서부시장길 8-6,강원도 영월군 영월읍 하송리 5-11,매일,,,38,"농산물,수산물, 청과, 조리식품, 식당",온누리상품권,,Y,Y,1959,033-373-0340,2018-08-24,4270000,강원도 영월군
주천 5일장,5일장,강원도 영월군 주천면 주천시장길 30,강원도 영월군 주천면 주천리 1232-1,"1일, 6일",,,45,"육류, 농산물, 수산물, 잡화 등",,,Y,Y,1973,033-372-7163,2018-08-24,4270000,강원도 영월군
당진전통시장,상설장+5일장,충청남도 당진시 당진시장길 100(읍내동),충청남도 당진시 당진시 읍내동 145-13,5일 10일,36.806330,126.772560,175,"농산물,생필품,수산물 잡화등",온누리상품권+당진사랑삼품권,,Y,Y,1974,041-357-8484,2018-08-27,5680000,충청남도 당진시
합덕전통시장,상설장+5일장,충청남도 당진시 합덕읍 버그내2길 128-42(운산리),충청남도 당진시 합덕읍 운산리 253-47,1일 6일,36.890150,126.629510,34,"농산물,생필품,수산물 잡화등",온누리상품권+당진사랑삼품권,,Y,Y,1985,041-363-1154,2018-08-27,5680000,충청남도 당진시
신평시장,5일장,충청남도 당진시 신평로 829(금천리),충청남도 당진시 신평면 금천리 357-1,2일 7일,36.884620,126.774020,25,"농산물,생필품,수산물 잡화등",온누리상품권+당진사랑삼품권,,Y,Y,2010,041-362-6912,2018-08-27,5680000,충청남도 당진시
㈜중앙 메가프라자,상설장,대전광역시 동구 중앙로 200번길 99,대전광역시 동구 원동 42-1,매일,36.326879,127.433921,128,"한복,의류,침구,도서 등",온누리상품권,,Y,Y,1973,042-253-1550,2018-02-19,6300000,대전광역시
신중앙,상설장,대전광역시 동구 중앙로 200번길 85,대전광역시 동구 원동 40-1,매일,36.327541,127.433653,131,"옷감,의류,도서,한복 등",온누리상품권,,Y,Y,1975,042-256-2157,2018-02-19,6300000,대전광역시
중앙도매,상설장,대전광역시 동구 중앙로 200번길 99번지 일원,대전광역시 동구 원동 42-1,매일,36.326922,127.433911,128,"의류, 침구, 한복 등",온누리상품권,,Y,Y,1973,042-257-7093,2018-02-19,6300000,대전광역시
중앙종합,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,121,"의류, 신발, 커튼 등",온누리상품권,,Y,Y,1985,042-257-3713,2018-02-19,6300000,대전광역시
자유도매,상설장,대전광역시 동구 중앙로 200번길 45,대전광역시 동구 원동 56-1,매일,36.329051,127.432671,103,"그릇, 이불, 한복, 의류 등",온누리상품권,,Y,Y,1981,042-221-0711,2018-02-19,6300000,대전광역시
대전도매,상설장,대전광역시 동구 대전로 791번길 3,대전광역시 동구 중동 76-1,매일,36.330401,127.432882,125,"의류, 잡화, 가정 용품 등",온누리상품권,,Y,Y,1975,042-257-2410,2018-02-19,6300000,대전광역시
중앙상가,상설장,대전광역시 동구 대전로 797번길 37,대전광역시 동구 중동 28-1,매일,36.330108,127.430938,443,"식당, 의류, 잡화 등",온누리상품권,,Y,Y,1962,042-256-0638,2018-02-19,6300000,대전광역시
전통중앙도매,상설장,대전광역시 동구 중앙로 204번길 28-1,대전광역시 동구 중동 86-4,매일,36.329782,127.432416,120,"생선, 채소, 과일 등",온누리상품권,,Y,Y,2011,042-222-2989,2018-02-19,6300000,대전광역시
대전상가,상설장,대전광역시 동구 충무로 185,대전광역시 동구 인동 52-1,매일,36.321909,127.436582,62,"쌀, 식당, 잡화 등",온누리상품권,,N,N,1973,042-284-6562,2018-02-19,6300000,대전광역시
인동시장,상설장,대전광역시 동구 대전천동로 450,대전광역시 동구 인동 53-1,매일,36.322445,127.436273,61,"쌀, 식당 등",온누리상품권,,N,N,1973,042-282-1010,2018-02-19,6300000,대전광역시
신도시장,상설장,대전광역시 동구 흥룡로 37번길 9,대전광역시 동구 가양동 39-11,매일,36.349309,127.447092,85,"채소, 생선, 건어물, 의류, 잡화 등",온누리상품권,,Y,Y,1982,042-622-7078,2018-02-19,6300000,대전광역시
용운시장,상설장,대전광역시 동구 용운로 170,대전광역시 동구 용운동 305-6,매일,36.327831,127.461011,80,"식당, 채소, 잡화 등",온누리상품권,,Y,Y,1989,042-283-4698,2018-02-19,6300000,대전광역시
가양시장,상설장,대전광역시 동구 매봉로 18,대전광역시 동구 가양동 434 가양시장,매일,36.346511,127.443218,15,"생·식품, 의류 등",온누리상품권,,Y,Y,1979,042-672-3783,2018-02-19,6300000,대전광역시
역전시장 상점가,상설장,대전광역시 동구 역전시장길 48,대전광역시 동구 정동 1-227,매일,36.330135,127.434127,110,"의류, 휴대폰, 귀금속, 신발 등",온누리상품권,,N,N,1950,042-256-9915,2018-02-19,6300000,대전광역시
홍도시장 상점가,상설장,대전광역시 동구 홍도로 9번길 20,대전광역시 동구 홍도동 71-2,매일,36.347151,127.429144,90,"생·식품, 의류 등",온누리상품권,,Y,Y,2016,042-672-8955,2018-02-19,6300000,대전광역시
역전지하상점가,상설장,대전광역시 동구 대전로 797번길 41,대전광역시 동구 중동 28-53,매일,36.330033,127.430857,213,"생선, 채소, 과일 등",온누리상품권,,Y,Y,1980,042-221-3628,2018-02-19,6300000,대전광역시
오류전통시장,상설장,대전광역시 중구 계백로 1691-10,대전광역시 중구 오류동 164-1,매일,36.321717,127.407813,61,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,N,N,1985,042-523-6780,2018-02-19,6300000,대전광역시
태평전통시장,상설장,대전광역시 중구 수침로 55번길 56,대전광역시 중구 태평동 327-3,매일,36.325405,127.397651,142,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,http://www.taepyung-market.kr/,Y,Y,1980,042-525-4388,2018-02-19,6300000,대전광역시
유천전통시장,상설장,대전광역시 중구 문화로 105번길 113,대전광역시 중구 유천동 303-10,매일,36.317214,127.395493,79,"채소, 과일, 식당, 정육 등",온누리상품권,,Y,Y,1982,042-584-1670,2018-02-19,6300000,대전광역시
문창전통시장,상설장,대전광역시 중구 대전천 서로 279,대전광역시 중구 문창동 364-12,매일,36.315598,127.438317,269,"채소, 과일, 떡, 의류, 정육 등",온누리상품권,,Y,Y,1967,042-272-8903,2018-02-19,6300000,대전광역시
왜관시장,상설장+5일장,경상북도 칠곡군 왜관읍 시장1길+ 2길,경상북도 칠곡군 왜관읍 왜관리 211-187,상설+1일+6일,35.9956080752,128.398233688,120,농수산물+ 잡화,온누리상품권+칠곡사랑상품권,,Y,Y,1976,054-974-0170,2019-04-01,6470000,경상북도
예천상설시장,상설장+5일장,경상북도 예천군 예천읍 상설시장 2길 일대,경상북도 예천군 예천읍 동본리 553,상설+2일+7일,36.6562695514,128.45590049,83,농산물+ 생필품+ 수산물+ 잡화 등,온누리상품권,,Y,Y,1955,054-654-3751,2019-02-20,6470000,경상북도
예천중앙시장,상설장+5일장,경상북도 예천군 예천읍 시장로 일대,경상북도 예천군 예천읍 동본리 533,상설+2일+7일,36.6567401168,128.456030133,65,농산물+ 생필품+ 수산물+ 잡화 등,온누리상품권,,N,N,2011,054-653-2020,2019-02-20,6470000,경상북도
예천맛고을시장,상설장,경상북도 예천군 예천읍 맛고을길 일대,경상북도 예천군 예천읍 노하리 74-3,매일,36.656574,128.454241,80,제과+ 의류+ 문구+식음료+ 식당등,,,Y,Y,2014,054-654-1405,2019-02-20,6470000,경상북도
용궁시장,상설장+5일장,경상북도 예천군 용궁면 용궁시장길 일대,경상북도 예천군 용궁면 읍부리 160,상설+4일+9일,36.607223,128.276734,57,식당+ 농산물+ 생필품+잡화 등,,,Y,Y,1915,054-653-9087,2019-02-20,6470000,경상북도
풍양시장,상설장+5일장,경상북도 예천군 풍양면 낙상2길 일대,경상북도 예천군 풍양면 낙상리 157,상설+3일+8일,36.509611,128.299919,76,농산물+ 생필품+ 수산물+ 잡화 등,,,Y,N,1928,054-650-6612,2019-02-20,6470000,경상북도
봉화상설시장,상설장+5일장,경상북도 봉화군 봉화읍 신시장1길 11-13,경상북도 봉화군 봉화읍 내성리 394-18,매일+2일+7일,36.8907276295,128.736338975,136,농산물+ 생필품+ 수산물+ 잡화+ 식당 등,온누리상품권,,Y,Y,1980,054-673-5945,2019-04-04,6470000,경상북도
억지춘양시장,상설장+5일장,경상북도 봉화군 춘양면 의양리2길 18,경상북도 봉화군 춘양면 의양리 361-18,매일+4일+9일,36.9371609301,128.914016516,127,농산물+ 생필품+ 수산물+ 잡화+ 식당 등,온누리상품권,,Y,Y,1971,054-674-3080,2019-04-04,6470000,경상북도
척산시장,5일장,경상북도 울진군 기성면 척산2길 20-8,경상북도 울진군 기성면 척산리 211-6,1일+6일,36.79754362,129.4516353,,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,,2019-04-01,6470000,경상북도
매화시장,5일장,경상북도 울진군 매화면 매화1길 78,경상북도 울진군 매화면 매화리 1147,4일+9일,36.91032908,129.3806255,,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-782-7130,2019-04-01,6470000,경상북도
흥부시장,상설장+5일장,경상북도 울진군 북면 장터길 104,경상북도 울진군 북면 부구리 135,상설+1일+6일,37.10360912,129.3751783,27,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-782-5731,2019-04-01,6470000,경상북도
울진바지게시장,상설장+5일장,경상북도 울진군 울진읍 읍내2길 13-6,경상북도 울진군 울진읍 읍내리 60-1,상설+2일+7일,36.99240399,129.4019872,150,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-783-2988,2019-04-01,6470000,경상북도
죽변시장,상설장+5일장,경상북도 울진군 죽변면 죽변중앙로 168-14,경상북도 울진군 죽변면 죽변리 36-8,상설+3일+8일,37.05903595,129.4223147,52,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-781-7400,2019-04-01,6470000,경상북도
평해시장,상설장+5일장,경상북도 울진군 평해읍 평해6길 24-5,경상북도 울진군 평해읍 평해리 871-1,상설+2일+7일,36.72627635,129.4420116,23,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-787-5010,2019-04-01,6470000,경상북도
후포시장,상설장+5일장,경상북도 울진군 후포면 울진대게로 21,경상북도 울진군 후포면 삼율리 126,상설+3일+8일,36.67802724,129.4438133,74,농산물+생필품+수산물+잡화 등,온누리상품권,,Y,Y,1965,054-788-2481,2019-04-01,6470000,경상북도
용인중앙시장,상설+오일장,경기도 용인시 처인구 금령로99번길 9,경기도 용인시 처인구 김량장동 133-65번지 일원,"매일, 5일+10일",37.236506,127.207071,535,"야채, 수산, 정육, 순대, 떡, 의류, 잡화 등",전통시장 상품권+온누리상품권,http://market-yi.com,Y,Y,1960,031-336-1110,2018-08-20,4050000,경기도 용인시
죽전로데오상점가시장,상설,경기도 용인시 수지구 용구대로 2725-3,경기도 용인시 수지구 죽전동 1003-52번지 일원,매일,37.328761,127.108104,100,"의류, 신발, 가방 등",온누리상품권,http://jukjeon-rodeo.com,Y,Y,1996,031-266-2853,2018-08-20,4050000,경기도 용인시
영동전통시장,상설장+5일장,충청북도 영동군 영동읍 영산로1길 13-1,충청북도 영동군 영동읍 계산리 694-13,"매일, 4일, 9일",36.1751419,127.7756463,189,"농산물, 생필품,수산물, 주류/잡화 등",온누리상품권,,Y,Y,1964,043-742-0808,2019-01-28,4440000,충청북도 영동군
영동중앙시장,상설장+5일장,충청북도 영동군 영동읍 중앙로 21,충청북도 영동군 영동읍 계산리 693-27,"매일, 4일, 9일",36.174704,127.7756809,95,"농산물, 생필품,수산물, 주류/잡화 등",온누리상품권,,Y,Y,1977,043-743-5611,2019-01-28,4440000,충청북도 영동군
용산시장,5일장,충청북도 영동군 용산면 용산로 332-2,충청북도 영동군 용산면 구촌리 383-3,"5일, 10일",36.2606179,127.8289174,20,"농산물, 생필품, 잡화 등",,,N,Y,1964,043-740-5736,2019-01-28,4440000,충청북도 영동군
황간시장,5일장,충청북도 영동군 황간면 남성3길 6-5,충청북도 영동군 황간면 남성리 529,"2일, 7일",36.2300791,127.9074236,10,"농산물, 생필품, 잡화 등",,,Y,Y,1964,043-740-5753,2019-01-28,4440000,충청북도 영동군
상촌시장,5일장,충청북도 영동군 상촌면 시장길 21,충청북도 영동군 상촌면 임산리 316,"1일, 6일",36.1499372,127.9150569,15,"농산물, 생필품, 잡화 등",,,Y,Y,1964,043-740-5811,2019-01-28,4440000,충청북도 영동군
덕양시장,상설장,전라남도 여수시 소라면하세동길10,전라남도 여수시 소라면 덕양리 1270-1,매일,34.7980145,127.631817,25,곱창,온누리상품권,www.yeosu.go.kr,Y,Y,1932,061-659-4537,2019-03-27,4810000,전라남도 여수시
봉산시장,상설장,전라남도 여수시 봉산1로2(봉산동),전라남도 여수시 봉산동 274-4,매일,34.7321344,127.7223718,47,음식점,온누리상품권,www.yeosu.go.kr,Y,Y,1985,061-659-4537,2019-03-27,4810000,전라남도 여수시
쌍봉시장,상설장,전라남도 여수시 학동2길7(학동),전라남도 여수시 학동 35-3,매일,34.7641401,127.6649695,25,"야채,어물",온누리상품권,www.yeosu.go.kr,Y,Y,1989,061-659-4537,2019-03-27,4810000,전라남도 여수시
㈜여수수산시장,상설장,전라남도 여수시 여객선터미널길24(교동),전라남도 여수시 교동 680,매일,34.7381358,127.7317535,124,수산물,온누리상품권,www.myeosu.kr,Y,Y,1969,061-662-7268,2019-03-27,4810000,전라남도 여수시
㈜중앙시장,상설장,전라남도 여수시 중앙로43(교동),전라남도 여수시 교동 400-1,매일,34.7404385,127.7325644,131,포목,온누리상품권,http://sijangyeosu.mf24.net/,Y,Y,1975,061-662-4313,2019-03-27,4810000,전라남도 여수시
㈜서시장,상설장,전라남도 여수시 좌수영로16-6(서교동),전라남도 여수시 서교동 280,매일,34.741936,127.7285973,191,기성복,온누리상품권,www.yeosu.go.kr,Y,Y,1982,061-642-6720,2019-03-27,4810000,전라남도 여수시
진남시장,상설장,전라남도 여수시 학동1길10(학동),전라남도 여수시 학동 35-1,매일,34.7642709,127.6641273,51,"야채,어물",온누리상품권,http://ssijangjinnam.mf24.net/,Y,Y,1984,061-682-3131,2019-03-27,4810000,전라남도 여수시
제일시장,상설장,전라남도 여수시 학동2길7-4(학동),전라남도 여수시 학동 35-2,매일,34.7641887,127.6646466,61,"야채,어물",온누리상품권,www.yeosu.go.kr,Y,Y,1986,061-692-5252,2019-03-27,4810000,전라남도 여수시
㈜여수수산물특화시장,상설장,전라남도 여수시 남산로60-31(남산동),전라남도 여수시 남산동 4,매일,34.736871,127.7328343,204,수산물,온누리상품권,www.yeosu.go.kr,Y,Y,2010,061-643-5114,2019-03-27,4810000,전라남도 여수시
