휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
낙동강구미휴게소,고속국도,301,상주영천선,상행,36.346071,128.296200,일반휴게소,00:00,23:59,48338,266,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,양지버섯국밥,054-475-2971,2019-08-27,1611000,국토해양부
시화나래휴게소,지방도,301,대부황금로,양방향,37.311273,126.606591,간이휴게소,00:00,23:59,76809,450,N,N,N,Y,N,N,Y,N,Y,Y,Y,ATM,돈까스,032-880-7000,2020-05-31,3930000,경기도 안산시
시화나래조력문화관 달전망대,지방도,301,대부황금로,양방향,37.312809,126.609595,간이휴게소,10:00,22:00,932.99,0,N,N,N,N,N,N,Y,N,N,N,Y,,스테이크+수제버거+커피,032-885-7530,2020-05-31,3930000,경기도 안산시
강릉(강릉),고속국도,50,영동선,,37.75797854,128.806229,일반휴게소,00:00,23:59,85218,252,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,033-648-8850,2020-06-30,B500004,한국도로공사
강릉(인천),고속국도,50,영동선,,37.7593047,128.805682,일반휴게소,00:00,23:59,71026,279,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,033-647-9970,2020-06-30,B500004,한국도로공사
강천산(광주),고속국도,12,광주대구선,,35.36545694,127.105943,일반휴게소,00:00,23:59,17767,63,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,063-653-4033,2020-06-30,B500004,한국도로공사
강천산(대구),고속국도,12,광주대구선,,35.36440052,127.104463,간이휴게소,00:00,23:59,12365,56,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,063-653-3050,2020-06-30,B500004,한국도로공사
거창(광주),고속국도,12,광주대구선,,35.70828623,128.057928,일반휴게소,00:00,23:59,56462,110,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,055-943-9534,2020-06-30,B500004,한국도로공사
거창(대구),고속국도,12,광주대구선,,35.70605077,128.057267,일반휴게소,00:00,23:59,56462,86,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,055-943-0992,2020-06-30,B500004,한국도로공사
건천(부산),고속국도,1,경부선,,35.83033573,129.109325,간이휴게소,00:00,23:59,13041,146,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-751-6890,2020-06-30,B500004,한국도로공사
건천(서울),고속국도,1,경부선,,35.83139735,129.109181,일반휴게소,00:00,23:59,23174,124,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-751-7401,2020-06-30,B500004,한국도로공사
경산(서울),고속국도,1,경부선,,35.87869528,128.810439,일반휴게소,00:00,23:59,40171,215,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,053-852-5243,2020-06-30,B500004,한국도로공사
경주(부산),고속국도,1,경부선,,35.72408614,129.193321,화물차휴게소,00:00,23:59,72848,290,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-748-3195,2020-06-30,B500004,한국도로공사
고성공룡나라(통영),고속국도,35,중부선,,35.05626681,128.252358,화물차휴게소,00:00,23:59,42488,187,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-674-7028,2020-06-30,B500004,한국도로공사
고성공룡나라(대전),고속국도,35,중부선,,35.05210818,128.262958,일반휴게소,00:00,23:59,50422,160,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-674-0494,2020-06-30,B500004,한국도로공사
고창고인돌(목포),고속국도,15,서해안선,,35.46831287,126.674231,일반휴게소,00:00,23:59,52451,294,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-561-6313,2020-06-30,B500004,한국도로공사
고창고인돌(서울),고속국도,15,서해안선,,35.46223145,126.672727,일반휴게소,00:00,23:59,114191,261,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-561-6323,2020-06-30,B500004,한국도로공사
곡성(순천),고속국도,25,호남선,,35.25854255,127.150987,일반휴게소,00:00,23:59,16137,54,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,061-363-2766,2020-06-30,B500004,한국도로공사
곡성(천안),고속국도,25,호남선,,35.25919084,127.152561,일반휴게소,00:00,23:59,24680,118,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-362-8300,2020-06-30,B500004,한국도로공사
공주(당진),고속국도,30,당진영덕선,,36.49814709,127.165284,일반휴게소,00:00,23:59,52144,178,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-854-0050,2020-06-30,B500004,한국도로공사
공주(대전),고속국도,30,당진영덕선,,36.49727066,127.166691,일반휴게소,00:00,23:59,49748,188,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-854-6060,2020-06-30,B500004,한국도로공사
괴산(창원),고속국도,45,중부내륙선,,36.8317868,127.959603,일반휴게소,00:00,23:59,37162,90,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-832-7966,2020-06-30,B500004,한국도로공사
괴산(양평),고속국도,45,중부내륙선,,36.83146126,127.958292,일반휴게소,00:00,23:59,38776,90,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-832-6594,2020-06-30,B500004,한국도로공사
구리(일산),고속국도,100,서울외곽선,,37.62802998,127.139195,간이휴게소,00:00,23:59,19500,144,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-529-3564,2020-06-30,B500004,한국도로공사
구정(삼척),고속국도,65,동해선,,37.72235422,128.851747,일반휴게소,00:00,23:59,41920,230,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,033-644-8345,2020-06-30,B500004,한국도로공사
구정(속초),고속국도,65,동해선,,37.72268368,128.853952,일반휴게소,00:00,23:59,52345,226,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,033-644-4760,2020-06-30,B500004,한국도로공사
군산(목포),고속국도,15,서해안선,,35.98103586,126.829270,일반휴게소,00:00,23:59,14071,151,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,063-453-0402,2020-06-30,B500004,한국도로공사
군산(서울),고속국도,15,서해안선,,36.01878152,126.7970215,일반휴게소,00:00,23:59,50249,226,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,063-453-2868,2020-06-30,B500004,한국도로공사
군위(부산),고속국도,55,중앙선,,36.26643871,128.575380,일반휴게소,00:00,23:59,36839,227,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-383-6114,2020-06-30,B500004,한국도로공사
군위(춘천),고속국도,55,중앙선,,36.26571072,128.576577,일반휴게소,00:00,23:59,39273,227,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-383-7114,2020-06-30,B500004,한국도로공사
금강(부산),고속국도,1,경부선,,36.27907928,127.672199,일반휴게소,00:00,23:59,17409,295,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,,,043-731-2233,2020-06-30,B500004,한국도로공사
금왕(제천),고속국도,40,평택제천선,,36.96914912,127.590684,간이휴게소,00:00,23:59,42829,170,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-881-0001,2020-06-30,B500004,한국도로공사
금왕(평택),고속국도,40,평택제천선,,36.97038724,127.589650,간이휴게소,00:00,23:59,42627,170,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-877-7000,2020-06-30,B500004,한국도로공사
기흥(부산),고속국도,1,경부선,,37.23512142,127.105320,일반휴게소,00:00,23:59,72615,418,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-286-5001,2020-06-30,B500004,한국도로공사
김천(부산),고속국도,1,경부선,,36.12934246,128.164904,화물차휴게소,00:00,23:59,45224,193,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-435-0211,2020-06-30,B500004,한국도로공사
김천(서울),고속국도,1,경부선,,36.13084239,128.163930,화물차휴게소,00:00,23:59,30577,163,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-433-1523,2020-06-30,B500004,한국도로공사
김해금관가야,고속국도,600,부산외곽선,,35.26967509,129.0032097,일반휴게소,00:00,23:59,52100,337,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,055-312-2820,2020-06-30,B500004,한국도로공사
남성주참외(양평),고속국도,45,중부내륙선,,35.85785261,128.319489,일반휴게소,00:00,23:59,39978,136,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-931-5741,2020-06-30,B500004,한국도로공사
남성주참외(창원),고속국도,45,중부내륙선,,35.8685919,128.317046,일반휴게소,00:00,23:59,38447,110,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-933-7105,2020-06-30,B500004,한국도로공사
내린천(통합),고속국도,60,서울양양선,,37.91627758,128.286464,일반휴게소,00:00,23:59,88867,330,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,033-852-8615,2020-06-30,B500004,한국도로공사
논공(광주),고속국도,12,광주대구선,,35.7672325,128.403771,일반휴게소,00:00,23:59,29234,125,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,070-4304-0600,2020-06-30,B500004,한국도로공사
논공(대구),고속국도,12,광주대구선,,35.76517787,128.402683,일반휴게소,00:00,23:59,37766,156,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,070-4304-0620,2020-06-30,B500004,한국도로공사
단양팔경(부산),고속국도,55,중앙선,,36.99479181,128.287387,일반휴게소,00:00,23:59,31481,112,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-423-5401,2020-06-30,B500004,한국도로공사
단양팔경(춘천),고속국도,55,중앙선,,36.94268634,128.323083,일반휴게소,00:00,23:59,79980,111,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-421-1671,2020-06-30,B500004,한국도로공사
대천(목포),고속국도,15,서해안선,,36.37321727,126.556323,일반휴게소,00:00,23:59,38519,196,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-931-6901,2020-06-30,B500004,한국도로공사
대천(서울),고속국도,15,서해안선,,36.37417944,126.557653,일반휴게소,00:00,23:59,49169,234,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-931-6801,2020-06-30,B500004,한국도로공사
덕유산(통영),고속국도,35,중부선,,35.81635604,127.645495,일반휴게소,00:00,23:59,47737,206,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-353-5100,2020-06-30,B500004,한국도로공사
덕유산(대전),고속국도,35,중부선,,35.81346952,127.643769,일반휴게소,00:00,23:59,43941,193,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-353-4200,2020-06-30,B500004,한국도로공사
덕평,고속국도,50,영동선,,37.24076286,127.389629,일반휴게소,00:00,23:59,182761,670,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,031-645-0001,2020-06-30,B500004,한국도로공사
동명(부산),고속국도,55,중앙선,,36.00673939,128.547081,일반휴게소,00:00,23:59,28095,235,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-977-6921,2020-06-30,B500004,한국도로공사
동명(춘천),고속국도,55,중앙선,,36.00609963,128.548829,일반휴게소,00:00,23:59,28096,194,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-977-6901,2020-06-30,B500004,한국도로공사
동해(삼척),고속국도,65,동해선,,37.60125241,129.074487,일반휴게소,00:00,23:59,39724,86,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,033-534-6631,2020-06-30,B500004,한국도로공사
마장(복합),고속국도,35,중부선,,37.26515169,127.4059621,일반휴게소,00:00,23:59,103000,620,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,031-630-0001,2020-06-30,B500004,한국도로공사
망향(부산),고속국도,1,경부선,,36.85488207,127.1813911,일반휴게소,00:00,23:59,34779,332,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-557-4000,2020-06-30,B500004,한국도로공사
매송(목포),고속국도,15,서해안선,,37.26515566,126.8891846,화물차휴게소,00:00,23:59,80395,394,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,031-296-1501,2020-06-30,B500004,한국도로공사
매송(서울),고속국도,15,서해안선,,37.26475527,126.8916574,화물차휴게소,00:00,23:59,87552,396,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,031-295-1501,2020-06-30,B500004,한국도로공사
목감(서울),고속국도,15,서해안선,,37.39009185,126.8698878,간이휴게소,00:00,23:59,19800,85,N,Y,Y,N,N,N,Y,N,Y,Y,Y,,,031-411-0590,2020-06-30,B500004,한국도로공사
문경(창원),고속국도,45,중부내륙선,,36.62029388,128.1521623,화물차휴게소,00:00,23:59,74440,146,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-554-1660,2020-06-30,B500004,한국도로공사
문경(양평),고속국도,45,중부내륙선,,36.62087443,128.1503569,화물차휴게소,00:00,23:59,58347,177,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-554-1610,2020-06-30,B500004,한국도로공사
문막(강릉),고속국도,50,영동선,,37.33539598,127.8577852,일반휴게소,00:00,23:59,42780,182,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,033-731-8481,2020-06-30,B500004,한국도로공사
문막(인천),고속국도,50,영동선,,37.29780383,127.8177166,일반휴게소,00:00,23:59,18397,164,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,033-747-8162,2020-06-30,B500004,한국도로공사
문산(순천),고속국도,10,남해선,,35.17119947,128.1523419,일반휴게소,00:00,23:59,52200,298,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-761-2820,2020-06-30,B500004,한국도로공사
백양사(순천),고속국도,25,호남선,,35.39436135,126.8057359,일반휴게소,00:00,23:59,31030,70,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-394-9990,2020-06-30,B500004,한국도로공사
백양사(천안),고속국도,25,호남선,,35.39308771,126.806989,일반휴게소,00:00,23:59,29681,70,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-394-5177,2020-06-30,B500004,한국도로공사
벌곡(논산),고속국도,251,호남지선,,36.21776841,127.2740404,일반휴게소,00:00,23:59,27840,141,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-732-7694,2020-06-30,B500004,한국도로공사
벌곡(대전),고속국도,251,호남지선,,36.210494,127.270443,일반휴게소,00:00,23:59,24628,171,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-734-5250,2020-06-30,B500004,한국도로공사
보성녹차(순천),고속국도,10,남해선,,34.80755539,127.181013,간이휴게소,00:00,23:59,27411,85,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,070-4325-8808,2020-06-30,B500004,한국도로공사
보성녹차(영암),고속국도,10,남해선,,34.81411144,127.1261346,간이휴게소,00:00,23:59,41433,71,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,070-4325-8801,2020-06-30,B500004,한국도로공사
부여백제(공주),고속국도,151,서천공주선,,36.25873916,126.7997716,일반휴게소,00:00,23:59,71199,95,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-833-5400,2020-06-30,B500004,한국도로공사
부여백제(서천),고속국도,151,서천공주선,,36.25792295,126.7970989,일반휴게소,00:00,23:59,72611,99,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-834-5600,2020-06-30,B500004,한국도로공사
사천(부산),고속국도,10,남해선,,35.07361484,128.0108182,일반휴게소,00:00,23:59,21205,134,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-854-3134,2020-06-30,B500004,한국도로공사
사천(순천),고속국도,10,남해선,,35.07465622,128.0126786,일반휴게소,00:00,23:59,30117,131,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-854-3547,2020-06-30,B500004,한국도로공사
산청(통영),고속국도,35,중부선,,35.33343177,127.9386366,일반휴게소,00:00,23:59,26830,104,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-973-9036,2020-06-30,B500004,한국도로공사
산청(대전),고속국도,35,중부선,,35.33367376,127.9375511,일반휴게소,00:00,23:59,30853,139,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-973-5970,2020-06-30,B500004,한국도로공사
서산(목포),고속국도,15,서해안선,,36.74297626,126.5657554,일반휴게소,00:00,23:59,61600,266,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-688-8814,2020-06-30,B500004,한국도로공사
서산(서울),고속국도,15,서해안선,,36.73370793,126.5661034,일반휴게소,00:00,23:59,53378,213,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-688-7714,2020-06-30,B500004,한국도로공사
서여주(창원),고속국도,45,중부내륙,,37.27864567,127.5801673,간이휴게소,00:00,23:59,51095,65,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-884-9714,2020-06-30,B500004,한국도로공사
서여주(양평),고속국도,45,중부내륙,,37.279088,127.578515,간이휴게소,00:00,23:59,58111,70,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-885-9760,2020-06-30,B500004,한국도로공사
서울만남(부산),고속국도,1,경부선,,37.46033915,127.0421974,일반휴게소,00:00,23:59,13845,262,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,02-578-3372,2020-06-30,B500004,한국도로공사
서천(목포),고속국도,15,서해안선,,36.12983176,126.6268491,일반휴게소,00:00,23:59,57948,147,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-952-5757,2020-06-30,B500004,한국도로공사
서천(서울),고속국도,15,서해안선,,36.13147911,126.6274293,일반휴게소,00:00,23:59,54919,206,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-952-9700,2020-06-30,B500004,한국도로공사
선산(양평),고속국도,45,중부내륙선,,36.27762304,128.2489747,일반휴게소,00:00,23:59,32460,274,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,,054-482-6011,2020-06-30,B500004,한국도로공사
선산(창원),고속국도,45,중부내륙선,,36.27462729,128.2508171,일반휴게소,00:00,23:59,28943,297,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,,054-482-6031,2020-06-30,B500004,한국도로공사
섬진강(부산),고속국도,10,남해선,,34.9848487,127.7703373,일반휴게소,00:00,23:59,18130,195,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,,,061-772-7986,2020-06-30,B500004,한국도로공사
섬진강(순천),고속국도,10,남해선,,34.98524924,127.7694174,일반휴게소,00:00,23:59,15454,184,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,,,061-772-7993,2020-06-30,B500004,한국도로공사
성주(양평),고속국도,45,중부내륙선,,36.00853466,128.2610302,화물차휴게소,00:00,23:59,38848,180,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-933-0800,2020-06-30,B500004,한국도로공사
성주(창원),고속국도,45,중부내륙선,,36.01050651,128.260280,화물차휴게소,00:00,23:59,38631,180,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-932-0800,2020-06-30,B500004,한국도로공사
