시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
옥천노인장애인복지관청산분관,충청북도,옥천군,43730,충청북도 옥천군 청산면 지전길 23-9,,36.34417652,127.7935423,복지관분관 안,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3344,2020-07-13,4430000,충청북도 옥천군
이원면행정복지센터,충청북도,옥천군,43730,충청북도 옥천군 이원면 신흥1길 14,,36.24623866,127.6195025,이원행정복지센터 안,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3344,2020-07-13,4430000,충청북도 옥천군
군서면행정복지센터,충청북도,옥천군,43730,충청북도 옥천군 군서면 성왕로 540,,36.27968874,127.527386,복지민원팀 입구 왼쪽,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3344,2020-07-13,4430000,충청북도 옥천군
군북면행정복지센터,충청북도,옥천군,43730,충청북도 옥천군 군북면 이백길 8,,36.32988878,127.5344823,다목적회관 안,09:00,18:00,09:00,18:00,09:00,18:00,0,N,Y,충청북도 옥천군,043-730-3344,2020-07-13,4430000,충청북도 옥천군
장애인 전동보장구 충전기(단양읍사무소),충청북도,단양군,44800,충청북도 단양군 단양읍 중앙1로 35,충청북도 단양군 단양읍 별곡리 308,36.9868232972,128.3680920832,단양읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(매포읍사무소),충청북도,단양군,44800,충청북도 단양군 매포읍 평동14길 12,충청북도 단양군 매포읍 평동리277-2,37.0323209016,128.3034105512,매포읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(단성면사무소),충청북도,단양군,44800,충청북도 단양군 단성면 충혼로 16,충청북도 단양군 단성면 상방리 143-1,36.9367912067,128.3236107553,단성면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(대강면사무소),충청북도,단양군,44800,충청북도 단양군 대강면 대강로 74,충청북도 단양군 대강면 장림리 149-1,36.9224763953,128.3523435511,대강면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
근흥면사무소,충청남도,태안군,44825,충청남도 태안군 근흥면 근흥로 724,,36.7136477334,126.2280362363,근흥면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
남면사무소,충청남도,태안군,44825,충청남도 태안군 남면 달산포로 311,,36.6716441531,126.2977126370,남면사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
고남면사무소,충청남도,태안군,44825,충청남도 태안군 고남면 안면대로 4254-12,,36.4204098656,126.4090887341,고남면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
안면읍사무소,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 149,,36.5206729744,126.3444925019,안면읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안읍사무소,충청남도,태안군,44825,충청남도 태안군 태안읍 백화로 54,,36.7576915187,126.2963108073,태안읍사무소,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
태안군청,충청남도,태안군,44825,충청남도 태안군 태안읍 군청로 1,,36.7459173938,126.2983890173,태안군청 민원봉사과,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,태안군청 복지증진과,041-670-2776,2020-01-29,4620000,충청남도 태안군
동부여성문화회관,대구광역시,동구,27140,대구광역시 동구 신암북로11길 54-2,,35.8904143438,128.6223307231,회관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,동부여성문화회관,053-605-3014,2019-06-28,6270000,대구광역시
동구구립안심도서관,대구광역시,동구,27140,대구광역시 동구 금호강변로 360(율하동),,35.8590312,128.701814,도서관 종합자료실 내부(2층),09:00,22:00,09:00,17:00,00:00,00:00,2,N,Y,동구구립안심도서관,053-980-2600,2019-06-28,6270000,대구광역시
대구광역시립동부도서관,대구광역시,동구,27140,대구광역시 동구 신암북로 11길 54,,35.8901537,128.6215945861,"장애인실(1층), 1,3번째 월요일 휴무",07:00,22:00,07:00,22:00,00:00,00:00,2,N,Y,대구광역시립동부도서관,053-231-2200,2019-06-28,6270000,대구광역시
대구국제공항,대구광역시,동구,27140,대구광역시 동구 공항로 221,,35.8998894524,128.6375558335,1층 안내데스크옆,00:00,00:00,00:00,00:00,00:00,00:00,2,N,Y,대구국제공항,1661-2626,2019-06-28,6270000,대구광역시
동구보건소,대구광역시,동구,27140,대구광역시 동구 동촌로 79,,35.8881209911,128.6512343,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,대구광역시 동구보건소,053-662-3201,2019-06-28,6270000,대구광역시
동구청,대구광역시,동구,27140,대구광역시 동구 아양로 207,,35.8865594165,128.6354740550,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,대구광역시 동구청,053-662-2000,2019-06-28,6270000,대구광역시
3호선 청라언덕역(2대),대구광역시,중구,34100,대구광역시 중구 남산로 80,,35.86415484,128.5823662,2층 환승 에스컬레이터,05:30,23:30,05:30,23:30,05:30,23:30,1,N,Y,3호선 신남역(2대),053-256-7728,2019-06-28,6270000,대구광역시
2호선 반월당역(2대),대구광역시,중구,34100,대구광역시 중구 달구벌대로 2100,,35.866801,128.590545,환승통로 대합실 내부,05:30,23:30,05:30,23:30,05:30,23:30,1,N,Y,2호선 반월당역(2대),053-255-7735,2019-06-28,6270000,대구광역시
1호선 중앙로역,대구광역시,중구,34100,대구광역시 중구 중앙대로 424,,35.8709649,128.5940116,"지하2층 화장실 옆(1,2번 출구쪽)",05:30,23:30,05:30,23:30,05:30,23:30,1,N,Y,1호선 중앙로역,053-256-7746,2019-06-28,6270000,대구광역시
달성공원관리사무소,대구광역시,중구,34100,대구광역시 중구 달성공원로 35,,35.8733988367,128.5759201177,관리사무소 입구,00:00,00:00,00:00,00:00,00:00,00:00,1,N,Y,달성공원관리사무소,053-803-7350,2019-06-28,6270000,대구광역시
대구콘서트하우스,대구광역시,중구,34100,대구광역시 중구 태평로 141,,35.8760471,128.5936973465,대구콘서트하우스 그랜드홀 로비(비상문쪽),09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,콘서트하우스,053-250-1400,2019-06-28,6270000,대구광역시
대봉2동 주민센터,대구광역시,중구,34100,대구광역시 중구 대봉로47길 31,,35.8587606932,128.5993685322,주민센터 내,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,대봉2동 주민센터,053-661-3313,2019-06-28,6270000,대구광역시
향촌문화관,대구광역시,중구,34100,대구광역시 중구 중앙대로 449,,35.8734065042,128.5941989,1층 정문입구,09:00,18:00,09:00,18:00,09:00,18:00,1,N,Y,향촌문화관,053-661-2331,2019-06-28,6270000,대구광역시
에코한방웰빙체험관,대구광역시,중구,34100,대구광역시 중구 남성로 24,,35.86793117,128.5892877,1층,09:00,18:00,09:00,18:00,09:00,18:00,1,N,Y,에코한방웰빙체험관,053-661-2043,2019-06-28,6270000,대구광역시
경상감영공원,대구광역시,중구,34100,대구광역시 중구 경상감영길 99,,35.8726754822,128.5916853623,공원화장실 앞,00:00,00:00,00:00,00:00,00:00,00:00,1,N,Y,경상감영공원,053-254-9404,2019-06-28,6270000,대구광역시
2.28기념중앙공원,대구광역시,중구,34100,대구광역시 중구 동성로2길 80,,35.8692142039,128.5971827869,공원관리사무소 내부,00:00,00:00,00:00,00:00,00:00,00:00,1,N,Y,2.28기념중앙공원,053-254-9405,2019-06-28,6270000,대구광역시
국채보상운동기념공원,대구광역시,중구,34100,대구광역시 중구 국채보상로 670,,35.86833404,128.6034536,국채보상운동기념관 뒤편,00:00,00:00,00:00,00:00,00:00,00:00,1,N,Y,국채보상운동기념공원,053-254-9401,2019-06-28,6270000,대구광역시
경북대학교병원,대구광역시,중구,34100,대구광역시 중구 동덕로 130,,35.8662354972,128.6043146610,외래동 입구 편의점 맞은편,08:30,17:30,00:00,00:00,00:00,00:00,1,N,Y,경북대학교병원,1666-5114,2019-06-28,6270000,대구광역시
동산병원,대구광역시,중구,34100,대구광역시 중구 달성로 56,,35.8701796577,128.5825213939,1층매점옆 입원병동입구,08:30,17:30,08:30,12:30,00:00,00:00,1,N,Y,동산병원,053-250-8393,2019-06-28,6270000,대구광역시
남산종합사회복지관,대구광역시,중구,34100,대구광역시 중구 남산로7길 80,,35.8603028791,128.5792519402,1층,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,남산종합사회복지관,053-254-2562,2019-06-28,6270000,대구광역시
남산기독교종합사회복지관(2대),대구광역시,중구,34100,대구광역시 중구 관덕정길 16,,35.8650401,128.5905646,작은도서관 로비 1층/ 1층 소강당 내 우측 입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,남산기독교종합사회복지관,053-257-1244,2019-06-28,6270000,대구광역시
중구 보건소,대구광역시,중구,34100,대구광역시 중구 태평로 45,,35.8779043552,128.583387,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,중구 보건소,053-661-3121,2019-06-28,6270000,대구광역시
중구청,대구광역시,중구,34100,대구광역시 중구 국채보상로 139길 1,,35.8693252176,128.6061572239,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,중구청,053-661-2665,2019-06-28,6270000,대구광역시
대구시청,대구광역시,중구,34100,대구광역시 중구 공평로 88,,35.8715411,128.6012199749,1층 현관,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,대구시청,053-803-0114,2019-06-28,6270000,대구광역시
수완건강생활지원센터,광주광역시,광산구,11680,광주광역시 광산구 장덕로 158,광주광역시 광산구 수완동 936,35.1970753284,126.8257317618,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,수완건강생활지원센터,062-960-8812,2020-07-10,3630000,광주광역시 광산구
광산구청 현관,광주광역시,광산구,11680,광주광역시 광산구 광산로 29번길 15,광주광역시 광산구 송정동 833-6,35.1396481462,126.7936375787,구청 1층 현관 입구,24:00,24:00,24:00,24:00,24:00,24:00,2,Y,Y,광산구청 현관,062-960-3647,2020-07-10,3630000,광주광역시 광산구
광산구 보건소 현관,광주광역시,광산구,11680,광주광역시 광산구 광산로 29번길 15,광주광역시 광산구 송정동 833-6,35.1396481462,126.7936375787,보건소 1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,광산구 보건소 현관,062-960-8736,2020-07-10,3630000,광주광역시 광산구
나눔장애이자립생활센터,광주광역시,광산구,11680,광주광역시 광산구 여대길 303,광주광역시 광산구 산정동 1141,35.1666534235,126.7939733193,1층 사무실 입구(현관옆),09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,나눔장애이자립생활센터,062-956-8352,2020-07-10,3630000,광주광역시 광산구
한마음장애인자립생활센터,광주광역시,광산구,11680,광주광역시 광산구 첨단중앙로 106번길 50,광주광역시 광산구 월계동 891-4,35.2146030747,126.8457098373,3층 사무실 내부,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,한마음장애인자립생활센터,062-431-8025,2020-07-10,3630000,광주광역시 광산구
하남종합사회복지관,광주광역시,광산구,11680,광주광역시 광산구 월곡산정로 12,광주광역시 광산구 우산동 1571-1,35.1663165195,126.8038706312,1층 사무실 내부,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,하남종합사회복지관,062-951-0701,2020-07-10,3630000,광주광역시 광산구
장애인 전동보장구 충전기(가곡면사무소),충청북도,단양군,44800,충청북도 단양군 가곡면 남한강로 550,충청북도 단양군 가곡면 사평리 426,37.0286118388,128.3855092275,가곡면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(어상천면사무소),충청북도,단양군,44800,충청북도 단양군 어상천면 어상천로 928,충청북도 단양군 어상천면 임현리 446,37.1022911697,128.3588004709,어상천면사무소,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(영춘면별방민원센터),충청북도,단양군,44800,충청북도 단양군 영춘면 별방만종로 605,충청북도 단양군 영춘면 장발리 220-1,37.0943827953,128.417049,영춘면별방민원센터,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(온달문화복지센터),충청북도,단양군,44800,충청북도 단양군 영춘면 온달평강로 63,충청북도 단양군 영춘면 상리 643-1,37.0789753718,128.4828547341,온달문화복지센터,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
장애인 전동보장구 충전기(적성문화복지회관),충청북도,단양군,44800,충청북도 단양군 적성면 금수산로 952,충청북도 단양군 적성면 하리 350-5,36.960184,128.2924427415,적성문화복지회관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,단양군청,043-420-2105,2020-06-30,4480000,충청북도 단양군
도시철도공사,광주광역시,광산구,11680,광주광역시 광산구 상무대로 201,광주광역시 광산구 송정동 1003-1,35.1376893174,126.7909081227,송정역사 지하1층 대합실,24:00,24:00,24:00,24:00,24:00,24:00,2,Y,Y,도시철도공사,062-604-8000,2020-07-10,3630000,광주광역시 광산구
첨단다목적체육센터,광주광역시,광산구,11680,광주광역시 광산구 첨단강변로 76,광주광역시 광산구 산월동 819-8,35.2133027867,126.8525085075,신관 1층 복도,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,첨단다목적체육센터,062-960-8837,2020-07-10,3630000,광주광역시 광산구
첨단종합사회복지관,광주광역시,광산구,11680,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구 쌍암동 656-2,35.2195273430,126.8423614668,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,첨단종합사회복지관,062-960-7973,2020-07-10,3630000,광주광역시 광산구
빛여울채종합사회복지관,광주광역시,광산구,11680,광주광역시 광산구 용아로379번길 25-2,광주광역시 광산구 산정동 1052,35.1755128399,126.8031810968,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,빛여울채종합사회복지관,062-960-3634,2020-07-10,3630000,광주광역시 광산구
빛고을 국민체육센터,광주광역시,광산구,11680,광주광역시 광산구 무진대로211번길 28,광주광역시 광산구 우산동 1577-1,35.1635016347,126.8044613217,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,빛고을 국민체육센터,062-960-9931,2020-07-10,3630000,광주광역시 광산구
광산구 문화예술회관,광주광역시,광산구,11680,광주광역시 광산구 광산로68번길 13,광주광역시 광산구 송정동 582-1,35.1405012168,126.7992317007,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,광산구 문화예술회관,062-960-8864,2020-07-10,3630000,광주광역시 광산구
케어플러스,경기도,의정부시,41150,경기도 의정부시 충의로 57번길 7-7(용현동),경기도 의정부시 용현동 30-27,37.736531,127.087002,케어플러스 사무실 안 쪽,09:00,19:00,09:00,17:00,00:00,00:00,2,Y,Y,케어플러스,031-824-5222,2020-04-01,3820000,경기도 의정부시
의정부시장애인복지회관(경기도지체장애인협회),경기도,의정부시,41150,경기도 의정부시 경의로85번길 6-19(의정부동),경기도 의정부시 의정부동 580-6,37.733504,127.046038,의정부시장애인복지회관 2층(경기도지체장애인협회),09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,경기도지체장애인협회,031-876-1224,2020-04-01,3820000,경기도 의정부시
의정부시장애인복지관,경기도,의정부시,41150,경기도 의정부시 용민로 160(민락동),경기도 의정부시 민락동 735-17 의정부시장애인종합복지관,37.743798,127.092302,의정부시장애인복지관 별관 현관 앞,08:00,17:00,09:00,15:00,00:00,00:00,4,Y,Y,의정부시장애인복지관,031-850-5301,2020-04-01,3820000,경기도 의정부시
송산노인종합복지관,경기도,의정부시,41150,경기도 의정부시 용민로 99,경기도 의정부시 민락동 736-2 송산노인복지관,37.738889,127.088751,송산노인종합복지관 1층 복도,09:00,17:00,09:00,12:00,00:00,00:00,2,N,N,송산노인종합복지관,031-852-2595,2020-04-01,3820000,경기도 의정부시
의정부시청,경기도,의정부시,41150,경기도 의정부시 시민로 1(의정부동),경기도 의정부시 의정부동 326-2 의정부시청,37.738063,127.033840,의정부시청 일반민원실 내,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,의정부시청 일반민원실,031-828-2466,2020-04-01,3820000,경기도 의정부시
송광종합사회복지관,광주광역시,광산구,11680,광주광역시 광산구 우산로 17,광주광역시 광산구 우산동 1603-1,35.1598235851,126.8041452439,1층 장애인쉼터 내부,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,송광종합사회복지관,062-941-8248,2020-07-10,3630000,광주광역시 광산구
행복나루노인복지관,광주광역시,광산구,11680,광주광역시 광산구 송정로 52번길 20,광주광역시 광산구 도산동 925-1,35.1348590779,126.7951506782,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,행복나루노인복지관,062-942-3663,2020-07-10,3630000,광주광역시 광산구
보람의집,광주광역시,광산구,11680,광주광역시 광산구 본동로 165-65,광주광역시 광산구 덕림동 15,35.1720160196,126.6800065925,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,보람의집,062-944-2506,2020-07-10,3630000,광주광역시 광산구
무등장애인자립생활센터,광주광역시,광산구,11680,광주광역시 광산구 월곡중앙로33번길 17,광주광역시 광산구 월곡동 550-4,35.1692792387,126.8100676925,1층 센터 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,무등장애인자립생활센터,062-433-0215,2020-07-10,3630000,광주광역시 광산구
광산구장애인협회,광주광역시,광산구,11680,광주광역시 광산구 고봉로 128,광주광역시 광산구 하남동 398-2,35.1849905172,126.7939270503,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,광산구장애인협회,062-945-0057,2020-07-10,3630000,광주광역시 광산구
광주광역시지체장애인협회 광산구지회,광주광역시,광산구,11680,광주광역시 광산구 목련로 219번길 15,광주광역시 광산구 운남동 387-49,35.1725599975,126.8218146609,1층 사무실내부,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,광주광역시지체장애인협회 광산구지회,062-972-9903,2020-07-10,3630000,광주광역시 광산구
더불어락노인복지관,광주광역시,광산구,11680,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,35.1714407459,126.8159420795,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,더불어락노인복지관,062-959-9004,2020-07-10,3630000,광주광역시 광산구
코레일 광주본부,광주광역시,광산구,11680,광주광역시 광산구 상무대로 201,광주광역시 광산구 송정동 1003-1,35.1376893174,126.7909081227,광주송정역 3-4번 연결통로,24:00,24:00,24:00,24:00,24:00,24:00,2,Y,Y,코레일 광주본부,062-605-2167,2020-07-10,3630000,광주광역시 광산구
어룡동 행정복지센터,광주광역시,광산구,11680,광주광역시 광산구 선운중앙로 67번길 6,광주광역시 광산구 선암동 516,35.1484140225,126.7798933772,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,어룡동 행정복지센터,062-960-7970,2020-07-10,3630000,광주광역시 광산구
우산동 행정복지센터,광주광역시,광산구,11680,광주광역시 광산구 무진대로 246-12,광주광역시 광산구 우산동 1601-7,35.1602140422,126.8070594636,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,우산동 행정복지센터,062-960-7652,2020-07-10,3630000,광주광역시 광산구
월곡1동 행정복지센터,광주광역시,광산구,11680,광주광역시 광산구 사암로 306,광주광역시 광산구 월곡동 687-1,35.1717952859,126.8097237409,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,월곡1동 행정복지센터,062-960-7950,2020-07-10,3630000,광주광역시 광산구
월곡2동 행정복지센터,광주광역시,광산구,11680,광주광역시 광산구 산정공원로72번길 21-12,광주광역시 광산구 월곡동 490-7,35.1743700276,126.8077373758,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,월곡2동 행정복지센터,062-960-7687,2020-07-10,3630000,광주광역시 광산구
비아동 행정복지센터,광주광역시,광산구,11680,광주광역시 광산구 비아중앙로 31번길 6,광주광역시 광산구 비아동 105,35.2221708262,126.8245445744,1층 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,비아동 행정복지센터,062-960-7969,2020-07-10,3630000,광주광역시 광산구
