자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
경남자동차중기정비,민간,경상남도 고성군 고성읍 남해안대로 2556,경상남도 고성군 고성읍 율대리656-8,34.9721813609,128.335971,055-674-3170,평일:09:00~18:00,2,3362,1456,,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
(유)영진종합자동차정비,민간,경상남도 고성군 고성읍 공단로 61,경상남도 고성군 고성읍 율대리 766,34.969513923,128.336227338,055-674-1996,평일:09:00~18:00,2,2971,917,3,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
성산자동차검사소,공공,서울특별시 마포구 월드컵로 220  (성산동),,37.567364,126.900682,02-306-5986,평일 9~18 토요일 9~13,8,15731,2549,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
노원자동차검사소,공공,서울특별시 노원구  공릉로62길  41 (하계동),,37.637477,127.071626,02-972-4121,평일 9~18 토요일 9~13,6,9456,1847,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
구로자동차검사소,공공,서울특별시 구로구  경인로  113 (오류동),,37.492573,126.833986,02-2037-6000,평일 9~18 토요일 9~13,5,4114,1510,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
성동자동차검사소,공공,서울특별시 성동구  가람길  117 (송정동),,37.554015,127.057745,02-2244-2556,평일 9~18 토요일 9~13,2,3089,491,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2018-09-10,B500011,교통안전공단
사하자동차검사소,공공,부산광역시 사하구  을숙도대로  631 (신평동),,35.085862,128.974128,051-204-9536,평일 9~18 토요일 9~13,3,10126,1404,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2018-09-10,B500011,교통안전공단
주례자동차검사소,공공,부산광역시 사상구  학장로  256 (주례동),,35.145118,128.994556,051-324-1431,평일 9~18 토요일 9~13,4,10542,1924,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2018-09-10,B500011,교통안전공단
하나윈모터스종합정비,민간,경상남도 고성군 고성읍 율대4길 4-21,경상남도 고성군 고성읍 율대리 764-1,34.9687455386,128.337252836,055-670-1004,평일:09:00~18:00,4,2138,411.72,3,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
신라자동차1급정비공업사,민간,경상남도 고성군 고성읍 남해안대로 2524,경상남도 고성군 고성읍 율대리 684-2,34.9693068501,128.335387456,055-673-7711,평일:09:00~18:00,4,5279,904,,N,Y,N,Y,N,N,N,,경상남도 고성군청,2019-09-06,5420000,경상남도 고성군
대도정비,민간,경상남도 의령군 의령읍 의병로 107,,35.32107666,128.2489696,055-573-8275,평일:09:00~17:30 + 토요일:9:00~11:30,1,1058,526.1,1,N,Y,N,N,N,N,Y,055-570-3134,의령군,2020-04-09,5390000,경상남도 의령군
동부1급정비공장,민간,경상남도 의령군 부림면 의합대로 2102,,35.46086044,128.3300157,055-574-9300,평일:08:00~17:30 + 토요일:운영안함,1,1234,504,1,N,Y,N,N,N,Y,N,055-570-3134,의령군,2020-04-09,5390000,경상남도 의령군
해운대자동차검사소,공공,부산광역시 해운대구  센텀동로  201 (재송동),,35.184029,129.119750,051-783-2500,평일 9~18 토요일 9~13,6,11424,2363,,Y,Y,Y,Y,Y,Y,Y,051-315-5000,부산본부,2018-09-10,B500011,교통안전공단
이현자동차검사소,공공,대구광역시 서구  문화로  27 (이현동),,35.874780,128.535678,053-565-5000,평일 9~18 토요일 9~13,4,8145,1910,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
수성자동차검사소,공공,대구광역시 수성구  노변로  33 (노변동),,35.834071,128.699010,053-791-6040,평일 9~18 토요일 9~13,4,10240,2038,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
달서자동차검사소,공공,대구광역시 달서구  월배로5길  10 (유천동),,35.813098,128.516955,053-587-8181,평일 9~18 토요일 9~13,2,2790,419,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
인천자동차검사소,공공,인천광역시 미추홀구 아암대로253번길 81 (학익동),,37.441810,126.637672,032-831-0196,평일 9~18 토요일 9~13,5,6627,1690,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2018-09-10,B500011,교통안전공단
서인천자동차검사소,공공,인천광역시 서구 중봉대로 218  (가좌동),,37.498787,126.648920,032-579-7811,평일 9~18 토요일 9~13,4,4304,1097,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2018-09-10,B500011,교통안전공단
광주자동차검사소,공공,광주광역시 남구  송암로  96 (송하동),,35.113635,126.875295,062-606-7650,평일 9~18 토요일 9~13,4,8504,2276,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2018-09-10,B500011,교통안전공단
대전자동차검사소,공공,대전광역시 서구 변동로 44  (변동),,36.325276,127.377910,042-523-5095,평일 9~18 토요일 9~13,3,5671,1097,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
신탄진자동차검사소,공공,대전광역시 대덕구  대덕대로1417번길  31 (문평동),,36.447401,127.405709,042-931-8106,평일 9~18 토요일 9~13,3,6150,1649,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
유성자동차검사소,공공,대전광역시 서구  계룡로232번길  123 (월평동),,36.346190,127.354967,042-535-7147,평일 9~18 토요일 9~13,2,1321,222,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
울산자동차검사소,공공,울산광역시 남구 장생포로 8  (여천동),,35.519047,129.343996,052-269-8598,평일 9~18 토요일 9~13,3,3347,1226,,Y,Y,Y,Y,Y,Y,Y,052-256-9373,울산본부,2018-09-10,B500011,교통안전공단
세종자동차검사소,공공,세종특별자치시    종합운동장로  11-5 (대평동),,36.467698,127.267753,044-868-0515,평일 9~18 토요일 9~13,3,7197,1426,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
수원자동차검사소,공공,경기도 수원시 영통구 신원로 240  (매탄동),,37.256963,127.060248,031-211-2414,평일 9~18 토요일 9~13,3,5270,1166,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
의정부자동차검사소,공공,경기도 의정부시  평화로  287 (호원동),,37.717530,127.046759,031-871-5000,평일 9~18 토요일 9~13,2,3198,507,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기북부본부,2018-09-10,B500011,교통안전공단
성남자동차검사소,공공,경기도 성남시 중원구 사기막골로148번길 8  (상대원동),,37.441054,127.178370,031-747-9467,평일 9~18 토요일 9~13,3,4222,1107,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
부천자동차검사소,공공,경기도 부천시 오정구  오정로  42 (삼정동),,37.525119,126.765158,032-674-5000,평일 9~18 토요일 9~13,4,6817,1555,,Y,Y,Y,Y,Y,Y,Y,032-833-5000,인천본부,2018-09-10,B500011,교통안전공단
안양자동차검사소,공공,경기도 안양시 동안구 시민대로 392  (관양동),,37.395469,126.973593,031-422-4500,평일 9~18 토요일 9~13,4,4367,1254,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
고양자동차검사소,공공,경기도 고양시 일산동구  성석로  141 (성석동),,37.689878,126.797928,031-977-3939,평일 9~18 토요일 9~13,3,4714,1022,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2018-09-10,B500011,교통안전공단
남양주자동차검사소,공공,경기도 남양주시 진건읍 독정로273번길 31-19,,37.676141,127.196278,031-575-1472,평일 9~18 토요일 9~13,3,2625,861,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2018-09-10,B500011,교통안전공단
서수원자동차검사소,공공,경기도 수원시 권선구 수인로 24  (서둔동),,37.256963,127.060248,031-293-9339,평일 9~18 토요일 9~13,4,6166,1232,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
용인자동차검사소,공공,경기도 용인시 기흥구  중부대로  853 (상하동),,37.253021,127.146295,031-281-3709,평일 9~18 토요일 9~13,2,4323,776,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
안산자동차검사소,공공,경기도 안산시 상록구  안산천서로6길  16 (월피동),,37.337451,126.849213,031-475-5270,평일 9~18 토요일 9~13,2,4480,826,,Y,Y,Y,Y,Y,Y,Y,031-297-5000,경기남부본부,2018-09-10,B500011,교통안전공단
춘천자동차검사소,공공,강원도 춘천시 동내로 10  (석사동),,37.849651,127.754299,033-262-2255,평일 9~18 토요일 9~13,2,4174,939,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2018-09-10,B500011,교통안전공단
원주자동차검사소,공공,강원도 원주시 행구로 255  (행구동),,37.344080,127.984073,033-747-1110,평일 9~18 토요일 9~13,2,5699,827,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2018-09-10,B500011,교통안전공단
강릉자동차검사소,공공,강원도 강릉시  경강로  1952-10 (홍제동),,37.747298,128.882390,033-646-5000,평일 9~18 토요일 9~13,1,2975,408,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2018-09-10,B500011,교통안전공단
태백자동차검사소,공공,강원도 태백시  태백로  576 (화전동),,37.186924,128.961678,033-553-8191,평일 9~18 토요일 9~13,1,3306,451,,Y,Y,Y,Y,Y,N,Y,033-261-1580,강원본부,2018-09-10,B500011,교통안전공단
동해자동차검사소,공공,강원도 동해시  강원남부로  4772 (단봉동),,37.475050,129.119491,033-521-6303,평일 9~18 토요일 9~13,1,4704,459,,Y,Y,Y,Y,Y,N,Y,033-261-1580,강원본부,2018-09-10,B500011,교통안전공단
청주자동차검사소,공공,충청북도 청주시 흥덕구  사운로386번길  21 (신봉동),,36.661164,127.466372,043-272-1889,평일 9~18 토요일 9~13,2,3902,912,,Y,Y,Y,Y,Y,Y,Y,043-269-5000,충북본부,2018-09-10,B500011,교통안전공단
충주자동차검사소,공공,충청북도 충주시 목행산단6로 27  (금릉동),,37.000899,127.919672,043-853-5050,평일 9~18 토요일 9~13,1,4961,833,,Y,Y,Y,Y,Y,Y,Y,043-269-5000,충북본부,2018-09-10,B500011,교통안전공단
천안자동차검사소,공공,충청남도 천안시 서북구  음봉로  909-15 (백석동),,36.825738,127.106228,041-552-6905,평일 9~18 토요일 9~13,2,4215,839,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
홍성자동차검사소,공공,충청남도 홍성군 홍성읍 충서로 1207,,36.583788,126.654917,041-632-5837,평일 9~18 토요일 9~13,1,5446,774,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2018-09-10,B500011,교통안전공단
전주자동차검사소,공공,전라북도 전주시 덕진구 팔복동3가 신행로  44 (팔복동3가),,35.849189,127.093172,063-211-9936,평일 9~18 토요일 9~13,3,4737,1278,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2018-09-10,B500011,교통안전공단
군산자동차검사소,공공,전라북도 군산시 외항로 292  (소룡동),,35.969750,126.636934,063-467-3508,평일 9~18 토요일 9~13,1,3306,404,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2018-09-10,B500011,교통안전공단
남원자동차검사소,공공,전라북도 남원시  충정로  265-15 (월락동),,35.426106,127.396764,063-625-2803,평일 9~18 토요일 9~13,1,3208,458,,Y,Y,Y,Y,Y,N,Y,063-212-4740,전북본부,2018-09-10,B500011,교통안전공단
정읍자동차검사소,공공,전라북도 정읍시  해평복룡길  11 (공평동),,35.583689,126.831870,063-535-6009,평일 9~18 토요일 9~13,2,3838,774,,Y,Y,Y,Y,Y,N,Y,063-212-4740,전북본부,2018-09-10,B500011,교통안전공단
익산자동차검사소,공공,전라북도 익산시 석암로13길 101-7  (팔봉동),,35.954731,127.004955,063-832-0404,평일 9~18 토요일 9~13,2,989,301,,Y,Y,Y,Y,Y,N,Y,063-212-4740,전북본부,2018-09-10,B500011,교통안전공단
목포자동차검사소,공공,전라남도 목포시 옥암로 153  (상동),,34.811941,126.422817,061-283-5004,평일 9~18 토요일 9~13,2,3596,774,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2018-09-10,B500011,교통안전공단
순천자동차검사소,공공,전라남도 순천시 해촌길 10  (조례동),,34.964914,127.549540,061-741-5532,평일 9~18 토요일 9~13,2,2578,512,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2018-09-10,B500011,교통안전공단
여수자동차검사소,공공,전라남도 여수시  만성로  184-11 (만흥동),,34.773412,127.716752,061-653-9893,평일 9~18 토요일 9~13,1,3258,368,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2018-09-10,B500011,교통안전공단
포항자동차검사소,공공,경상북도 포항시 남구  섬안로45번길  34 (괴동동),,35.995630,129.365259,054-285-2134,평일 9~18 토요일 9~13,2,4959,996,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
구미자동차검사소,공공,경상북도 구미시  야은로  722 (원평동),,36.124653,128.358293,054-456-7514,평일 9~18 토요일 9~13,2,3293,620,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
안동자동차검사소,공공,경상북도 안동시  경북대로  166-13 (수상동),,36.548136,128.702860,054-858-8447,평일 9~18 토요일 9~13,2,4629,833,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
영주자동차검사소,공공,경상북도 영주시  구성로88번길  52 (휴천동),,36.803413,128.633022,054-636-0279,평일 9~18 토요일 9~13,1,2729,458,,Y,Y,Y,Y,Y,N,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
문경자동차검사소,공공,경상북도 문경시  영신로  81 (점촌동),,36.593401,128.208688,054-552-2820,평일 9~18 토요일 9~13,1,2259,322,,Y,Y,Y,Y,Y,N,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
경주자동차검사소,공공,경상북도 경주시  산업로  4391 (용강동),,35.871898,129.224581,054-773-0448,평일 9~18 토요일 9~13,1,4537,1253,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2018-09-10,B500011,교통안전공단
창원자동차검사소,공공,경상남도 창원시 의창구  창원대로  494 (대원동),,35.228841,128.649330,055-273-5000,평일 9~18 토요일 9~13,5,5883,1692,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2018-09-10,B500011,교통안전공단
진주자동차검사소,공공,경상남도 진주시 솔밭로43번길 15  (상평동),,35.172720,128.105534,055-752-0814,평일 9~18 토요일 9~13,2,2670,709,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2018-09-10,B500011,교통안전공단
거창자동차검사소,공공,경상남도 거창군 거창읍 밤티재로  1301 (거창읍),,35.671440,127.930642,055-945-1444,평일 9~18 토요일 9~13,1,3323,472,,Y,Y,Y,Y,Y,N,Y,055-294-2501,경남본부,2018-09-10,B500011,교통안전공단
김해자동차검사소,공공,경상남도 김해시 주촌면 골든루트로 65-6,,35.212194,128.828033,055-333-5205,평일 9~18 토요일 9~13,2,3449,973,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2018-09-10,B500011,교통안전공단
제주자동차검사소,공공,제주특별자치도 제주시  삼봉로  79 (도련이동),,33.514340,126.589609,064-723-3114,평일 9~18 토요일 9~13,2,4893,966,,Y,Y,Y,Y,Y,Y,Y,064-755-3110,제주본부,2018-09-10,B500011,교통안전공단
㈜울산남구모터스,민간,울산광역시 남구 봉월로 74,울산광역시 남구 신정동 1136-8,35.5390124,129.3058069186,052-274-8888,평일:09~18시 토요일:09~13시,1,915,100,2,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
㈜오토종합정비,민간,울산광역시 남구 산업로 100,울산광역시 남구 상개동 50,35.5059144758,129.3200084518,052-912-0011,평일:09~18시 토요일:09~13시,1,2909,100,3,N,Y,N,N,N,Y,N,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
1급강서정비공업사,민간,울산광역시 남구 남산로 29,울산광역시 남구 무거동 117-1,35.5528618,129.2738437,052-277-9400,평일:09~18시 토요일:09~13시,1,1236,100,4,N,Y,N,N,N,Y,N,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
여천자동차종합정비,민간,울산광역시 남구 여천로 80,울산광역시 남구 야음동 168-1,35.5240496307,129.3428216119,052-256-3800,평일:09~18시 토요일:09~13시,1,1310,100,2,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
주식회사 처용,민간,울산광역시 남구 두왕로 69,울산광역시 남구 두왕동 71-13,35.5095647356,129.3084058,052-227-1234,평일:09~18시 토요일:09~13시,1,3899,100,3,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
태양종합정비㈜,민간,울산광역시 남구 산업로 585번길 24,울산광역시 남구 여천동 1268-8,35.5333774,129.3477222,052-268-1113,평일:09~18시 토요일:09~13시,1,3084,100,3,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
동영1급종합정비,민간,울산광역시 남구 화합로 14,울산광역시 남구 여천동 1108-3,35.5265699926,129.3438825132,052-266-1424,평일:09~18시 토요일:09~13시,1,2909,100,2,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
남구현대종합정비,민간,울산광역시 남구 신복로6번길 29,울산광역시 남구 무거동 1524-2,35.5498982248,129.2621297,052-247-9310,평일:09~18시 토요일:09~13시,1,952,100,3,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
수성1급종합정비,민간,울산광역시 남구 산업로 130,울산광역시 남구 상개동 79,35.5067617655,129.3211171771,052-257-8777,평일:09~18시 토요일:09~13시,1,4284,100,4,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
신일공업㈜,민간,울산광역시 남구 남중로 133,울산광역시 남구 삼산동 178-2,35.5462115,129.3481241980,052-288-7777,평일:09~18시 토요일:09~13시,1,1745,100,3,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
성웅종합정비,민간,울산광역시 남구 돋질로 312,울산광역시 남구 삼산동 1545-6,35.5439221606,129.3388542,052-272-8200,평일:09~18시 토요일:09~13시,1,1014,100,3,N,Y,N,N,N,Y,Y,052-229-4282,울산광역시 교통정책과,2019-11-22,3700000,울산광역시 남구
강남자동차검사소,공공,서울특별시 강남구 헌릉로745길 13 (율현동),서울특별시 강남구 율현동 123-1,37.4685085076,127.1186806857,02-459-2844,평일 9~18 토요일 9~13,5,4837,967,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2020-06-23,B553881,한국교통안전공단
강릉자동차검사소,공공,강원도 강릉시 경강로 1952-10 (홍제동),강원도 강릉시 홍제동 365-6,37.7473558175,128.8824206682,033-646-5000,평일 9~18 토요일 9~13,1,2975,408,,Y,Y,Y,Y,Y,Y,Y,033-261-1580,강원본부,2020-06-23,B553881,한국교통안전공단
거창자동차검사소,공공,경상남도 거창군 거창읍 밤티재로 1301 (거창읍),경상남도 거창군 거창읍 정장리 207-1,35.6715261182,127.9306740664,055-945-1444,평일 9~18 토요일 9~13,1,3323,472,,Y,Y,Y,Y,Y,N,Y,055-294-2501,경남본부,2020-06-23,B553881,한국교통안전공단
경주자동차검사소,공공,경상북도 경주시 산업로 4391 (용강동),경상북도 경주시 용강동 859-3,35.8719412554,129.2245804,054-773-0448,평일 9~18 토요일 9~13,1,4537,1253,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2020-06-23,B553881,한국교통안전공단
고양자동차검사소,공공,경기도 고양시 일산동구 성석로 141 (성석동),경기도 고양시 일산동구 성석동 827-2,37.6899097290,126.7979117201,031-977-3939,평일 9~18 토요일 9~13,3,4714,1022,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2020-06-23,B553881,한국교통안전공단
광주자동차검사소,공공,광주광역시 남구 송암로 96 (송하동),광주광역시 남구 송하동 251-4,35.1136346,126.8750002244,062-606-7650,평일 9~18 토요일 9~13,4,8504,2276,,Y,Y,Y,Y,Y,Y,Y,062-606-7610,광주전남본부,2020-06-23,B553881,한국교통안전공단
구로자동차검사소,공공,서울특별시 구로구 경인로 113 (오류동),서울특별시 구로구 오류동 91-1,37.4926481681,126.8334218087,02-2037-6000,평일 9~18 토요일 9~13,5,4114,1510,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2020-06-23,B553881,한국교통안전공단
구미자동차검사소,공공,경상북도 구미시 야은로 722 (원평동),경상북도 구미시 원평동 941,36.1247009027,128.3582939,054-456-7514,평일 9~18 토요일 9~13,2,3293,620,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2020-06-23,B553881,한국교통안전공단
군산자동차검사소,공공,전라북도 군산시 외항로 292 (소룡동),전라북도 군산시 소룡동 60-2,35.9698484426,126.6369344,063-467-3508,평일 9~18 토요일 9~13,1,3306,404,,Y,Y,Y,Y,Y,Y,Y,063-212-4740,전북본부,2020-06-23,B553881,한국교통안전공단
김해자동차검사소,공공,경상남도 김해시 주촌면 골든루트로 65-6,경상남도 김해시 주촌면 농소리 633-1,35.2122932813,128.8281836,055-333-5205,평일 9~18 토요일 9~13,2,3449,973,,Y,Y,Y,Y,Y,Y,Y,055-294-2501,경남본부,2020-06-23,B553881,한국교통안전공단
남양주자동차검사소,공공,경기도 남양주시 진건읍 독정로273번길 31-19,경기도 남양주시 진건읍 송능리 60-7,37.6769141,127.1962784,031-575-1472,평일 9~18 토요일 9~13,3,2625,861,,Y,Y,Y,Y,Y,Y,Y,031-837-7603,경기북부본부,2020-06-23,B553881,한국교통안전공단
남원자동차검사소,공공,전라북도 남원시 충정로 265-15 (월락동),전라북도 남원시 월락동 530,35.4258176846,127.3964367527,063-625-2803,평일 9~18 토요일 9~13,1,3208,458,,Y,Y,Y,Y,Y,N,Y,063-212-4740,전북본부,2020-06-23,B553881,한국교통안전공단
노원자동차검사소,공공,서울특별시 노원구 공릉로62길 41 (하계동),서울특별시 노원구 하계동 252,37.6374723,127.071625,02-972-4121,평일 9~18 토요일 9~13,6,9456,1847,,Y,Y,Y,Y,Y,Y,Y,02-309-5000,서울본부,2020-06-23,B553881,한국교통안전공단
달서자동차검사소,공공,대구광역시 달서구 월배로5길 10 (유천동),대구광역시 달서구 유천동 360-6,35.8128169125,128.5170497148,053-587-8181,평일 9~18 토요일 9~13,2,2790,419,,Y,Y,Y,Y,Y,Y,Y,053-794-3812,대구경북본부,2020-06-23,B553881,한국교통안전공단
대전자동차검사소,공공,대전광역시 서구 변동로 44 (변동),대전광역시 서구 변동 51-1,36.3248411684,127.3779096,042-523-5095,평일 9~18 토요일 9~13,3,5671,1097,,Y,Y,Y,Y,Y,Y,Y,042-933-4325,대전충남본부,2020-06-23,B553881,한국교통안전공단
동해자동차검사소,공공,강원도 동해시 강원남부로 4772 (단봉동),강원도 동해시 단봉동 271-7,37.4750363587,129.1195303461,033-521-6303,평일 9~18 토요일 9~13,1,4704,459,,Y,Y,Y,Y,Y,N,Y,033-261-1580,강원본부,2020-06-23,B553881,한국교통안전공단
